"True Stress, MPa","True Strain, %","True Stress, MPa.1",Unnamed: 3,Unnamed: 4,Unnamed: 5
-3.625231,0.0,-3.625231,,,
-3.998768,0.000119,-3.998768,,,
-4.338977,6e-05,-4.338977,,,
-3.827386,0.000119,-3.827386,,,190.555649
-4.289234,0.000119,-4.289234,,,
-4.440266,0.000119,-4.440266,,,
-4.212249,2.4e-05,-4.212249,,,
-4.26288,0.000119,-4.26288,,,
-4.27302,0.000119,-4.27302,,,
-4.339314,0.000119,-4.339314,,,
-4.514441,0.000119,-4.514441,,,
-4.504027,0.000119,-4.504027,,,
-4.496055,0.000119,-4.496055,,,
-4.314974,0.000119,-4.314974,,,
-4.44571,0.000119,-4.44571,,,
-4.432175,0.000119,-4.432175,,,
-4.366406,0.001478,-4.366406,,,
23.401861,0.076634,23.401861,,,
57.057537,0.178523,57.057537,,,
83.276192,0.283459,83.276192,,,
102.471268,0.387584,102.471268,,,
116.311317,0.490972,116.311317,,,
126.664719,0.59449,126.664719,,,
135.128799,0.69815,135.128799,,,
142.009521,0.801182,142.009521,,,
148.056778,0.904534,148.056778,,,
152.845123,1.007578,152.845123,,,
157.080841,1.110657,157.080841,,,
160.365784,1.213348,160.365784,,,
163.248581,1.316274,163.248581,,,
165.653442,1.419095,165.653442,,,
167.727188,1.521775,167.727188,,,
169.704361,1.624021,169.704361,,,
171.273987,1.726303,171.273987,,,
172.743027,1.828785,172.743027,,,
173.951614,1.930835,173.951614,,,
175.216278,2.032793,175.216278,,,
176.230453,2.134903,176.230453,,,
176.855026,2.236793,176.855026,,,
177.341873,2.338322,177.341873,,,
178.061508,2.440121,178.061508,,,
178.666809,2.5417,178.666809,,,
179.548401,2.643107,179.548401,,,
179.709015,2.744434,179.709015,,,
179.848572,2.845623,179.848572,,,
180.37767,2.946792,180.37767,,,
180.577316,3.047892,180.577316,,,
181.066162,3.148718,181.066162,,,
181.207596,3.249684,181.207596,,,
181.667999,3.350306,181.667999,,,
182.065475,3.450793,182.065475,,,
182.077774,3.55119,182.077774,,,
182.28006,3.651785,182.28006,,,
182.557495,3.752142,182.557495,,,
182.609924,3.852317,182.609924,,,
182.781738,3.952439,182.781738,,,
183.124588,4.052379,183.124588,,,
183.372025,4.152483,183.372025,,,
183.319168,4.252202,183.319168,,,
183.269958,4.352083,183.269958,,,
183.593704,4.451751,183.593704,,,
183.521255,4.551251,183.521255,,,
183.666031,4.650505,183.666031,,,
183.749084,4.749978,183.749084,,,
183.67865,4.849205,183.67865,,,
183.902863,4.94805,183.902863,,,
183.874756,5.04716,183.874756,,,
184.160706,5.14607,184.160706,,,
184.545502,5.24495,184.545502,,,
184.381134,5.343416,184.381134,,,
184.494873,5.442236,184.494873,,,
184.733322,5.540779,184.733322,,,
184.522385,5.639191,184.522385,,,
184.709259,5.737405,184.709259,,,
184.741348,5.83577,184.741348,,,
185.058197,5.934072,185.058197,,,
184.847046,6.03203,184.847046,,,
184.940979,6.130049,184.940979,,,
185.046936,6.228029,185.046936,,,
184.972748,6.325823,184.972748,,,
184.915802,6.423387,184.915802,,,
185.12001,6.520868,185.12001,,,
185.407013,6.618421,185.407013,,,
185.405563,6.716034,185.405563,,,
185.443008,6.812907,185.443008,,,
185.548035,6.910309,185.548035,,,
185.62561,7.007439,185.62561,,,
185.73378,7.10443,185.73378,,,
185.87886,7.201193,185.87886,,,
185.636017,7.298151,185.636017,,,
185.695526,7.39485,185.695526,,,
185.823898,7.491433,185.823898,,,
185.623169,7.588,185.623169,,,
185.740952,7.684452,185.740952,,,
185.974167,7.780842,185.974167,,,
185.954422,7.877009,185.954422,,,
186.179337,7.973184,186.179337,,,
186.00647,8.069242,186.00647,,,
186.252014,8.165276,186.252014,,,
186.215973,8.261085,186.215973,,,
186.317184,8.356943,186.317184,,,
186.51799,8.452733,186.51799,,,
186.364548,8.548257,186.364548,,,
186.274551,8.643712,186.274551,,,
186.449127,8.739291,186.449127,,,
186.517227,8.834641,186.517227,,,
186.595825,8.929875,186.595825,,,
186.404465,9.024956,186.404465,,,
186.350128,9.120032,186.350128,,,
186.649628,9.215257,186.649628,,,
186.567917,9.309806,186.567917,,,
186.653198,9.404741,186.653198,,,
186.706985,9.499436,186.706985,,,
186.696899,9.594084,186.696899,,,
186.71199,9.688405,186.71199,,,
186.712509,9.782917,186.712509,,,
187.083282,9.87746,187.083282,,,
186.885666,9.971622,186.885666,,,
187.068161,10.065898,187.068161,,,
186.952255,10.159904,186.952255,,,
187.227264,10.254125,187.227264,,,
187.102478,10.347772,187.102478,,,
187.221085,10.441651,187.221085,,,
187.492844,10.535465,187.492844,,,
187.320282,10.629044,187.320282,,,
187.366623,10.722297,187.366623,,,
187.46962,10.815868,187.46962,,,
187.518982,10.909333,187.518982,,,
187.726501,11.0027,187.726501,,,
187.800644,11.095734,187.800644,,,
187.990784,11.188862,187.990784,,,
187.743729,11.282011,187.743729,,,
187.805786,11.374892,187.805786,,,
187.710175,11.467867,187.710175,,,
187.720367,11.560681,187.720367,,,
187.881378,11.653538,187.881378,,,
187.855865,11.746076,187.855865,,,
187.932114,11.838404,187.932114,,,
187.912109,11.930944,187.912109,,,
188.019974,12.023404,188.019974,,,
188.011337,12.115526,188.011337,,,
188.079178,12.207667,188.079178,,,
188.054764,12.299778,188.054764,,,
188.430069,12.391682,188.430069,,,
188.32872,12.483596,188.32872,,,
188.37738,12.57541,188.37738,,,
188.374695,12.667302,188.374695,,,
188.302963,12.758932,188.302963,,,
188.529114,12.8504,188.529114,,,
188.603027,12.941978,188.603027,,,
188.426483,13.033503,188.426483,,,
188.579681,13.124762,188.579681,,,
188.785416,13.215994,188.785416,,,
188.735992,13.30729,188.735992,,,
188.683868,13.398456,188.683868,,,
188.669022,13.489283,188.669022,,,
188.908447,13.580309,188.908447,,,
188.983307,13.671247,188.983307,,,
189.064697,13.761914,189.064697,,,
188.857178,13.852589,188.857178,,,
188.841644,13.943145,188.841644,,,
188.91185,14.033759,188.91185,,,
188.711884,14.124011,188.711884,,,
188.637573,14.214374,188.637573,,,
189.125992,14.304665,189.125992,,,
188.878708,14.394879,188.878708,,,
188.720352,14.484724,188.720352,,,
189.038589,14.57489,189.038589,,,
189.097107,14.66483,189.097107,,,
189.052536,14.754742,189.052536,,,
189.149261,14.844377,189.149261,,,
189.105865,14.934091,189.105865,,,
189.216125,15.023971,189.216125,,,
189.362747,15.113416,189.362747,,,
189.203781,15.202756,189.203781,,,
189.547836,15.292293,189.547836,,,
189.335251,15.38162,189.335251,,,
189.580521,15.470747,189.580521,,,
189.411926,15.55985,189.411926,,,
189.282043,15.648981,189.282043,,,
189.40274,15.738032,189.40274,,,
189.44368,15.826801,189.44368,,,
189.19751,15.915592,189.19751,,,
189.360153,16.004351,189.360153,,,
189.575531,16.093157,189.575531,,,
189.168411,16.181475,189.168411,,,
189.60704,16.270069,189.60704,,,
189.6604,16.35861,189.6604,,,
189.539566,16.446859,189.539566,,,
189.691589,16.535128,189.691589,,,
189.850342,16.623348,189.850342,,,
189.897858,16.711617,189.897858,,,
189.813873,16.799465,189.813873,,,
189.690857,16.887501,189.690857,,,
189.604263,16.975534,189.604263,,,
189.615479,17.063334,189.615479,,,
189.498856,17.150848,189.498856,,,
189.720001,17.238632,189.720001,,,
189.662369,17.3263,189.662369,,,
189.740616,17.413801,189.740616,,,
189.775833,17.501087,189.775833,,,
189.539703,17.588324,189.539703,,,
189.824768,17.675779,189.824768,,,
190.028839,17.76289,190.028839,,,
189.989548,17.849855,189.989548,,,
190.147247,17.937124,190.147247,,,
189.978867,18.024151,189.978867,,,
189.920883,18.110889,189.920883,,,
190.032532,18.197718,190.032532,,,
189.938492,18.284554,189.938492,,,
189.985748,18.371275,189.985748,,,
190.151062,18.457693,190.151062,,,
189.937332,18.544392,189.937332,,,
190.106506,18.630869,190.106506,,,
189.860657,18.717148,189.860657,,,
189.838013,18.80344,189.838013,,,
189.892868,18.889481,189.892868,,,
190.039612,18.975882,190.039612,,,
190.022842,19.061821,190.022842,,,
189.90654,19.147745,189.90654,,,
190.051437,19.233774,190.051437,,,
190.159042,19.319578,190.159042,,,
189.979675,19.405151,189.979675,,,
190.120667,19.490955,190.120667,,,
190.348343,19.576612,190.348343,,,
190.188171,19.662256,190.188171,,,
190.257538,19.747608,190.257538,,,
190.084946,19.833073,190.084946,,,
189.928192,19.918442,189.928192,,,
190.017761,20.003767,190.017761,,,
190.117676,20.088913,190.117676,,,
190.168686,20.174168,190.168686,,,
190.150391,20.259237,190.150391,,,
190.316635,20.344049,190.316635,,,
190.281982,20.428902,190.281982,,,
190.555649,20.513763,190.555649,,,
190.214127,20.598667,190.214127,,,
190.432907,20.683123,190.432907,,,
186.640717,20.753784,186.640717,,,
173.956818,20.759651,173.956818,,,
167.257141,20.759838,167.257141,,,
161.855164,20.759823,161.855164,,,
156.9142,20.760332,156.9142,,,
153.263474,20.760323,153.263474,,,
149.959763,20.75993,149.959763,,,
147.149887,20.759872,147.149887,,,
144.47583,20.759813,144.47583,,,
142.266266,20.759848,142.266266,,,
140.14267,20.759823,140.14267,,,
138.078705,20.759872,138.078705,,,
136.193283,20.759979,136.193283,,,
134.228149,20.75993,134.228149,,,
132.912628,20.759848,132.912628,,,
131.332306,20.760307,131.332306,,,
129.383255,20.75993,129.383255,,,
128.433914,20.759892,128.433914,,,
127.428497,20.760181,127.428497,,,
125.94973,20.76037,125.94973,,,
124.598457,20.75993,124.598457,,,
123.90062,20.759872,123.90062,,,
122.368896,20.759901,122.368896,,,
121.583382,20.760395,121.583382,,,
120.368629,20.75993,120.368629,,,
119.559845,20.759838,119.559845,,,
116.542244,20.756893,116.542244,,,
115.648445,20.754671,115.648445,,,
114.378853,20.754433,114.378853,,,
113.796448,20.754829,113.796448,,,
113.472427,20.754829,113.472427,,,
112.66172,20.754829,112.66172,,,
112.091377,20.754549,112.091377,,,
111.527939,20.754829,111.527939,,,
110.74044,20.754536,110.74044,,,
110.343483,20.754829,110.343483,,,
109.169304,20.754829,109.169304,,,
108.618874,20.754536,108.618874,,,
108.19809,20.754545,108.19809,,,
107.916283,20.75485,107.916283,,,
