"True Stress, MPa","True Strain, %","True Stress, MPa.1",Unnamed: 3,Unnamed: 4,Unnamed: 5
-0.035226,0.0,-0.035226,,,
-0.533045,2.4e-05,-0.533045,,,158.900909
-0.162217,2.4e-05,-0.162217,,,
-0.258093,7.2e-05,-0.258093,,,
-0.190089,0.000143,-0.190089,,,
-0.362308,0.0,-0.362308,,,
-0.242591,2.4e-05,-0.242591,,,
-0.085531,2.4e-05,-0.085531,,,
-0.184715,3.6e-05,-0.184715,,,
-0.351,3.6e-05,-0.351,,,
0.459265,0.000298,0.459265,,,
8.682694,0.018893,8.682694,,,
16.832178,0.036638,16.832178,,,
24.771717,0.058431,24.771717,,,
31.693089,0.078075,31.693089,,,
37.79118,0.097537,37.79118,,,
44.270321,0.11815,44.270321,,,
50.006252,0.139068,50.006252,,,
55.124622,0.157554,55.124622,,,
60.275478,0.178987,60.275478,,,
65.110588,0.198275,65.110588,,,
69.528542,0.217321,69.528542,,,
73.31501,0.237873,73.31501,,,
77.236595,0.257708,77.236595,,,
80.821808,0.276754,80.821808,,,
84.025673,0.297913,84.025673,,,
87.10424,0.317272,87.10424,,,
90.17662,0.336688,90.17662,,,
92.283371,0.358106,92.283371,,,
94.867569,0.377324,94.867569,,,
97.060173,0.396858,97.060173,,,
99.249336,0.417682,99.249336,,,
100.933151,0.436318,100.933151,,,
102.731995,0.458024,102.731995,,,
104.610069,0.476795,104.610069,,,
106.18525700000001,0.49701,106.18525700000001,,,
107.581261,0.517434,107.581261,,,
109.509506,0.535127,109.509506,,,
110.745056,0.556799,110.745056,,,
112.017807,0.576121,112.017807,,,
113.465767,0.595723,113.465767,,,
114.19458,0.616435,114.19458,,,
115.719002,0.63565,115.719002,,,
116.664055,0.655678,116.664055,,,
117.965096,0.67594,117.965096,,,
118.728638,0.694504,118.728638,,,
119.7453,0.715728,119.7453,,,
120.841408,0.735338,120.841408,,,
121.349518,0.755335,121.349518,,,
122.720596,0.775647,122.720596,,,
123.272476,0.795671,123.272476,,,
124.059082,0.814403,124.059082,,,
125.135918,0.834348,125.135918,,,
125.620125,0.855058,125.620125,,,
126.63871,0.874925,126.63871,,,
127.05545,0.894078,127.05545,,,
127.794838,0.914008,127.794838,,,
128.176575,0.932646,128.176575,,,
128.93692,0.953855,128.93692,,,
129.608459,0.973147,129.608459,,,
130.192657,0.99253,130.192657,,,
130.804916,1.013844,130.804916,,,
131.659302,1.032004,131.659302,,,
131.801163,1.051717,131.801163,,,
132.196228,1.072701,132.196228,,,
132.956757,1.090802,132.956757,,,
133.477066,1.112284,133.477066,,,
134.075912,1.131381,134.075912,,,
134.087448,1.15045,134.087448,,,
134.809708,1.171672,134.809708,,,
135.377106,1.191511,135.377106,,,
135.556259,1.209438,135.556259,,,
136.151917,1.230553,136.151917,,,
136.483429,1.250604,136.483429,,,
136.726959,1.270204,136.726959,,,
136.956558,1.29027,136.956558,,,
137.228226,1.308756,137.228226,,,
137.622269,1.329509,137.622269,,,
138.122757,1.348576,138.122757,,,
138.609726,1.368298,138.609726,,,
138.663971,1.389438,138.663971,,,
138.872818,1.407506,138.872818,,,
139.53009,1.427992,139.53009,,,
139.630722,1.447333,139.630722,,,
140.284607,1.466178,140.284607,,,
140.271378,1.48765,140.271378,,,
140.56694,1.507286,140.56694,,,
140.634857,1.525685,140.634857,,,
140.856415,1.546475,140.856415,,,
141.206863,1.565219,141.206863,,,
141.784363,1.584944,141.784363,,,
141.766296,1.60523,141.766296,,,
142.077377,1.623458,142.077377,,,
142.087708,1.644275,142.087708,,,
142.577972,1.664173,142.577972,,,
142.682205,1.683949,142.682205,,,
142.83905,1.702562,142.83905,,,
143.235352,1.723901,143.235352,,,
143.392776,1.742952,143.392776,,,
143.536026,1.76276,143.536026,,,
143.488678,1.783337,143.488678,,,
144.377029,1.801158,144.377029,,,
143.951294,1.82161,143.951294,,,
144.123337,1.841145,144.123337,,,
144.817337,1.860641,144.817337,,,
144.400421,1.88073,144.400421,,,
144.788559,1.898569,144.788559,,,
144.904053,1.91996,144.904053,,,
145.174744,1.939172,145.174744,,,
145.110443,1.959514,145.110443,,,
145.34877,1.978099,145.34877,,,
145.847778,1.998,145.847778,,,
145.803482,2.017302,145.803482,,,
145.754929,2.037302,145.754929,,,
146.134827,2.056654,146.134827,,,
146.04689,2.076085,146.04689,,,
146.301819,2.096376,146.301819,,,
146.253876,2.11476,146.253876,,,
146.781296,2.136338,146.781296,,,
146.513702,2.154517,146.513702,,,
146.743881,2.174815,146.743881,,,
146.919739,2.193336,146.919739,,,
147.359558,2.214163,147.359558,,,
147.528595,2.234006,147.528595,,,
147.316986,2.252202,147.316986,,,
