"True Stress, MPa","True Strain, %","True Stress, MPa.1",Unnamed: 3,Unnamed: 4,Unnamed: 5
-3.953091,0.0,-3.953091,,,
-4.040206,3.6e-05,-4.040206,,,
-4.148187,6e-05,-4.148187,,,
-4.208241,3.6e-05,-4.208241,,,113.46637
-4.149,6e-05,-4.149,,,
-4.315915,4.8e-05,-4.315915,,,
-4.346095,4.8e-05,-4.346095,,,
-4.249552,3.6e-05,-4.249552,,,
-4.078823,7.2e-05,-4.078823,,,
-4.277663,4.8e-05,-4.277663,,,
-3.973971,0.003111,-3.973971,,,
-3.143725,0.003242,-3.143725,,,
-2.522285,0.006807,-2.522285,,,
-1.210797,0.007617,-1.210797,,,
-0.88154,0.008773,-0.88154,,,
-0.118102,0.010931,-0.118102,,,
0.861336,0.013601,0.861336,,,
1.871501,0.015746,1.871501,,,
2.3561,0.018297,2.3561,,,
2.923753,0.019358,2.923753,,,
4.246106,0.020061,4.246106,,,
4.678576,0.022027,4.678576,,,
5.490316,0.023982,5.490316,,,
5.93135,0.028094,5.93135,,,
7.11234,0.029834,7.11234,,,
7.456962,0.031264,7.456962,,,
7.860971,0.032241,7.860971,,,
9.013057,0.034005,9.013057,,,
10.006942,0.038736,10.006942,,,
10.237681,0.039736,10.237681,,,
10.670573,0.042942,10.670573,,,
11.960908,0.044026,11.960908,,,
12.129566,0.044372,12.129566,,,
12.681011,0.047517,12.681011,,,
13.79473,0.050008,13.79473,,,
13.971946,0.052438,13.971946,,,
14.548633,0.054738,14.548633,,,
15.368629,0.055905,15.368629,,,
16.063196,0.056775,16.063196,,,
16.55303,0.05867,16.55303,,,
16.968807,0.06004,16.968807,,,
17.867203,0.064448,17.867203,,,
18.55998,0.065961,18.55998,,,
18.58268,0.067664,18.58268,,,
19.296316,0.068653,19.296316,,,
20.258001,0.069916,20.258001,,,
20.537151,0.074276,20.537151,,,
20.9168,0.076289,20.9168,,,
21.725018,0.077659,21.725018,,,
22.542028,0.080458,22.542028,,,
22.717611,0.080708,22.717611,,,
23.092813,0.082495,23.092813,,,
24.163864,0.086616,24.163864,,,
24.297634,0.088617,24.297634,,,
24.4158,0.090522,24.4158,,,
25.324699,0.092499,25.324699,,,
26.038597,0.093166,26.038597,,,
26.176626,0.094798,26.176626,,,
26.539961,0.096632,26.539961,,,
27.501116,0.100526,27.501116,,,
27.769306,0.102039,27.769306,,,
28.102579,0.104147,28.102579,,,
28.509705,0.105302,28.509705,,,
29.402254,0.10629,29.402254,,,
29.527861,0.108767,29.527861,,,
29.955431,0.112673,29.955431,,,
30.418415,0.113709,30.418415,,,
30.964378,0.116602,30.964378,,,
31.12075,0.117209,31.12075,,,
31.597578,0.11821,31.597578,,,
32.463226,0.122936,32.463226,,,
