"True Stress, MPa","True Strain, %"
-3.131991,0.0
-3.019977,0.00014
-3.474139,6.3e-05
-3.152044,0.000185
-3.300655,7.5e-05
-2.633751,6e-06
-3.184283,0.000292
-3.169328,3.9e-05
-2.956263,0.000334
-3.239333,3e-06
-3.018825,0.000286
-3.222748,0.000125
-2.990653,6e-06
-2.632229,8.6e-05
-2.899953,0.00011
-2.664191,7.7e-05
-3.133016,0.00017
-6.705557,0.000241
14.992579,0.069517
45.528339,0.173139
75.636017,0.277839
92.933952,0.381733
107.680168,0.485423
119.026199,0.588974
127.912155,0.692403
135.541656,0.795763
141.472687,0.898943
146.299881,1.002117
150.577255,1.105051
154.037567,1.208066
157.238297,1.31073
159.502335,1.413336
161.602005,1.516001
163.349274,1.618497
164.905167,1.720802
166.026779,1.823088
167.203873,1.92526
168.368973,2.02732
169.227493,2.129299
169.901718,2.231165
170.583069,2.33284
171.101501,2.434551
171.602737,2.536191
172.129105,2.637569
172.511429,2.738768
172.596649,2.84014
173.158417,2.941184
173.513138,3.04229
174.007629,3.143234
174.126083,3.244104
174.032974,3.344801
174.395798,3.445432
174.769882,3.546125
174.962799,3.646418
175.145493,3.746869
175.062469,3.846952
175.336395,3.947133
175.337173,4.047125
175.673309,4.147051
175.548386,4.246778
175.712357,4.346519
175.958389,4.446084
176.134369,4.545599
176.395004,4.644989
176.513107,4.744286
172.534912,4.843632
174.41214,4.942718
175.283859,5.041816
179.738602,5.140717
177.19664,5.239532
176.51709,5.338245
175.962799,5.436975
176.100281,5.535501
176.343567,5.633957
176.24971,5.732275
176.468292,5.830431
176.25592,5.928707
176.602875,6.026642
176.817108,6.124569
176.971039,6.222324
177.058197,6.320398
176.899887,6.417876
177.214096,6.515496
177.287125,6.613018
177.137024,6.710469
177.517395,6.807749
177.291428,6.904978
177.512527,7.002134
177.658493,7.099105
177.627228,7.196024
177.711761,7.292929
177.771042,7.389599
177.868561,7.486137
178.004379,7.582706
178.220673,7.67905
178.303299,7.775475
178.34465,7.871757
178.3965,7.96796
178.637634,8.063967
178.711411,8.159974
178.721085,8.255811
178.922806,8.351667
178.784027,8.447516
178.874893,8.543064
179.02359,8.638638
179.004135,8.734179
179.124161,8.829615
179.217087,8.924804
179.326065,9.019988
179.451523,9.115037
179.793152,9.209948
179.832657,9.304873
179.780594,9.399619
175.971313,9.494265
177.73938,9.588913
178.164383,9.683434
182.675781,9.777849
180.315353,9.872263
179.384445,9.966442
179.376221,10.060598
179.14798,10.154666
179.553207,10.248739
179.456512,10.342655
179.271286,10.436476
179.472321,10.530258
179.504166,10.623852
179.759918,10.717437
179.871231,10.810949
180.030899,10.904418
179.999725,10.997646
180.058029,11.090997
180.225311,11.184032
180.217255,11.27698
180.358719,11.369955
180.240616,11.462927
180.45369,11.555562
180.404663,11.648265
180.543182,11.740893
180.710632,11.833405
180.982651,11.92578
181.044952,12.018122
180.885269,12.110415
181.155426,12.202763
181.113098,12.294745
181.163284,12.386788
181.300461,12.478695
181.319061,12.570645
181.601074,12.662263
181.542358,12.75392
181.628159,12.845564
181.588348,12.937142
181.577011,13.028514
181.603943,13.119809
181.627014,13.211031
181.871552,13.302222
181.830399,13.393277
182.256195,13.484344
182.222137,13.575248
182.544052,13.666101
182.287277,13.756865
182.618423,13.847572
178.636612,13.938189
179.876923,14.028813
180.689987,14.119218
184.965912,14.209522
182.933441,14.299857
181.928452,14.389972
181.602448,14.480099
181.614807,14.570134
181.732742,14.660008
181.591492,14.749765
181.646057,14.839535
181.746262,14.929252
181.78598,15.018929
181.575455,15.108362
182.030121,15.197923
181.8022,15.287282
181.96521,15.376608
182.067627,15.465826
181.876678,15.554973
181.967224,15.644108
181.965027,15.733107
182.187439,15.822054
182.328232,15.910881
182.206268,15.999607
182.46199,16.08827
182.515198,16.176838
182.424408,16.265348
182.720291,16.353794
182.686417,16.442066
182.606201,16.530378
182.582855,16.618559
182.817627,16.706663
183.017517,16.794731
183.082809,16.882658
182.907806,16.970549
183.021973,17.058331
182.987961,17.146185
183.141449,17.23378
183.465652,17.321373
183.367264,17.408953
183.302963,17.496332
183.519547,17.583773
183.438232,17.670979
183.509872,17.758169
183.654526,17.845352
183.841019,17.93232
183.640564,18.019423
183.431976,18.106211
179.952637,18.193033
180.660034,18.279831
181.729446,18.366467
186.054779,18.453123
184.16568,18.539545
183.064789,18.62612
182.633072,18.712423
182.293457,18.798759
182.571198,18.884958
182.352341,18.971052
182.480423,19.057276
182.027878,19.143124
182.535767,19.229103
182.677109,19.31496
182.675415,19.400686
182.558624,19.486481
182.532623,19.572109
182.713058,19.657623
182.679504,19.743122
182.789627,19.828489
183.204529,19.913858
183.027283,19.998972
182.928558,20.0842
183.023087,20.169384
183.016541,20.254347
183.232086,20.339363
183.167831,20.424322
183.330704,20.509092
183.247589,20.593863
183.278351,20.678576
183.07579,20.763227
183.251968,20.847771
183.315796,20.932278
183.546249,21.016705
183.703934,21.100986
183.953293,21.185213
183.82843,21.269466
183.70195,21.353565
184.092865,21.437586
183.760666,21.521547
183.916138,21.605331
183.919022,21.689268
183.78244,21.772972
183.693863,21.856699
183.659271,21.940308
184.001099,22.023893
184.005524,22.107378
184.250717,22.190798
180.593933,22.274233
180.903336,22.357573
