"True Stress, MPa","True Strain, %","True Stress, MPa.1"
-10.432051,0.0,-10.432051
-10.674672,6.3e-05,-10.674672
-10.901013,6.3e-05,-10.901013
-11.149058,6.3e-05,-11.149058
-16.228016,6.3e-05,-16.228016
-21.991669,6.3e-05,-21.991669
-14.817694,6.3e-05,-14.817694
-7.916821,6.3e-05,-7.916821
-9.081805,6.3e-05,-9.081805
-10.30266,6.3e-05,-10.30266
-10.499515,6.3e-05,-10.499515
-10.985231,6.3e-05,-10.985231
-11.387681,6.3e-05,-11.387681
-11.685456,0.000122,-11.685456
-20.090134,3e-06,-20.090134
-21.236664,0.000149,-21.236664
-11.058639,6.3e-05,-11.058639
-7.954674,6.3e-05,-7.954674
-9.625664,6.3e-05,-9.625664
-10.853305,6.3e-05,-10.853305
-10.975371,6.3e-05,-10.975371
-11.561593,2.1e-05,-11.561593
-11.887422,6.3e-05,-11.887422
-12.978218,6.3e-05,-12.978218
-21.276249,6.3e-05,-21.276249
-17.754953,6.3e-05,-17.754953
-8.659409,6.3e-05,-8.659409
-8.042972,6.3e-05,-8.042972
-10.473879,6.3e-05,-10.473879
-10.692348,6.3e-05,-10.692348
-11.168262,6.3e-05,-11.168262
-11.098764,6.3e-05,-11.098764
-11.598794,6.3e-05,-11.598794
-15.77389,6.3e-05,-15.77389
-21.265381,6.3e-05,-21.265381
-14.779636,6.3e-05,-14.779636
-7.532624,6.3e-05,-7.532624
-9.011415,6.3e-05,-9.011415
-9.637217,6.3e-05,-9.637217
-10.843678,6.3e-05,-10.843678
-10.98868,6.3e-05,-10.98868
-11.246441,6.3e-05,-11.246441
-11.104916,6.3e-05,-11.104916
-19.354803,6.3e-05,-19.354803
-21.095488,6.3e-05,-21.095488
-11.48664,6.3e-05,-11.48664
-7.703498,6.3e-05,-7.703498
-9.446859,6.3e-05,-9.446859
-10.023085,6.3e-05,-10.023085
-10.727555,6.3e-05,-10.727555
-10.963675,6.3e-05,-10.963675
-12.000083,3e-06,-12.000083
-12.809759,6.3e-05,-12.809759
-21.615959,6.3e-05,-21.615959
-18.844542,6.3e-05,-18.844542
-9.178177,6.3e-05,-9.178177
-8.666162,6.3e-05,-8.666162
-10.028632,6.3e-05,-10.028632
-10.734019,2.7e-05,-10.734019
-11.156502,2.4e-05,-11.156502
-11.555329,2.4e-05,-11.555329
-12.051683,6.3e-05,-12.051683
-15.645959,6.3e-05,-15.645959
-21.863623,6.3e-05,-21.863623
-16.251732,6.3e-05,-16.251732
-8.016184,6.3e-05,-8.016184
-9.692863,6.3e-05,-9.692863
-10.374143,6.3e-05,-10.374143
-11.319762,6.3e-05,-11.319762
-11.300218,6.3e-05,-11.300218
-11.829677,6.3e-05,-11.829677
-11.691402,6.3e-05,-11.691402
-19.052778,6.3e-05,-19.052778
-21.777081,6.3e-05,-21.777081
-12.552574,6.3e-05,-12.552574
-8.048461,6.3e-05,-8.048461
-9.30375,6.3e-05,-9.30375
-10.602987,6.3e-05,-10.602987
-11.540502,6.3e-05,-11.540502
-11.39739,1.8e-05,-11.39739
-12.26972,3.9e-05,-12.26972
-12.629941,3e-06,-12.629941
-20.940598,6.3e-05,-20.940598
-19.281336,6.3e-05,-19.281336
-9.757072,6.3e-05,-9.757072
-8.541162,6.3e-05,-8.541162
-9.469191,6.3e-05,-9.469191
-11.059529,6.3e-05,-11.059529
-11.837152,6.3e-05,-11.837152
-11.985923,6.3e-05,-11.985923
-11.913288,6.3e-05,-11.913288
-14.38808,6.3e-05,-14.38808
-21.295471,6.3e-05,-21.295471
-16.620119,6.3e-05,-16.620119
-8.16372,6.3e-05,-8.16372
-8.699907,6.3e-05,-8.699907
-10.595657,6.3e-05,-10.595657
-10.730027,6.3e-05,-10.730027
-11.574219,6.3e-05,-11.574219
-11.444503,6.3e-05,-11.444503
-11.624142,6.3e-05,-11.624142
-18.247015,2.7e-05,-18.247015
-21.507456,6.3e-05,-21.507456
-13.063124,6.3e-05,-13.063124
-8.131384,6.6e-05,-8.131384
-9.83255,6.3e-05,-9.83255
-10.360416,0.000176,-10.360416
-11.612152,2.4e-05,-11.612152
-11.127474,6.3e-05,-11.127474
-11.480374,6.3e-05,-11.480374
-12.050848,6.3e-05,-12.050848
-21.011242,6.3e-05,-21.011242
-20.556084,6.3e-05,-20.556084
-10.086719,6.3e-05,-10.086719
-8.355426,3e-06,-8.355426
-10.242846,6.3e-05,-10.242846
-10.840167,6.3e-05,-10.840167
-11.799063,1.5e-05,-11.799063
-11.841425,9e-06,-11.841425
-12.243507,6.3e-05,-12.243507
-14.109656,6.3e-05,-14.109656
-22.121675,6.3e-05,-22.121675
-17.98897,6.3e-05,-17.98897
-9.489283,6.3e-05,-9.489283
-10.155988,5.4e-05,-10.155988
-10.791363,5.7e-05,-10.791363
-10.886895,0.000256,-10.886895
-12.22443,0.00011,-12.22443
-12.436811,0.000137,-12.436811
-12.514748,5.7e-05,-12.514748
-17.971125,0.000256,-17.971125
-22.351053,0.000256,-22.351053
-14.963981,0.000194,-14.963981
-8.868257,0.000164,-8.868257
-10.684264,0.000256,-10.684264
-10.873102,0.000256,-10.873102
-11.473781,0.000206,-11.473781
-12.07061,0.000179,-12.07061
-12.195897,0.000173,-12.195897
-12.197494,6.3e-05,-12.197494
-20.512026,6.3e-05,-20.512026
-21.121157,6.3e-05,-21.121157
-11.011933,6.3e-05,-11.011933
-8.116556,8.6e-05,-8.116556
-9.782683,6.3e-05,-9.782683
-10.671968,6.3e-05,-10.671968
-10.913116,6.3e-05,-10.913116
-11.552173,6.3e-05,-11.552173
-11.867073,6.3e-05,-11.867073
-13.549067,6.3e-05,-13.549067
-21.552465,6.3e-05,-21.552465
-18.528742,2.1e-05,-18.528742
-9.213035,3e-06,-9.213035
-9.770667,6e-05,-9.770667
-11.300483,0.000104,-11.300483
-12.116195,0.000191,-12.116195
-12.059294,0.000256,-12.059294
-12.158021,0.000256,-12.158021
-12.651416,0.000256,-12.651416
-17.644669,0.000256,-17.644669
-23.327198,0.000256,-23.327198
-15.388373,0.000256,-15.388373
-8.725088,0.000131,-8.725088
-10.111782,6.3e-05,-10.111782
-10.900066,5.1e-05,-10.900066
-11.614858,6.6e-05,-11.614858
-12.10006,8e-05,-12.10006
-12.366208,6.3e-05,-12.366208
-12.226602,6e-06,-12.226602
-20.343178,3e-06,-20.343178
-21.553871,6.3e-05,-21.553871
-11.372392,0.00011,-11.372392
-9.208632,0.000256,-9.208632
-10.65798,0.000143,-10.65798
-11.607284,0.000191,-11.607284
-11.942735,0.000197,-11.942735
-12.231711,0.0002,-12.231711
-12.776523,0.000218,-12.776523
-14.072472,0.000119,-14.072472
-22.157566,1.5e-05,-22.157566
-19.413471,0.000256,-19.413471
-9.483323,0.000256,-9.483323
-9.184369,0.000188,-9.184369
-11.023665,0.000122,-11.023665
-11.498386,0.000256,-11.498386
-11.527067,0.000206,-11.527067
-11.888505,0.000247,-11.888505
-12.134746,2.4e-05,-12.134746
-15.982471,6.3e-05,-15.982471
-22.60672,6.3e-05,-22.60672
-16.165796,6.3e-05,-16.165796
-8.485775,6.3e-05,-8.485775
-9.998021,6.3e-05,-9.998021
-11.125432,1.5e-05,-11.125432
-11.067188,0.000191,-11.067188
-12.618594,0.000256,-12.618594
-12.710377,0.000104,-12.710377
-12.898138,0.000256,-12.898138
-20.554476,0.000197,-20.554476
-22.139688,3.9e-05,-22.139688
-11.662354,0.086726,-11.662354
36.918354,0.196684,36.918354
69.603935,0.296296,69.603935
95.526199,0.398562,95.526199
113.55555,0.503685,113.55555
127.836716,0.60647,127.836716
138.655319,0.709464,138.655319
146.71344,0.81348,146.71344
146.2948,0.916943,146.2948
155.159164,1.019216,155.159164
170.963928,1.121697,170.963928
176.014221,1.224235,176.014221
179.298599,1.326839,179.298599
182.102905,1.428177,182.102905
184.510971,1.528681,184.510971
187.549347,1.630261,187.549347
189.343246,1.73222,189.343246
188.370377,1.833766,188.370377
183.082199,1.933358,183.082199
190.648407,2.035631,190.648407
200.156555,2.13602,200.156555
200.587418,2.237495,200.587418
200.103302,2.339044,200.103302
200.639069,2.441031,200.639069
200.356567,2.541142,200.356567
201.982239,2.642306,201.982239
202.197342,2.742847,202.197342
195.408661,2.842674,195.408661
193.434494,2.943722,193.434494
203.10495,3.044522,203.10495
208.100693,3.144213,208.100693
206.989975,3.244396,206.989975
206.502731,3.344288,206.502731
206.313599,3.444415,206.313599
206.285843,3.543689,206.285843
206.311432,3.643225,206.311432
205.453629,3.742651,205.453629
196.963654,3.8416,196.963654
198.738968,3.9414,198.738968
209.864029,4.040519,209.864029
211.612335,4.139354,211.612335
210.306854,4.238377,210.306854
210.092728,4.337473,210.092728
209.643143,4.436465,209.643143
209.383911,4.535104,209.383911
209.99823,4.633258,209.99823
206.407013,4.732322,206.407013
199.04303,4.830967,199.04303
204.544876,4.928361,204.544876
213.636627,5.027068,213.636627
213.671265,5.124993,213.671265
212.47966,5.223543,212.47966
211.757828,5.321168,211.757828
211.102493,5.419192,211.102493
211.397705,5.516541,211.397705
211.669998,5.61469,211.669998
205.094986,5.712796,205.094986
200.836166,5.809376,200.836166
210.366821,5.907985,210.366821
216.367096,6.005365,216.367096
214.611572,6.102582,214.611572
213.718185,6.198549,213.718185
213.297562,6.295854,213.297562
213.39296,6.393825,213.39296
213.041031,6.489887,213.041031
212.489136,6.586904,212.489136
203.034027,6.683448,203.034027
204.014999,6.778066,204.014999
215.020569,6.876214,215.020569
217.656113,6.971717,217.656113
215.913773,7.067865,215.913773
215.785034,7.16472,215.785034
214.789749,7.261079,214.789749
214.458344,7.357508,214.458344
214.842865,7.453222,214.842865
212.061401,7.549743,212.061401
204.271179,7.645006,204.271179
208.941727,7.738382,208.941727
218.161224,7.835387,218.161224
218.351532,7.930722,218.351532
216.593857,8.026299,216.593857
216.449341,8.120744,216.449341
215.740829,8.216131,215.740829
215.361084,8.311744,215.361084
215.22702,8.406626,215.22702
210.336044,8.501479,210.336044
205.20993,8.596725,205.20993
213.611847,8.691242,213.611847
219.960785,8.786041,219.960785
218.902466,8.880262,218.902466
218.06929,8.975027,218.06929
216.782501,9.069152,216.782501
216.457901,9.163561,216.457901
216.148026,9.258014,216.148026
216.492432,9.352296,216.492432
207.128586,9.445795,207.128586
207.063782,9.539349,207.063782
218.325668,9.632784,218.325668
220.182266,9.72689,220.182266
219.627335,9.820623,219.627335
218.59938,9.913823,218.59938
217.394714,10.007862,217.394714
218.07225,10.100945,218.07225
217.409103,10.194024,217.409103
215.203888,10.287803,215.203888
206.272263,10.380673,206.272263
210.902451,10.474043,210.902451
221.80806,10.56669,221.80806
221.025024,10.659726,221.025024
219.162338,10.752852,219.162338
218.836166,10.845388,218.836166
218.473648,10.937391,218.473648
218.325439,11.029927,218.325439
217.938721,11.122664,217.938721
213.180862,11.215358,213.180862
207.247543,11.307047,207.247543
215.916931,11.399798,215.916931
222.573486,11.491688,222.573486
221.157791,11.584095,221.157791
220.00824,11.676293,220.00824
219.530441,11.76684,219.530441
219.791977,11.860254,219.791977
218.967575,11.95109,218.967575
218.837845,12.041912,218.837845
209.828201,12.134327,209.828201
208.743469,12.225962,208.743469
219.795349,12.3164,219.795349
223.62085,12.408189,223.62085
221.35112,12.499485,221.35112
221.099548,12.590418,221.099548
219.926697,12.681433,219.926697
220.636887,12.771783,220.636887
219.803864,12.863105,219.803864
218.436249,12.954923,218.436249
208.44162,13.044694,208.44162
212.0457,13.13618,212.0457
222.711899,13.225684,222.711899
223.997925,13.31659,223.997925
221.114441,13.40652,221.114441
221.12735,13.497837,221.12735
220.608017,13.586649,220.608017
219.964203,13.677087,219.964203
220.023102,13.767365,220.023102
215.171844,13.857138,215.171844
208.870926,13.946886,208.870926
216.601624,14.036955,216.601624
224.268463,14.126405,224.268463
