"True Stress, MPa","True Strain, %","True Stress, MPa.1"
-5.09091,0.0,-5.09091
-11.956566,0.0,-11.956566
-5.420497,0.0,-5.420497
2.970999,0.0,2.970999
1.881208,0.0,1.881208
0.371666,0.0,0.371666
-0.654202,0.0,-0.654202
-0.91711,0.000346,-0.91711
-1.663232,0.000313,-1.663232
-1.716233,0.000313,-1.716233
-8.138593,0.000337,-8.138593
-11.959261,0.000381,-11.959261
-1.578961,0.00039,-1.578961
2.243539,0.000313,2.243539
0.94338,0.000313,0.94338
-0.281215,0.000313,-0.281215
-0.230169,0.000313,-0.230169
0.0384,0.000301,0.0384
-0.769228,0.0,-0.769228
-1.35054,0.0,-1.35054
-10.592116,0.0,-10.592116
-9.50106,0.0,-9.50106
1.348212,0.0,1.348212
1.985743,0.0,1.985743
1.412767,0.0,1.412767
-0.424753,0.0,-0.424753
-1.122039,0.0,-1.122039
-1.057685,0.0,-1.057685
-1.633048,0.0,-1.633048
-4.365976,5.7e-05,-4.365976
-12.169432,0.000447,-12.169432
-7.277699,0.000313,-7.277699
1.480115,0.000313,1.480115
1.287943,0.000313,1.287943
-0.039779,0.000313,-0.039779
-0.216344,0.000367,-0.216344
-1.039121,0.000313,-1.039121
-1.033028,0.000313,-1.033028
-1.798407,0.000313,-1.798407
-7.458316,0.000313,-7.458316
-11.646046,0.000313,-11.646046
-2.834337,0.000313,-2.834337
2.501473,0.000313,2.501473
1.813296,0.000313,1.813296
0.637677,0.000313,0.637677
-0.542626,0.000313,-0.542626
-0.620403,0.000313,-0.620403
-0.815334,0.000313,-0.815334
-1.148887,0.000173,-1.148887
-10.41905,0.000206,-10.41905
-9.777161,0.000313,-9.777161
0.902796,0.000313,0.902796
2.036509,0.000313,2.036509
0.339102,0.000313,0.339102
-0.140521,0.0,-0.140521
-1.063089,0.0,-1.063089
-0.399287,0.0,-0.399287
-1.514256,0.0,-1.514256
-3.64667,0.0,-3.64667
-11.813143,0.0,-11.813143
-7.277912,0.000465,-7.277912
1.804184,0.000313,1.804184
1.74288,0.000453,1.74288
0.333383,0.000477,0.333383
-0.605486,0.000283,-0.605486
-1.239485,0.000396,-1.239485
-1.081947,0.000313,-1.081947
-1.741181,0.000313,-1.741181
-7.415287,0.000313,-7.415287
-12.472768,0.000376,-12.472768
-3.652288,0.000313,-3.652288
2.536686,0.00042,2.536686
1.570308,0.000313,1.570308
0.415499,0.000313,0.415499
-0.188119,0.000313,-0.188119
-1.107671,0.000313,-1.107671
-1.164752,0.000122,-1.164752
-1.601344,0.0,-1.601344
-9.681935,0.0,-9.681935
-10.247211,0.0,-10.247211
-0.198091,0.0,-0.198091
1.636526,0.0,1.636526
0.343873,0.000289,0.343873
-0.633454,0.000632,-0.633454
-1.169814,0.000402,-1.169814
-0.948956,0.000313,-0.948956
-1.151446,0.000313,-1.151446
-3.325199,0.000313,-3.325199
-11.771621,0.000313,-11.771621
-8.079295,0.000313,-8.079295
1.484654,0.000197,1.484654
1.944728,0.0,1.944728
0.523252,0.0,0.523252
-0.067171,0.0,-0.067171
-1.049036,0.000146,-1.049036
-0.66619,0.000331,-0.66619
-1.703357,0.000313,-1.703357
-6.08814,0.000313,-6.08814
-11.98236,0.000313,-11.98236
-4.61139,0.000313,-4.61139
2.264292,0.000313,2.264292
1.49986,0.000313,1.49986
0.112239,0.000313,0.112239
-0.188291,0.000313,-0.188291
-0.523024,0.000313,-0.523024
-0.675789,0.000313,-0.675789
-1.665043,0.000313,-1.665043
-9.470846,0.000232,-9.470846
-11.26385,0.0,-11.26385
-0.936882,0.0,-0.936882
2.457949,0.0,2.457949
1.058892,0.0,1.058892
-0.177253,0.0,-0.177253
-0.479047,0.0,-0.479047
-1.49267,0.0,-1.49267
-1.410209,0.0,-1.410209
-2.915193,0.000405,-2.915193
-12.314892,0.000632,-12.314892
-9.565274,0.000632,-9.565274
0.850917,0.000402,0.850917
1.343847,0.000313,1.343847
-0.101834,0.00051,-0.101834
-0.198322,0.00045,-0.198322
-1.210857,0.000313,-1.210857
-0.670903,0.000313,-0.670903
-1.612732,0.000313,-1.612732
-5.593112,0.000313,-5.593112
-12.321795,0.000226,-12.321795
-5.107005,0.0,-5.107005
2.534433,0.0,2.534433
0.788026,0.0,0.788026
-0.123505,1.8e-05,-0.123505
-0.679239,0.000376,-0.679239
-1.760927,0.000313,-1.760927
-1.585599,0.000313,-1.585599
-1.562748,0.000313,-1.562748
-8.653594,0.000313,-8.653594
-12.18653,0.000429,-12.18653
-1.896016,0.000313,-1.896016
2.333791,0.000313,2.333791
1.244715,0.000313,1.244715
