"True Stress, MPa","True Strain, %","True Stress, MPa.1",Unnamed: 3,Unnamed: 4,Unnamed: 5
-2.807091,0.0,-2.807091,,,
-3.559904,0.0,-3.559904,,,
-3.058287,0.0,-3.058287,,,
-3.249097,0.0,-3.249097,,,232.007553
-3.038019,0.0,-3.038019,,,
-3.663656,0.0,-3.663656,,,
-3.790476,0.0,-3.790476,,,
-3.060433,0.0,-3.060433,,,
-3.637367,0.0,-3.637367,,,
-2.69109,0.0,-2.69109,,,
-3.130444,0.0,-3.130444,,,
-3.111964,0.0,-3.111964,,,
-3.312732,0.0,-3.312732,,,
-2.738929,7.2e-05,-2.738929,,,
-3.54059,0.0,-3.54059,,,
-2.771175,0.0,-2.771175,,,
-2.65133,0.0,-2.65133,,,
-2.563763,0.0,-2.563763,,,
-3.61254,0.0,-3.61254,,,
-2.691388,0.0,-2.691388,,,
-3.073636,0.0,-3.073636,,,
-2.619945,0.0,-2.619945,,,
-2.942643,0.0,-2.942643,,,
-2.627396,0.0,-2.627396,,,
-3.094768,0.0,-3.094768,,,
-2.619529,3.6e-05,-2.619529,,,
-3.030935,0.00031,-3.030935,,,
-2.827962,0.00031,-2.827962,,,
-2.95976,0.00031,-2.95976,,,
-2.870673,0.00031,-2.870673,,,
-3.354379,0.00031,-3.354379,,,
-2.904473,0.00031,-2.904473,,,
-3.315361,0.000167,-3.315361,,,
-3.055456,0.0,-3.055456,,,
-3.964987,0.000107,-3.964987,,,
-3.322637,0.00031,-3.322637,,,
-3.290657,0.00031,-3.290657,,,
-3.354251,2.4e-05,-3.354251,,,
-3.090119,0.0,-3.090119,,,
-3.578661,0.000286,-3.578661,,,
-3.303676,0.000143,-3.303676,,,
-3.625925,7.2e-05,-3.625925,,,
-3.180939,0.000179,-3.180939,,,
-3.372971,0.000107,-3.372971,,,
-3.207135,7.2e-05,-3.207135,,,
-3.470049,0.000215,-3.470049,,,
-3.169167,0.000191,-3.169167,,,
-3.613166,0.0,-3.613166,,,
-2.793142,0.0,-2.793142,,,
-3.304625,0.0,-3.304625,,,
-2.602816,0.00031,-2.602816,,,
-2.951684,0.00031,-2.951684,,,
-2.28724,0.00031,-2.28724,,,
-2.451793,0.00031,-2.451793,,,
-2.943845,0.00031,-2.943845,,,
-2.422852,0.00031,-2.422852,,,
-2.3698,0.00031,-2.3698,,,
-3.288868,0.00031,-3.288868,,,
-2.881433,0.000298,-2.881433,,,
-2.932333,7.2e-05,-2.932333,,,
-3.378813,8.3e-05,-3.378813,,,
-3.581971,0.00031,-3.581971,,,
-3.766131,0.000167,-3.766131,,,
-3.511061,0.000203,-3.511061,,,
-3.359173,0.000155,-3.359173,,,
-3.453086,9.5e-05,-3.453086,,,
-3.162279,0.000107,-3.162279,,,
-3.11468,7.2e-05,-3.11468,,,
-2.99656,0.0,-2.99656,,,
-2.352922,0.0,-2.352922,,,
-2.213495,0.0,-2.213495,,,
-2.476232,0.000286,-2.476232,,,
-2.847783,0.00031,-2.847783,,,
-2.192877,0.00031,-2.192877,,,
-3.041337,0.00031,-3.041337,,,
-2.797591,0.00031,-2.797591,,,
-2.822896,0.00031,-2.822896,,,
-3.565161,0.00031,-3.565161,,,
-4.169041,0.00031,-4.169041,,,
-2.89726,0.00031,-2.89726,,,
-3.529985,0.000143,-3.529985,,,
-3.78473,0.000215,-3.78473,,,
-3.517856,0.000203,-3.517856,,,
-3.346092,0.00025,-3.346092,,,
-3.296759,7.2e-05,-3.296759,,,
-2.986218,0.0,-2.986218,,,
-3.079931,0.000179,-3.079931,,,
-2.481301,0.000346,-2.481301,,,
-3.030452,8.3e-05,-3.030452,,,
-2.969169,0.0,-2.969169,,,
-2.992984,0.0,-2.992984,,,
-2.888995,0.0,-2.888995,,,
-2.671482,0.000191,-2.671482,,,
-2.115711,0.00031,-2.115711,,,
-2.710948,0.00031,-2.710948,,,
-3.122139,0.00031,-3.122139,,,
-2.945216,0.00031,-2.945216,,,
-2.44011,0.00031,-2.44011,,,
-3.206308,0.00031,-3.206308,,,
-3.134538,0.00031,-3.134538,,,
-3.427064,1.2e-05,-3.427064,,,
-3.482291,0.0,-3.482291,,,
-3.765468,0.0,-3.765468,,,
-4.042362,0.000119,-4.042362,,,
-3.650721,0.0,-3.650721,,,
-3.61383,0.000238,-3.61383,,,
-3.279977,2.4e-05,-3.279977,,,
-3.733401,4.8e-05,-3.733401,,,
-3.049197,2.4e-05,-3.049197,,,
-3.869697,0.0,-3.869697,,,
-2.494109,0.0,-2.494109,,,
-2.659734,0.0,-2.659734,,,
-2.98899,0.0,-2.98899,,,
-3.434008,0.0,-3.434008,,,
-2.988543,0.0,-2.988543,,,
-2.72167,0.0,-2.72167,,,
-3.105289,0.0,-3.105289,,,
-2.873556,0.0,-2.873556,,,
-3.013102,0.0,-3.013102,,,
-3.633462,0.0,-3.633462,,,
-2.870814,0.0,-2.870814,,,
-3.385575,0.0,-3.385575,,,
-3.192439,0.0,-3.192439,,,
-3.269902,0.0,-3.269902,,,
-2.85919,0.0,-2.85919,,,
-3.142873,0.0,-3.142873,,,
-3.042848,0.0,-3.042848,,,
-2.940736,0.0,-2.940736,,,
-2.881036,0.0,-2.881036,,,
-3.130563,0.0,-3.130563,,,
-3.321316,0.0,-3.321316,,,
-3.120341,0.0,-3.120341,,,
-2.774007,0.0,-2.774007,,,
-2.790251,0.0,-2.790251,,,
-2.991887,0.000179,-2.991887,,,
-2.669221,0.00031,-2.669221,,,
-3.222165,0.00031,-3.222165,,,
-2.314571,0.00031,-2.314571,,,
-3.303052,0.000238,-3.303052,,,
-3.03531,9.5e-05,-3.03531,,,
-3.870024,0.0,-3.870024,,,
-2.825629,0.0,-2.825629,,,
-3.540591,0.0,-3.540591,,,
-3.479103,0.0,-3.479103,,,
-3.448261,0.000179,-3.448261,,,
-2.876989,0.000226,-2.876989,,,
-4.294388,0.0,-4.294388,,,
-3.924183,4.8e-05,-3.924183,,,
-3.596033,0.000155,-3.596033,,,
-2.94166,1.2e-05,-2.94166,,,
-3.570396,0.0,-3.570396,,,
-3.248746,0.000167,-3.248746,,,
-3.340965,0.000238,-3.340965,,,
-3.029256,0.0,-3.029256,,,
-3.277442,0.0,-3.277442,,,
-2.672342,0.0,-2.672342,,,
-2.907086,0.0,-2.907086,,,
-2.725663,0.0,-2.725663,,,
-3.075753,0.0,-3.075753,,,
-2.73488,0.000274,-2.73488,,,
-2.942592,0.00031,-2.942592,,,
-3.363738,0.00031,-3.363738,,,
-2.99069,2.4e-05,-2.99069,,,
-3.887823,0.000119,-3.887823,,,
-3.434276,0.0,-3.434276,,,
-3.609887,0.0,-3.609887,,,
-3.618202,0.0,-3.618202,,,
-3.435144,9.5e-05,-3.435144,,,
-3.452552,0.000131,-3.452552,,,
-3.580981,0.000155,-3.580981,,,
-3.459463,3.6e-05,-3.459463,,,
-3.433382,0.0,-3.433382,,,
-2.342595,0.059182,-2.342595,,,
33.33569,0.179178,33.33569,,,
73.541016,0.275447,73.541016,,,
100.701363,0.38338,100.701363,,,
121.759109,0.482929,121.759109,,,
136.184357,0.586467,136.184357,,,
148.629868,0.691319,148.629868,,,
158.509384,0.793945,158.509384,,,
166.568756,0.89676,166.568756,,,
173.348984,1.000237,173.348984,,,
179.619186,1.101756,179.619186,,,
184.933685,1.203089,184.933685,,,
189.680252,1.301508,189.680252,,,
193.21312,1.405355,193.21312,,,
196.32312,1.507215,196.32312,,,
198.156128,1.61025,198.156128,,,
201.145523,1.712945,201.145523,,,
203.132553,1.81379,203.132553,,,
205.006363,1.916662,205.006363,,,
206.814194,2.017559,206.814194,,,
207.992188,2.11951,207.992188,,,
208.575027,2.219783,208.575027,,,
209.832977,2.320946,209.832977,,,
210.872879,2.421203,210.872879,,,
211.866486,2.522639,211.866486,,,
212.183044,2.622996,212.183044,,,
212.799179,2.723253,212.799179,,,
213.353714,2.82487,213.353714,,,
213.354614,2.921868,213.354614,,,
214.157074,3.023144,214.157074,,,
214.752029,3.122932,214.752029,,,
215.08226,3.224998,215.08226,,,
215.622559,3.324964,215.622559,,,
215.90213,3.42437,215.90213,,,
215.915176,3.524299,215.915176,,,
216.527557,3.623726,216.527557,,,
217.109406,3.723226,217.109406,,,
217.470291,3.822433,217.470291,,,
217.521317,3.922079,217.521317,,,
217.823624,4.021329,217.823624,,,
217.556305,4.120172,217.556305,,,
218.127121,4.219282,218.127121,,,
218.402634,4.318694,218.402634,,,
219.3172,4.418121,219.3172,,,
218.854523,4.516892,218.854523,,,
219.074036,4.615269,219.074036,,,
218.380157,4.71348,218.380157,,,
219.403458,4.812357,219.403458,,,
219.396774,4.910921,219.396774,,,
219.743698,5.009569,219.743698,,,
219.714767,5.106715,219.714767,,,
220.076645,5.204807,220.076645,,,
220.700195,5.303121,220.700195,,,
220.759064,5.401066,220.759064,,,
221.375275,5.499006,221.375275,,,
220.677475,5.5964,220.677475,,,
220.526581,5.694059,220.526581,,,
220.750732,5.791364,220.750732,,,
221.447815,5.889057,221.447815,,,
221.518906,5.986498,221.518906,,,
221.286209,6.083104,221.286209,,,
221.411255,6.18085,221.411255,,,
221.750092,6.278052,221.750092,,,
221.915314,6.374902,221.915314,,,
222.789078,6.471927,222.789078,,,
221.911896,6.567719,221.911896,,,
222.357162,6.663944,222.357162,,,
222.391495,6.761023,222.391495,,,
222.897369,6.857652,222.897369,,,
222.856339,6.954177,222.856339,,,
223.030167,7.050208,223.030167,,,
222.389755,7.146314,222.389755,,,
223.098984,7.243758,223.098984,,,
