"True Stress, MPa","True Strain, %","True Stress, MPa.1"
-13.976354,0.0,-13.976354
-14.831616,1.8e-05,-14.831616
-14.700026,0.0,-14.700026
-14.687696,0.0,-14.687696
-14.740445,5.7e-05,-14.740445
-14.948388,4.8e-05,-14.948388
-14.788585,0.0,-14.788585
-15.446383,5.7e-05,-15.446383
-16.086489,0.0,-16.086489
-15.802818,0.0,-15.802818
-16.688902,3.6e-05,-16.688902
-16.535654,3.9e-05,-16.535654
-17.147316,1.2e-05,-17.147316
-16.708725,3.6e-05,-16.708725
-17.718178,3.3e-05,-17.718178
-17.842274,1.5e-05,-17.842274
-17.597517,0.0,-17.597517
-18.322769,5.7e-05,-18.322769
-18.98468,1.8e-05,-18.98468
-19.104544,3e-05,-19.104544
-17.805595,0.004741,-17.805595
12.61928,0.085767,12.61928
46.476376,0.190366,46.476376
71.374901,0.294481,71.374901
88.458939,0.398378,88.458939
100.096725,0.501935,100.096725
109.205383,0.605481,109.205383
116.255852,0.708872,116.255852
121.98745,0.812242,121.98745
127.108185,0.915538,127.108185
131.538116,1.018497,131.538116
134.973297,1.121509,134.973297
137.828247,1.224338,137.828247
140.121979,1.327212,140.121979
142.115738,1.429754,142.115738
143.955292,1.532397,143.955292
145.43396,1.634823,145.43396
146.581161,1.737153,146.581161
147.868942,1.83936,147.868942
148.428497,1.941499,148.428497
149.645218,2.043506,149.645218
150.593506,2.145477,150.593506
151.063614,2.247214,151.063614
151.819641,2.349088,151.819641
152.43251,2.450666,152.43251
152.841995,2.552313,152.841995
153.100418,2.653657,153.100418
153.508286,2.755147,153.508286
153.456955,2.856222,153.456955
153.273087,2.957359,153.273087
153.358887,3.058435,153.358887
153.436127,3.15927,153.436127
153.72467,3.260121,153.72467
154.022171,3.360828,154.022171
154.609558,3.461365,154.609558
155.199509,3.561803,155.199509
155.433487,3.662359,155.433487
155.481476,3.76253,155.481476
155.466125,3.862735,155.466125
155.559677,3.96288,155.559677
155.400085,4.062842,155.400085
155.594254,4.162727,155.594254
155.452682,4.262518,155.452682
155.726273,4.362346,155.726273
155.747986,4.46189,155.747986
155.307648,4.561332,155.307648
155.505997,4.660786,155.505997
155.668457,4.76007,155.668457
155.574905,4.859419,155.574905
155.430862,4.958439,155.430862
155.287918,5.057539,155.287918
155.535873,5.156427,155.535873
155.256348,5.25535,155.256348
154.977936,5.354095,154.977936
154.557831,5.452636,154.557831
154.224701,5.551214,154.224701
154.182526,5.649635,154.182526
154.247543,5.747875,154.247543
154.496185,5.846106,154.496185
155.026199,5.944327,155.026199
155.048721,6.042189,155.048721
155.110275,6.140086,155.110275
155.038788,6.23805,155.038788
154.874908,6.335776,154.874908
155.094345,6.433311,155.094345
154.861221,6.530944,154.861221
154.689804,6.628459,154.689804
154.752609,6.725868,154.752609
154.72139,6.823121,154.72139
154.780289,6.920263,154.780289
154.575989,7.017402,154.575989
154.723969,7.114361,154.723969
154.25708,7.211392,154.25708
154.132202,7.308136,154.132202
154.138718,7.404778,154.138718
154.322479,7.501442,154.322479
154.06015,7.597908,154.06015
154.063553,7.69443,154.063553
153.517136,7.790719,153.517136
152.96933,7.886907,152.96933
153.0896,7.983205,153.0896
153.088257,8.079156,153.088257
152.897064,8.175099,152.897064
153.420624,8.271124,153.420624
153.845413,8.366936,153.845413
153.854477,8.462522,153.854477
153.913818,8.558287,153.913818
153.619995,8.653723,153.619995
153.412994,8.749146,153.412994
153.159409,8.844541,153.159409
153.284134,8.939723,153.284134
153.073807,9.03485,153.073807
153.000565,9.129901,153.000565
152.836151,9.224771,152.836151
152.811844,9.319845,152.811844
152.927139,9.414438,152.927139
152.62439,9.509219,152.62439
152.652847,9.603855,152.652847
152.608383,9.698378,152.608383
152.508804,9.792737,152.508804
152.23233,9.887162,152.23233
152.208618,9.981272,152.208618
152.134598,10.075538,152.134598
151.636017,10.169591,151.636017
151.059784,10.263713,151.059784
151.04097,10.357528,151.04097
150.824738,10.451153,150.824738
150.816605,10.545154,150.816605
151.473755,10.638698,151.473755
151.914474,10.732292,151.914474
151.830368,10.8258,151.830368
151.777267,10.919162,151.777267
151.615295,11.01246,151.615295
151.518829,11.105696,151.518829
151.360489,11.198716,151.360489
151.321121,11.29164,151.321121
151.113434,11.384664,151.113434
150.813293,11.477553,150.813293
150.5009,11.570151,150.5009
150.56752,11.662922,150.56752
150.308853,11.755516,150.308853
150.459122,11.847985,150.459122
150.37207,11.940463,150.37207
150.080933,12.032814,150.080933
149.818909,12.125056,149.818909
149.929398,12.217245,149.929398
149.598221,12.30937,149.598221
149.299896,12.401165,149.299896
148.799881,12.49322,148.799881
148.377563,12.58511,148.377563
148.166748,12.676841,148.166748
148.3797,12.768578,148.3797
148.320831,12.860128,148.320831
148.764816,12.951506,148.764816
149.05928,13.04303,149.05928
149.056442,13.1343,149.056442
148.642441,13.225572,148.642441
148.635696,13.316754,148.635696
148.491119,13.407692,148.491119
148.212814,13.498699,148.212814
148.281586,13.589622,148.281586
147.953491,13.680529,147.953491
147.823608,13.77115,147.823608
147.903229,13.86195,147.903229
147.72113,13.952539,147.72113
147.52179,14.042984,147.52179
147.691544,14.133466,147.691544
147.184433,14.223699,147.184433
147.126724,14.313973,147.126724
146.81282,14.404304,146.81282
146.466217,14.494315,146.466217
146.41806,14.584271,146.41806
145.9505,14.674213,145.9505
145.319702,14.764083,145.319702
144.849045,14.85383,144.849045
144.709335,14.943571,144.709335
144.714539,15.033033,144.714539
145.108795,15.122684,145.108795
145.586868,15.212155,145.586868
145.688995,15.301476,145.688995
145.750366,15.390811,145.750366
145.183075,15.480078,145.183075
145.18042,15.569196,145.18042
144.884949,15.658413,144.884949
144.416229,15.747227,144.416229
144.409531,15.836312,144.409531
144.229996,15.925024,144.229996
143.880493,16.013681,143.880493
143.677063,16.102407,143.677063
143.199966,16.191,143.199966
143.313263,16.279409,143.313263
143.235748,16.367796,143.235748
143.39357,16.455976,143.39357
142.972,16.544397,142.972
142.679565,16.632481,142.679565
142.668076,16.720724,142.668076
142.334656,16.808657,142.334656
141.726715,16.896528,141.726715
140.970505,16.984497,140.970505
140.729965,17.072264,140.729965
140.632111,17.159922,140.632111
140.62355,17.247784,140.62355
140.958328,17.335257,140.958328
141.099777,17.422855,141.099777
141.198914,17.510176,141.198914
141.050079,17.597397,141.050079
140.817017,17.684734,140.817017
140.645309,17.77195,140.645309
140.406509,17.85906,140.406509
140.076645,17.946186,140.076645
139.689377,18.033096,139.689377
139.5616,18.11989,139.5616
139.521149,18.20672,139.521149
139.19957,18.293543,139.19957
139.172195,18.380123,139.172195
138.999878,18.466673,138.999878
138.704147,18.553146,138.704147
138.39241,18.63961,138.39241
138.16658,18.725931,138.16658
138.363449,18.812256,138.363449
138.158051,18.89852,138.158051
137.94986,18.98473,137.94986
137.24551400000001,19.07056,137.24551400000001
136.664001,19.156706,136.664001
136.398132,19.242561,136.398132
136.54567,19.328373,136.54567
136.350296,19.414228,136.350296
136.816422,19.499922,136.816422
137.089371,19.585518,137.089371
137.391769,19.671118,137.391769
136.959351,19.756426,136.959351
136.824905,19.841774,136.824905
136.415359,19.927227,136.415359
136.295441,20.012478,136.295441
136.144333,20.097626,136.144333
135.866257,20.182751,135.866257
135.819473,20.267756,135.819473
135.753372,20.352768,135.753372
135.466629,20.437696,135.466629
135.501099,20.522465,135.501099
135.287277,20.607252,135.287277
135.096191,20.691906,135.096191
134.964432,20.776638,134.964432
134.57486,20.861074,134.57486
134.51001,20.94566,134.51001
134.085266,21.030104,134.085266
133.784576,21.114265,133.784576
133.163391,21.198505,133.163391
132.602737,21.282663,132.602737
132.222748,21.366816,132.222748
132.462723,21.450762,132.462723
132.567581,21.534714,132.567581
133.103058,21.618532,133.103058
133.17952,21.702354,133.17952
133.125183,21.786129,133.125183
133.097244,21.869781,133.097244
132.584641,21.953503,132.584641
132.258392,22.036991,132.258392
132.104095,22.120419,132.104095
131.505173,22.204002,131.505173
131.527725,22.287239,131.527725
131.386841,22.370577,131.386841
130.75708,22.453772,130.75708
130.644684,22.536842,130.644684
130.707397,22.619942,130.707397
130.399399,22.702971,130.399399
130.03389,22.785915,130.03389
130.121124,22.86875,130.121124
129.903564,22.951342,129.903564
129.679962,23.034143,129.679962
129.42131,23.116714,129.42131
129.025833,23.199432,129.025833
128.158035,23.281746,128.158035
127.929077,23.364359,127.929077
127.746666,23.446655,127.746666
127.481491,23.528992,127.481491
127.720688,23.611195,127.720688
127.978912,23.693363,127.978912
128.20192,23.775524,128.20192
128.128922,23.857628,128.128922
127.746719,23.939447,127.746719
127.692245,24.021465,127.692245
127.455132,24.103277,127.455132
127.13353,24.185085,127.13353
126.905853,24.266764,126.905853
126.726105,24.34848,126.726105
126.597839,24.430025,126.597839
126.458801,24.511482,126.458801
126.255371,24.592831,126.255371
125.626785,24.674252,125.626785
125.552864,24.755547,125.552864
125.359344,24.836813,125.359344
125.302895,24.917967,125.302895
125.113945,24.999054,125.113945
124.751434,25.080183,124.751434
124.705299,25.161171,124.705299
123.511238,25.24209,123.511238
123.233124,25.323013,123.233124
122.820213,25.403736,122.820213
122.738197,25.484472,122.738197
122.61145,25.565145,122.61145
122.688911,25.645668,122.688911
123.151146,25.726274,123.151146
122.956924,25.806673,122.956924
122.682045,25.88702,122.682045
122.53344,25.967438,122.53344
122.227386,26.047577,122.227386
121.61087,26.127724,121.61087
121.628593,26.207905,121.628593
121.274361,26.287893,121.274361
121.280785,26.367897,121.280785
120.749397,26.447815,120.749397
120.357506,26.527695,120.357506
120.256958,26.607597,120.256958
119.990532,26.687313,119.990532
119.667992,26.766907,119.667992
119.44001,26.846642,119.44001
119.270493,26.92609,119.270493
118.693863,27.005735,118.693863
118.360626,27.085138,118.360626
117.923729,27.164539,117.923729
116.940598,27.243773,116.940598
116.268791,27.323092,116.268791
115.864319,27.402344,115.864319
115.551338,27.481262,115.551338
115.718887,27.560488,115.718887
116.076065,27.639259,116.076065
116.270401,27.718306,116.270401
116.159706,27.797134,116.159706
116.143517,27.875856,116.143517
115.936302,27.954679,115.936302
115.246361,28.033363,115.246361
115.18821,28.112019,115.18821
114.820793,28.190489,114.820793
114.467926,28.268969,114.467926
113.921341,28.347488,113.921341
113.777245,28.425947,113.777245
113.536087,28.504192,113.536087
112.904922,28.582434,112.904922
112.55645,28.660664,112.55645
112.337486,28.73875,112.337486
112.253586,28.816858,112.253586
112.165985,28.894865,112.165985
111.726837,28.972759,111.726837
111.517136,29.05069,111.517136
111.187447,29.12849,111.187447
110.267365,29.206295,110.267365
109.763771,29.283955,109.763771
109.02668,29.361614,109.02668
108.867462,29.439135,108.867462
108.816917,29.51668,108.816917
108.880966,29.594227,108.880966
109.259933,29.671515,109.259933
108.954597,29.748943,108.954597
108.853806,29.826231,108.853806
108.566269,29.903526,108.566269
108.155342,29.9806,108.155342
107.722725,30.057833,107.722725
107.328461,30.134829,107.328461
107.013069,30.211775,107.013069
106.336357,30.288696,106.336357
106.328537,30.36558,106.328537
105.910019,30.442341,105.910019
105.325668,30.519033,105.325668
105.072342,30.595778,105.072342
104.979584,30.67234,104.979584
104.582748,30.748848,104.582748
104.410965,30.825331,104.410965
103.64534,30.90177,103.64534
103.736214,30.978285,103.736214
102.975906,31.054585,102.975906
102.241745,31.130878,102.241745
101.38343,31.207043,101.38343
101.266113,31.283182,101.266113
101.254929,31.359444,101.254929
101.12542,31.435467,101.12542
101.500908,31.511425,101.500908
101.544136,31.587414,101.544136
101.418221,31.663242,101.418221
100.977798,31.739004,100.977798
100.387009,31.814838,100.387009
100.153206,31.890522,100.153206
100.068115,31.966173,100.068115
99.148933,32.041786,99.148933
98.854439,32.117157,98.854439
98.310204,32.192699,98.310204
98.20594,32.268208,98.20594
98.012581,32.343452,98.012581
97.617859,32.418716,97.617859
97.245918,32.493958,97.245918
96.935432,32.56918,96.935432
96.39753,32.644352,96.39753
96.412224,32.719372,96.412224
95.719955,32.794441,95.719955
95.505188,32.869431,95.505188
94.655243,32.944378,94.655243
93.548866,33.019123,93.548866
93.344681,33.093918,93.344681
92.805435,33.168762,92.805435
92.592552,33.243462,92.592552
92.892387,33.317978,92.892387
93.405663,33.392532,93.405663
93.517052,33.467037,93.517052
92.920601,33.541435,92.920601
92.383018,33.615932,92.383018
92.436127,33.690369,92.436127
91.597778,33.764626,91.597778
90.99353,33.838867,90.99353
90.740128,33.913097,90.740128
90.353477,33.987217,90.353477
90.007477,34.061279,90.007477
89.586952,34.135323,89.586952
88.946159,34.209229,88.946159
88.824104,34.283283,88.824104
88.265228,34.356991,88.265228
87.831116,34.430794,87.831116
87.799393,34.504593,87.799393
87.657837,34.578289,87.657837
86.963692,34.651989,86.963692
86.425392,34.725464,86.425392
85.462296,34.798992,85.462296
84.489166,34.872475,84.489166
83.929985,34.945957,83.929985
83.212753,35.019196,83.212753
83.336258,35.092537,83.336258
83.447624,35.165749,83.447624
83.794884,35.239017,83.794884
83.53965,35.312141,83.53965
83.114853,35.3853,83.114853
82.310455,35.458271,82.310455
82.079987,35.531273,82.079987
81.627266,35.604259,81.627266
80.797012,35.677181,80.797012
80.301521,35.75008,80.301521
80.192154,35.822884,80.192154
79.640137,35.895508,79.640137
79.053261,35.968258,79.053261
78.649216,36.04081,78.649216
78.288902,36.113422,78.288902
77.678772,36.185951,77.678772
77.17395,36.258434,77.17395
76.672241,36.330818,76.672241
76.331841,36.403088,76.331841
76.13134,36.475502,76.13134
75.280266,36.547634,75.280266
74.188889,36.619972,74.188889
73.224121,36.692108,73.224121
72.642143,36.764179,72.642143
72.38929,36.836098,72.38929
72.125229,36.908173,72.125229
72.713013,36.980125,72.713013
72.541397,37.052143,72.541397
72.122162,37.123932,72.122162
71.746162,37.195766,71.746162
70.881569,37.267467,70.881569
70.557198,37.339149,70.557198
69.719131,37.410862,69.719131
69.167015,37.48238,69.167015
68.361076,37.553997,68.361076
68.289169,37.625427,68.289169
67.597733,37.696739,67.597733
67.112457,37.768288,67.112457
66.803062,37.839504,66.803062
66.53994,37.910854,66.53994
65.952934,37.982086,65.952934
65.608727,38.053249,65.608727
64.8964,38.124397,64.8964
64.641418,38.195496,64.641418
63.725243,38.266483,63.725243
63.032211,38.337376,63.032211
62.074661,38.408409,62.074661
60.8442,38.479256,60.8442
60.202496,38.549988,60.202496
59.879211,38.620842,59.879211
59.641235,38.691555,59.641235
60.052261,38.762188,60.052261
60.085278,38.832821,60.085278
59.585442,38.903332,59.585442
59.158436,38.973923,59.158436
58.493301,39.044445,58.493301
57.819439,39.114799,57.819439
57.355389,39.18515,57.355389
56.513954,39.255543,56.513954
56.122135,39.32579,56.122135
55.722942,39.396072,55.722942
55.084885,39.466213,55.084885
54.668495,39.536373,54.668495
54.34441,39.606354,54.34441
53.746952,39.676472,53.746952
53.04657,39.746498,53.04657
52.96397,39.816353,52.96397
52.323711,39.886288,52.323711
51.743027,39.956093,51.743027
50.94886,40.025951,50.94886
50.039963,40.095631,50.039963
48.975349,40.165245,48.975349
48.03368,40.235008,48.03368
47.182045,40.304489,47.182045
46.85928,40.374149,46.85928
46.622177,40.443577,46.622177
46.750549,40.512924,46.750549
46.649647,40.582458,46.649647
46.25349,40.651684,46.25349
45.456963,40.721104,45.456963
44.802299,40.790283,44.802299
44.365242,40.859486,44.365242
43.394703,40.928616,43.394703
42.68919,40.997787,42.68919
42.225098,41.066814,42.225098
41.742676,41.135944,41.742676
40.879211,41.204815,40.879211
40.108646,41.273731,40.108646
39.502087,41.34272,39.502087
38.423309,41.411541,38.423309
38.124855,41.480289,38.124855
37.514774,41.548969,37.514774
36.32452,41.617737,36.32452
35.877193,41.686417,35.877193
34.940609,41.75491,34.940609
33.604622,41.823448,33.604622
32.006413,41.891922,32.006413
30.960178,41.960438,30.960178
29.519913,42.028812,29.519913
28.715908,42.097134,28.715908
27.524134,42.165478,27.524134
26.697144,42.233585,26.697144
25.694832,42.301853,25.694832
24.351685,42.370079,24.351685
22.641914,42.438221,22.641914
21.532091,42.506191,21.532091
20.323547,42.574249,20.323547
19.300264,42.642254,19.300264
18.109497,42.710201,18.109497
16.944012,42.778103,16.944012
16.248976,42.845852,16.248976
15.36486,42.913631,15.36486
14.834401,42.981476,14.834401
13.756709,43.04921,13.756709
13.095503,43.116821,13.095503
12.849111,43.184376,12.849111
11.959724,43.251919,11.959724
11.458556,43.319489,11.458556
10.735484,43.386971,10.735484
9.879539,43.454437,9.879539
8.400799,43.521832,8.400799
7.506556,43.589077,7.506556
6.568848,43.656418,6.568848
5.888648,43.72382,5.888648
5.429915,43.791004,5.429915
5.770288,43.858101,5.770288
5.933419,43.925205,5.933419
5.406365,43.992313,5.406365
4.621707,44.059181,4.621707
3.976495,44.126328,3.976495
3.253505,44.193176,3.253505
2.380663,44.260105,2.380663
1.876886,44.326923,1.876886
0.277742,44.393639,0.277742
-0.948797,44.460449,-0.948797
-1.494855,44.527195,-1.494855
-1.776732,44.593784,-1.776732
-1.630666,44.660458,-1.630666
-1.846501,44.727058,-1.846501
-1.730487,44.793545,-1.730487
-1.555836,44.859985,-1.555836
-1.659839,44.926506,-1.659839
-1.626391,44.992886,-1.626391
-1.698554,45.059246,-1.698554
-1.684711,45.125546,-1.684711
-1.888135,45.191872,-1.888135
-1.744589,45.258141,-1.744589
-1.721992,45.324299,-1.721992
-1.856049,45.390503,-1.856049
-1.879887,45.456581,-1.879887
-1.870054,45.522736,-1.870054
-1.923189,45.588711,-1.923189
-1.580285,45.654568,-1.580285
-1.908869,45.720581,-1.908869
-1.550092,45.786434,-1.550092
-1.876993,45.852242,-1.876993
-1.618174,45.918053,-1.618174
-1.787194,45.983646,-1.787194
-1.68687,46.049397,-1.68687
-1.746912,46.115128,-1.746912
-2.094721,46.180683,-2.094721
-1.746561,46.235294,-1.746561
-1.606944,46.240475,-1.606944
-1.922721,46.240349,-1.922721
-1.734577,46.24028,-1.734577
-1.678105,46.240372,-1.678105
-1.880294,46.240334,-1.880294
-1.801257,46.240326,-1.801257
-1.817091,46.240295,-1.817091
-1.748797,46.240311,-1.748797
-1.476391,46.240334,-1.476391
-1.692255,46.240311,-1.692255
-1.838351,46.240295,-1.838351
-1.645579,46.240234,-1.645579
-1.557692,46.240349,-1.557692
