"True Stress, MPa","True Strain, %","True Stress, MPa.1",Unnamed: 3,Unnamed: 4,Unnamed: 5
-11.777771,0.0,-11.777771,,,
-12.074649,2.4e-05,-12.074649,,,
-11.783973,0.000155,-11.783973,,,137.808319
-11.75176,0.0,-11.75176,,,
-11.309834,1.2e-05,-11.309834,,,
-11.136307,0.000155,-11.136307,,,
-10.897552,0.000155,-10.897552,,,
-10.821062,0.000155,-10.821062,,,
-10.798438,0.000155,-10.798438,,,
-10.460818,0.00186,-10.460818,,,
-3.220729,0.01807,-3.220729,,,
4.77047,0.038664,4.77047,,,
12.444999,0.057454,12.444999,,,
19.553604,0.077754,19.553604,,,
25.806406,0.098907,25.806406,,,
32.307617,0.116805,32.307617,,,
37.904793,0.138223,37.904793,,,
43.416252,0.159637,43.416252,,,
47.988823,0.17794,47.988823,,,
52.178928,0.198608,52.178928,,,
56.461662,0.217225,56.461662,,,
60.313129,0.238337,60.313129,,,
63.961834,0.259206,63.961834,,,
67.276482,0.278336,67.276482,,,
70.445518,0.298079,70.445518,,,
73.250809,0.318758,73.250809,,,
75.971512,0.336806,75.971512,,,
78.093231,0.357121,78.093231,,,
80.415497,0.377775,80.415497,,,
82.580078,0.396692,82.580078,,,
84.621002,0.41735,84.621002,,,
86.149101,0.437565,86.149101,,,
88.048111,0.457111,88.048111,,,
89.742744,0.4774,89.742744,,,
91.030045,0.496666,91.030045,,,
92.668037,0.516794,92.668037,,,
94.143684,0.5377,94.143684,,,
95.470779,0.555934,95.470779,,,
96.795212,0.577223,96.795212,,,
97.701378,0.596138,97.701378,,,
98.930641,0.615712,98.930641,,,
99.793152,0.636171,99.793152,,,
100.679443,0.657277,100.679443,,,
101.638054,0.675099,101.638054,,,
102.681702,0.696114,102.681702,,,
103.77459,0.715953,103.77459,,,
104.642006,0.734971,104.642006,,,
105.422585,0.757181,105.422585,,,
106.17424,0.775612,106.17424,,,
107.063797,0.79534,107.063797,,,
107.800247,0.815585,107.800247,,,
108.232239,0.833899,108.232239,,,
108.685463,0.856004,108.685463,,,
109.574249,0.875669,109.574249,,,
109.939812,0.894291,109.939812,,,
110.806465,0.91402,110.806465,,,
111.361626,0.934134,111.361626,,,
111.76857,0.953595,111.76857,,,
112.553841,0.973773,112.553841,,,
113.21106,0.992565,113.21106,,,
113.438881,1.013974,113.438881,,,
114.151497,1.033325,114.151497,,,
114.30426,1.052295,114.30426,,,
115.143616,1.07224,115.143616,,,
115.684814,1.092111,115.684814,,,
115.996796,1.112025,115.996796,,,
116.398849,1.133043,116.398849,,,
116.910965,1.152218,116.910965,,,
117.088692,1.171283,117.088692,,,
117.6521,1.1923,117.6521,,,
117.863289,1.210557,117.863289,,,
118.036247,1.229882,118.036247,,,
118.204712,1.25184,118.204712,,,
118.804604,1.268732,118.804604,,,
119.127129,1.291059,119.127129,,,
119.549133,1.310851,119.549133,,,
119.697563,1.329333,119.697563,,,
119.914177,1.350458,119.914177,,,
120.59478,1.370038,120.59478,,,
120.417915,1.387921,120.417915,,,
120.674278,1.409728,120.674278,,,
121.261909,1.428356,121.261909,,,
121.240059,1.447862,121.240059,,,
121.648048,1.46834,121.648048,,,
122.235336,1.487286,122.235336,,,
122.311012,1.50671,122.311012,,,
122.332779,1.527634,122.332779,,,
122.394989,1.545911,122.394989,,,
123.118111,1.565958,123.118111,,,
123.12146,1.586012,123.12146,,,
123.255173,1.605546,123.255173,,,
123.599152,1.626085,123.599152,,,
123.826042,1.645752,123.826042,,,
123.860878,1.665146,123.860878,,,
124.084366,1.685544,124.084366,,,
124.09948,1.7035,124.09948,,,
124.361526,1.724101,124.361526,,,
124.809776,1.744264,124.809776,,,
125.325096,1.763462,125.325096,,,
124.972015,1.782939,124.972015,,,
125.157242,1.802282,125.157242,,,
125.179192,1.82161,125.179192,,,
125.68325,1.842093,125.68325,,,
125.611885,1.860957,125.611885,,,
125.946472,1.881526,125.946472,,,
126.069054,1.900967,126.069054,,,
126.022163,1.921282,126.022163,,,
126.432457,1.939324,126.432457,,,
126.598869,1.959795,126.598869,,,
126.675911,1.978601,126.675911,,,
126.870369,1.999052,126.870369,,,
126.711395,2.018903,126.711395,,,
127.357582,2.036869,127.357582,,,
127.447113,2.057004,127.447113,,,
127.098083,2.077439,127.098083,,,
127.781075,2.096154,127.781075,,,
127.835396,2.116196,127.835396,,,
127.758797,2.136012,127.758797,,,
128.248367,2.155112,128.248367,,,
128.228531,2.175142,128.228531,,,
128.206741,2.194398,128.206741,,,
128.649155,2.214303,128.649155,,,
128.623062,2.234846,128.623062,,,
128.138016,2.252377,128.138016,,,
128.601227,2.272644,128.601227,,,
128.816116,2.293163,128.816116,,,
128.993896,2.312151,128.993896,,,
128.826584,2.331439,128.826584,,,
128.793549,2.351376,128.793549,,,
128.986572,2.369352,128.986572,,,
129.387314,2.390189,129.387314,,,
129.74469,2.408636,129.74469,,,
129.673767,2.428696,129.673767,,,
129.69931,2.448264,129.69931,,,
129.990814,2.466817,129.990814,,,
129.9384,2.487749,129.9384,,,
129.690903,2.507864,129.690903,,,
129.982468,2.526463,129.982468,,,
129.844742,2.546698,129.844742,,,
130.18663,2.566347,130.18663,,,
130.006775,2.585307,130.006775,,,
130.34729,2.605518,130.34729,,,
130.266739,2.623879,130.266739,,,
130.734543,2.642921,130.734543,,,
130.552017,2.66348,130.552017,,,
130.583267,2.681656,130.583267,,,
130.567261,2.702904,130.567261,,,
130.381317,2.722139,130.381317,,,
130.862869,2.740316,130.862869,,,
130.942169,2.760102,130.942169,,,
130.866638,2.780359,130.866638,,,
130.927505,2.798525,130.927505,,,
130.952484,2.819156,130.952484,,,
130.719833,2.838706,130.719833,,,
130.795929,2.85714,130.795929,,,
131.45314,2.877157,131.45314,,,
131.339035,2.896683,131.339035,,,
131.431198,2.915651,131.431198,,,
131.35527,2.936142,131.35527,,,
131.300995,2.953331,131.300995,,,
131.367706,2.974822,131.367706,,,
131.777756,2.994885,131.777756,,,
131.49353,3.012954,131.49353,,,
131.929977,3.032709,131.929977,,,
131.515244,3.051569,131.515244,,,
131.734604,3.070773,131.734604,,,
131.709732,3.090701,131.709732,,,
132.13623,3.108095,132.13623,,,
131.879013,3.130211,131.879013,,,
132.136047,3.150162,132.136047,,,
132.129105,3.167429,132.129105,,,
132.291733,3.187662,132.291733,,,
132.300934,3.207786,132.300934,,,
131.977264,3.226105,131.977264,,,
132.381668,3.245564,132.381668,,,
132.615524,3.265492,132.615524,,,
132.513351,3.28409,132.513351,,,
132.331116,3.304368,132.331116,,,
132.536102,3.324215,132.536102,,,
132.646561,3.342432,132.646561,,,
132.897324,3.362617,132.897324,,,
132.925751,3.380379,132.925751,,,
132.581909,3.400199,132.581909,,,
133.011978,3.419451,133.011978,,,
132.510574,3.439759,132.510574,,,
132.617859,3.458693,132.617859,,,
132.759003,3.479028,132.759003,,,
133.153854,3.496699,133.153854,,,
133.03978,3.517106,133.03978,,,
132.988815,3.536325,132.988815,,,
133.024857,3.555677,133.024857,,,
133.029785,3.575394,133.029785,,,
133.09166,3.593163,133.09166,,,
133.132904,3.613769,133.132904,,,
133.604126,3.63336,133.604126,,,
133.511688,3.650521,133.511688,,,
133.341705,3.671403,133.341705,,,
133.159103,3.690947,133.159103,,,
133.303131,3.708777,133.303131,,,
133.561234,3.728578,133.561234,,,
133.692474,3.74616,133.692474,,,
133.440475,3.766677,133.440475,,,
133.423538,3.786857,133.423538,,,
133.646027,3.805358,133.646027,,,
133.83577,3.824899,133.83577,,,
133.782059,3.844769,133.782059,,,
133.854965,3.863994,133.854965,,,
133.590958,3.882365,133.590958,,,
133.792603,3.90258,133.792603,,,
133.593307,3.920543,133.593307,,,
133.703293,3.94028,133.703293,,,
134.200851,3.960471,134.200851,,,
133.740585,3.978218,133.740585,,,
134.268478,3.998493,134.268478,,,
134.093781,4.016176,134.093781,,,
134.250504,4.036672,134.250504,,,
134.152252,4.055871,134.152252,,,
133.866577,4.074184,133.866577,,,
134.101501,4.093456,134.101501,,,
134.002747,4.113868,134.002747,,,
134.186249,4.131771,134.186249,,,
134.395676,4.151465,134.395676,,,
133.926834,4.171134,133.926834,,,
134.143112,4.189278,134.143112,,,
134.355423,4.209259,134.355423,,,
134.144012,4.22903,134.144012,,,
134.02951,4.247746,134.02951,,,
134.389603,4.267236,134.389603,,,
134.219559,4.286059,134.219559,,,
134.298935,4.304559,134.298935,,,
134.339569,4.324323,134.339569,,,
134.116043,4.343683,134.116043,,,
134.180984,4.362024,134.180984,,,
134.125702,4.381753,134.125702,,,
134.573013,4.400373,134.573013,,,
134.224716,4.42038,134.224716,,,
134.196762,4.439904,134.196762,,,
134.36882,4.457783,134.36882,,,
134.655777,4.478269,134.655777,,,
134.688309,4.496505,134.688309,,,
134.229599,4.515445,134.229599,,,
134.453476,4.535121,134.453476,,,
134.532745,4.553541,134.532745,,,
134.638565,4.572663,134.638565,,,
134.533615,4.592158,134.533615,,,
134.761703,4.610784,134.761703,,,
134.69902,4.630419,134.69902,,,
134.598557,4.649151,134.598557,,,
134.698746,4.667697,134.698746,,,
134.496872,4.68863,134.496872,,,
134.694931,4.706691,134.694931,,,
134.649231,4.726148,134.649231,,,
134.549835,4.745715,134.549835,,,
135.013382,4.762766,135.013382,,,
134.939499,4.782792,134.939499,,,
134.716202,4.802462,134.716202,,,
134.878265,4.820741,134.878265,,,
135.171539,4.841017,135.171539,,,
135.115448,4.859107,135.115448,,,
134.707123,4.8774,134.707123,,,
134.690704,4.898481,134.690704,,,
134.889694,4.916732,134.889694,,,
134.890427,4.935921,134.890427,,,
135.024475,4.954902,135.024475,,,
134.819794,4.9732,134.819794,,,
135.144165,4.992174,135.144165,,,
134.960953,5.012721,134.960953,,,
134.907593,5.029862,134.907593,,,
134.940842,5.050549,134.940842,,,
135.114868,5.069021,135.114868,,,
135.292343,5.087456,135.292343,,,
134.931412,5.107247,134.931412,,,
135.097595,5.124497,135.097595,,,
135.036926,5.14436,135.036926,,,
135.218475,5.164162,135.218475,,,
135.104355,5.182965,135.104355,,,
135.190292,5.200983,135.190292,,,
135.087006,5.221102,135.087006,,,
135.725388,5.238932,135.725388,,,
135.469223,5.258353,135.469223,,,
135.263412,5.278167,135.263412,,,
135.063293,5.295546,135.063293,,,
135.323257,5.315511,135.323257,,,
135.199463,5.335211,135.199463,,,
135.512817,5.353846,135.512817,,,
135.357315,5.373335,135.357315,,,
135.310181,5.390653,135.310181,,,
135.24118,5.410666,135.24118,,,
135.539169,5.429456,135.539169,,,
135.448303,5.448998,135.448303,,,
135.421997,5.466878,135.421997,,,
135.348206,5.486606,135.348206,,,
135.692169,5.504366,135.692169,,,
135.300262,5.524593,135.300262,,,
135.560928,5.543024,135.560928,,,
135.633331,5.562048,135.633331,,,
135.605865,5.581339,135.605865,,,
135.38118,5.600447,135.38118,,,
135.786652,5.618603,135.786652,,,
135.77652,5.637489,135.77652,,,
135.738434,5.656462,135.738434,,,
135.480591,5.674429,135.480591,,,
135.477661,5.693923,135.477661,,,
135.48082,5.712098,135.48082,,,
135.62854,5.732992,135.62854,,,
135.667648,5.751542,135.667648,,,
135.761429,5.770594,135.761429,,,
135.543762,5.789215,135.543762,,,
135.544968,5.807878,135.544968,,,
135.81604,5.826885,135.81604,,,
