"True Stress, MPa","True Strain, %","True Stress, MPa.1"
-28.841547,0.0,-28.841547
-28.165489,3.1e-05,-28.165489
-27.769022,0.000188,-27.769022
-27.817757,8.5e-05,-27.817757
-26.521141,6.4e-05,-26.521141
-26.385187,0.0,-26.385187
-26.117405,0.000142,-26.117405
-25.478046,3.1e-05,-25.478046
-25.118217,4.8e-05,-25.118217
-42.537018,0.000113,-42.537018
-43.303772,0.00027,-43.303772
-47.399109,0.000213,-47.399109
-31.286905,0.00027,-31.286905
-38.998356,7.9e-05,-38.998356
-39.919884,0.0,-39.919884
-39.512436,1.5e-05,-39.512436
-38.993748,0.000201,-38.993748
-38.501293,1.5e-05,-38.501293
-37.099041,0.000142,-37.099041
-28.383551,0.027694,-28.383551
4.345683,0.128279,4.345683
34.333279,0.231842,34.333279
59.095608,0.336468,59.095608
77.660278,0.440376,77.660278
91.619659,0.543901,91.619659
102.113358,0.647369,102.113358
110.297745,0.750693,110.297745
117.48246,0.85395,117.48246
123.371033,0.957188,123.371033
128.544556,1.060259,128.544556
132.918793,1.163154,132.918793
136.800476,1.266007,136.800476
140.120392,1.36868,140.120392
142.991547,1.471413,142.991547
145.678955,1.573867,145.678955
147.780563,1.676282,147.780563
149.778107,1.77859,149.778107
151.54953,1.88073,151.54953
132.601944,1.982974,132.601944
139.226913,2.084944,139.226913
136.656998,2.18695,136.656998
153.80722,2.288711,153.80722
141.90506,2.390343,141.90506
139.941727,2.492037,139.941727
139.96434,2.593524,139.96434
140.552307,2.694746,140.552307
141.402542,2.796124,141.402542
142.033722,2.897399,142.033722
142.814194,2.998398,142.814194
143.933884,3.099475,143.933884
144.429962,3.200256,144.429962
145.435638,3.301072,145.435638
146.260529,3.401753,146.260529
146.902954,3.502279,146.902954
147.663818,3.602754,147.663818
148.30423,3.703029,148.30423
148.944962,3.803344,148.944962
149.731979,3.903444,149.731979
150.234802,4.003479,150.234802
151.108475,4.103422,151.108475
151.743729,4.203259,151.743729
152.354279,4.302981,152.354279
152.844788,4.402804,152.844788
153.289185,4.502288,153.289185
154.157318,4.601723,154.157318
154.709259,4.701091,154.709259
155.196625,4.800421,155.196625
131.980316,4.899715,131.980316
139.229095,4.998916,139.229095
137.958115,5.097835,137.958115
150.541901,5.19674,150.541901
138.78653,5.295442,138.78653
136.87825,5.394171,136.87825
136.49762,5.492659,136.49762
136.638565,5.591095,136.638565
137.106888,5.689525,137.106888
137.746262,5.787665,137.746262
138.335999,5.885926,138.335999
138.795013,5.984013,138.795013
139.437653,6.082148,139.437653
140.258575,6.179938,140.258575
140.768158,6.277789,140.768158
141.57164,6.375573,141.57164
141.832001,6.47324,141.832001
142.531387,6.570689,142.531387
143.035355,6.668176,143.035355
143.639709,6.76555,143.639709
144.181107,6.862772,144.181107
144.625717,6.959987,144.625717
145.536591,7.057054,145.536591
145.891968,7.153941,145.891968
146.53511,7.250836,146.53511
147.064621,7.347649,147.064621
147.573853,7.44434,147.573853
148.292068,7.540892,148.292068
142.823181,7.637373,142.823181
128.055344,7.733744,128.055344
131.144302,7.830081,131.144302
135.435623,7.926305,135.435623
137.769135,8.022428,137.769135
130.227768,8.118471,130.227768
128.619904,8.214343,128.619904
128.295746,8.310172,128.295746
128.487442,8.405904,128.487442
129.114151,8.501633,129.114151
129.568542,8.597195,129.568542
130.080307,8.692613,130.080307
130.723282,8.788087,130.723282
131.544708,8.883325,131.544708
132.306717,8.978623,132.306717
133.237839,9.073592,133.237839
133.760162,9.168757,133.760162
134.300186,9.263536,134.300186
135.199173,9.358525,135.199173
135.56488,9.453214,135.56488
136.23587,9.547928,136.23587
136.651199,9.642413,136.651199
137.230484,9.736944,137.230484
137.956985,9.831315,137.956985
138.32016,9.925651,138.32016
138.958527,10.019974,138.958527
139.884674,10.113982,139.884674
140.421341,10.208048,140.421341
140.933762,10.301956,140.933762
129.430054,10.395924,129.430054
122.569038,10.489692,122.569038
121.781013,10.583475,121.781013
129.688202,10.67694,129.688202
125.689789,10.77058,125.689789
120.295433,10.86393,120.295433
119.386795,10.957244,119.386795
118.9981,11.050563,118.9981
119.306091,11.143677,119.306091
119.625618,11.23674,119.625618
120.521004,11.329638,120.521004
121.154686,11.422633,121.154686
122.190849,11.515525,122.190849
122.742851,11.608154,122.742851
123.640739,11.700835,123.640739
124.081001,11.793454,124.081001
125.112274,11.885927,125.112274
125.808746,11.978282,125.808746
126.498802,12.070637,126.498802
126.903908,12.162875,126.903908
127.773071,12.255082,127.773071
128.374969,12.347161,128.374969
129.223724,12.439017,129.223724
