"True Stress, MPa","True Strain, %","True Stress, MPa.1",Unnamed: 3,Unnamed: 4,Unnamed: 5
-8.253304,0.0,-8.253304,,,
-8.066653,2.4e-05,-8.066653,,,
-8.192168,2.4e-05,-8.192168,,,
-7.996129,3.6e-05,-7.996129,,,
-7.999559,2.4e-05,-7.999559,,,93.90921
-8.322003,1.2e-05,-8.322003,,,
-8.226275,2.4e-05,-8.226275,,,
-8.236892,1.2e-05,-8.236892,,,
-8.352665,2.4e-05,-8.352665,,,
-8.310197,2.4e-05,-8.310197,,,
-7.79675,2.4e-05,-7.79675,,,
-7.422543,0.000727,-7.422543,,,
-6.042012,0.001776,-6.042012,,,
-5.214974,0.006759,-5.214974,,,
-4.641951,0.008535,-4.641951,,,
-4.001917,0.009942,-4.001917,,,
-2.646917,0.012612,-2.646917,,,
-2.282021,0.0131,-2.282021,,,
-1.427341,0.014674,-1.427341,,,
-0.606701,0.017713,-0.606701,,,
0.480444,0.0208,0.480444,,,
0.772124,0.022492,0.772124,,,
1.725414,0.024387,1.725414,,,
2.811049,0.025293,2.811049,,,
3.430388,0.025686,3.430388,,,
4.110055,0.028678,4.110055,,,
4.892285,0.031538,4.892285,,,
5.726164,0.033373,5.726164,,,
6.042084,0.035959,6.042084,,,
6.925497,0.03721,6.925497,,,
7.699321,0.038402,7.699321,,,
8.497339,0.039939,8.497339,,,
8.901388,0.04324,8.901388,,,
9.642301,0.045861,9.642301,,,
10.624317,0.048173,10.624317,,,
10.698351,0.048959,10.698351,,,
11.57593,0.049984,11.57593,,,
12.521063,0.051866,12.521063,,,
13.151945,0.057252,13.151945,,,
13.236797,0.058538,13.236797,,,
14.204131,0.061028,14.204131,,,
15.053638,0.061934,15.053638,,,
15.350065,0.063006,15.350065,,,
15.864501,0.065115,15.864501,,,
16.547159,0.068081,16.547159,,,
17.087782,0.069939,17.087782,,,
17.076565,0.072298,17.076565,,,
18.028809,0.07362,18.028809,,,
18.766291,0.074657,18.766291,,,
18.946859,0.076289,18.946859,,,
19.211832,0.077849,19.211832,,,
20.198587,0.082304,20.198587,,,
20.806763,0.083817,20.806763,,,
20.828436,0.085401,20.828436,,,
21.699228,0.086485,21.699228,,,
22.460165,0.087521,22.460165,,,
22.608225,0.092404,22.608225,,,
22.956671,0.093774,22.956671,,,
23.604574,0.095965,23.604574,,,
24.359638,0.098347,24.359638,,,
24.706583,0.098585,24.706583,,,
24.919241,0.100741,24.919241,,,
25.94054,0.10448,25.94054,,,
25.917858,0.106385,25.917858,,,
26.180895,0.108672,26.180895,,,
26.848866,0.110077,26.848866,,,
27.51836,0.110922,27.51836,,,
27.547104,0.112792,27.547104,,,
28.068291,0.114304,28.068291,,,
28.679346,0.118424,28.679346,,,
29.19248,0.119853,29.19248,,,
29.118151,0.121793,29.118151,,,
29.882629,0.12277,29.882629,,,
30.51939,0.124187,30.51939,,,
30.601084,0.126985,30.601084,,,
30.853659,0.130318,30.853659,,,
31.434874,0.13139,31.434874,,,
31.877459,0.13433,31.877459,,,
31.890089,0.134913,31.890089,,,
32.507591,0.136783,32.507591,,,
33.274052,0.140735,33.274052,,,
33.354149,0.142794,33.354149,,,
33.675453,0.144127,33.675453,,,
34.015572,0.146818,34.015572,,,
34.887104,0.147329,34.887104,,,
35.075127,0.148651,35.075127,,,
34.89859,0.150924,34.89859,,,
35.759132,0.154614,35.759132,,,
36.012627,0.156197,36.012627,,,
36.129787,0.15828,36.129787,,,
36.592117,0.159625,36.592117,,,
37.31768,0.160327,37.31768,,,
37.144585,0.162922,37.144585,,,
37.714874,0.166825,37.714874,,,
38.264511,0.167932,38.264511,,,
38.450943,0.170074,38.450943,,,
38.246254,0.171205,38.246254,,,
38.975594,0.172216,38.975594,,,
39.557457,0.174489,39.557457,,,
39.480724,0.177155,39.480724,,,
39.901005,0.179571,39.901005,,,
40.316811,0.182522,40.316811,,,
40.846329,0.183866,40.846329,,,
40.616405,0.184985,40.616405,,,
41.115253,0.187364,41.115253,,,
41.952625,0.191374,41.952625,,,
41.936085,0.192481,41.936085,,,
42.177006,0.194658,42.177006,,,
42.539917,0.195729,42.539917,,,
43.005657,0.19655,43.005657,,,
42.897217,0.198822,42.897217,,,
43.406059,0.200155,43.406059,,,
43.863567,0.204473,43.863567,,,
43.85379,0.206162,43.85379,,,
43.94001,0.207447,43.94001,,,
44.586372,0.208899,44.586372,,,
45.041542,0.210433,45.041542,,,
44.85294,0.212741,44.85294,,,
45.224495,0.215905,45.224495,,,
45.833698,0.21738,45.833698,,,
45.888844,0.21964,45.888844,,,
45.857346,0.220342,45.857346,,,
46.259125,0.222531,46.259125,,,
46.865837,0.227788,46.865837,,,
46.626183,0.228038,46.626183,,,
46.90987,0.230464,46.90987,,,
47.535896,0.232283,47.535896,,,
47.875351,0.232771,47.875351,,,
47.872387,0.234924,47.872387,,,
48.158413,0.23647,48.158413,,,
48.758533,0.240466,48.758533,,,
48.47784,0.242309,48.47784,,,
48.548302,0.243831,48.548302,,,
49.06826,0.245116,49.06826,,,
49.435776,0.246293,49.435776,,,
49.599812,0.248136,49.599812,,,
49.414345,0.252381,49.414345,,,
50.23896,0.253439,50.23896,,,
50.148941,0.255913,50.148941,,,
50.280197,0.256745,50.280197,,,
50.802143,0.257815,50.802143,,,
51.096535,0.26332,51.096535,,,
51.204048,0.264485,51.204048,,,
51.240776,0.266328,51.240776,,,
51.554199,0.26873,51.554199,,,
51.615005,0.269158,51.615005,,,
51.714249,0.270715,51.714249,,,
52.222233,0.272855,52.222233,,,
52.66608,0.276945,52.66608,,,
52.398045,0.278502,52.398045,,,
52.674904,0.280285,52.674904,,,
53.207531,0.281307,53.207531,,,
53.325214,0.28208,53.325214,,,
53.282707,0.284683,53.282707,,,
53.47184,0.287845,53.47184,,,
54.032646,0.289878,54.032646,,,
53.879395,0.29235,53.879395,,,
53.952312,0.293063,53.952312,,,
54.454365,0.294181,54.454365,,,
54.490837,0.29695,54.490837,,,
54.409664,0.300326,54.409664,,,
54.384823,0.301764,54.384823,,,
55.134205,0.303428,55.134205,,,
54.980038,0.30546,54.980038,,,
55.166153,0.305781,55.166153,,,
55.436783,0.309465,55.436783,,,
55.848194,0.313244,55.848194,,,
55.639263,0.31328,55.639263,,,
55.904423,0.316738,55.904423,,,
56.54591,0.317748,56.54591,,,
56.296783,0.31871,56.296783,,,
56.166687,0.321004,56.166687,,,
56.673954,0.32344,56.673954,,,
57.079979,0.325887,57.079979,,,
56.74815,0.32801400000000003,56.74815,,,
56.967369,0.329416,56.967369,,,
57.645103,0.330699,57.645103,,,
57.232639,0.332339,57.232639,,,
57.319225,0.333694,57.319225,,,
57.722729,0.338078,57.722729,,,
58.095741,0.339551,58.095741,,,
58.150272,0.341119,58.150272,,,
58.006783,0.342248,58.006783,,,
58.422802,0.343234,58.422802,,,
58.439762,0.34896,58.439762,,,
58.232971,0.349744,58.232971,,,
58.612038,0.351787,58.612038,,,
58.945309,0.353996,58.945309,,,
59.024815,0.354341,59.024815,,,
58.827412,0.356752,58.827412,,,
59.227276,0.359793,59.227276,,,
59.537228,0.362109,59.537228,,,
59.122082,0.364616,59.122082,,,
59.61557,0.365696,59.61557,,,
60.117199,0.366801,60.117199,,,
59.90707,0.368428,59.90707,,,
59.633766,0.369972,59.633766,,,
60.300247,0.374557,60.300247,,,
60.408531,0.375697,60.408531,,,
60.245285,0.37749,60.245285,,,
60.557686,0.378547,60.557686,,,
60.760681,0.379735,60.760681,,,
60.854679,0.384223,60.854679,,,
60.479313,0.386028,60.479313,,,
61.050598,0.387275,61.050598,,,
61.097229,0.390137,61.097229,,,
61.010136,0.390743,61.010136,,,
61.30056,0.392144,61.30056,,,
61.516609,0.396347,61.516609,,,
61.617931,0.398413,61.617931,,,
61.404152,0.400242,61.404152,,,
61.660671,0.402201,61.660671,,,
62.044144,0.403163,62.044144,,,
61.886127,0.404362,61.886127,,,
61.774467,0.406392,61.774467,,,
62.285698,0.410441,62.285698,,,
62.399422,0.411568,62.399422,,,
62.288868,0.413907,62.288868,,,
62.661732,0.414821,62.661732,,,
62.966824,0.416103,62.966824,,,
62.809105,0.4183,62.809105,,,
62.522266,0.421137,62.522266,,,
63.22226,0.423487,63.22226,,,
63.078644,0.426348,63.078644,,,
62.95475,0.426977,62.95475,,,
63.00642,0.427654,63.00642,,,
63.471664,0.429826,63.471664,,,
63.336788,0.434111,63.336788,,,
63.30658,0.434906,63.30658,,,
63.83358,0.437363,63.83358,,,
63.727547,0.439428,63.727547,,,
