"True Stress, MPa","True Strain, %","True Stress, MPa.1",Unnamed: 3,Unnamed: 4
-4.143659,0.000393,-4.143659,,
-4.340281,0.000143,-4.340281,,
-4.159435,0.0,-4.159435,,
-4.243484,0.0,-4.243484,,
-4.446616,0.0,-4.446616,,
-4.698775,0.00025,-4.698775,,
-4.322861,0.000393,-4.322861,,
-4.655217,0.000393,-4.655217,,
-4.542289,0.000298,-4.542289,,
-5.105668,0.000429,-5.105668,,
-4.463781,0.000393,-4.463781,,
-4.303329,0.000167,-4.303329,,
-4.181416,0.0,-4.181416,,
-4.655369,0.0,-4.655369,,
-4.600677,0.000715,-4.600677,,
-0.681093,0.107398,-0.681093,,
47.53867,0.20301,47.53867,,
76.436073,0.309322,76.436073,,
100.289497,0.412518,100.289497,,
117.898483,0.517742,117.898483,,
130.984863,0.622216,130.984863,,
141.668411,0.72612,141.668411,,
149.341919,0.829028,149.341919,,
157.429062,0.931784,157.429062,,
163.400574,1.033349,163.400574,,
168.288956,1.13593,168.288956,,
172.45314,1.236958,172.45314,,
177.221802,1.33752,177.221802,,
179.741257,1.440448,179.741257,,
182.94632,1.542519,182.94632,,
185.355026,1.644498,185.355026,,
187.6987,1.745131,187.6987,,
189.407959,1.845885,189.407959,,
190.866302,1.948549,190.866302,,
192.795334,2.049133,192.795334,,
194.088852,2.150772,194.088852,,
195.115128,2.250104,195.115128,,
195.364975,2.352237,195.364975,,
196.323776,2.453092,196.323776,,
197.547073,2.55374,197.547073,,
198.017029,2.656039,198.017029,,
199.554001,2.75486,199.554001,,
199.521332,2.857024,199.521332,,
199.828979,2.955808,199.828979,,
200.326813,3.056772,200.326813,,
200.466904,3.157208,200.466904,,
201.299179,3.257923,201.299179,,
201.847015,3.356808,201.847015,,
201.921295,3.45662,201.921295,,
202.130249,3.556494,202.130249,,
202.503403,3.656233,202.503403,,
202.431091,3.755781,202.431091,,
202.985443,3.854451,202.985443,,
203.168915,3.953218,203.168915,,
204.405975,4.052436,204.405975,,
203.933533,4.152095,203.933533,,
204.142822,4.25106,204.142822,,
204.513519,4.350098,204.513519,,
203.831085,4.448604,203.831085,,
204.421509,4.547789,204.421509,,
204.655807,4.646238,204.655807,,
205.007904,4.744749,205.007904,,
206.244095,4.843617,206.244095,,
205.315323,4.94114,205.315323,,
205.925934,5.039985,205.925934,,
206.462311,5.138053,206.462311,,
206.139893,5.236251,206.139893,,
206.471756,5.333934,206.471756,,
206.720367,5.431138,206.720367,,
206.43457,5.529195,206.43457,,
205.956543,5.62701,205.956543,,
207.237289,5.724628,207.237289,,
207.019089,5.821948,207.019089,,
206.847992,5.919477,206.847992,,
207.759216,6.017225,207.759216,,
207.663345,6.114116,207.663345,,
207.535568,6.211472,207.535568,,
207.156693,6.308074,207.156693,,
207.864243,6.405376,207.864243,,
207.66246,6.502237,207.66246,,
207.528214,6.599205,207.528214,,
207.605804,6.695913,207.605804,,
207.444092,6.79187,207.444092,,
208.470917,6.888213,208.470917,,
208.644714,6.985408,208.644714,,
208.949448,7.080621,208.949448,,
208.932877,7.177119,208.932877,,
209.091232,7.273081,209.091232,,
209.388535,7.369594,209.388535,,
209.300354,7.465504,209.300354,,
208.996368,7.560559,208.996368,,
209.292892,7.657457,209.292892,,
209.514923,7.752497,209.514923,,
209.647659,7.848811,209.647659,,
209.352905,7.942302,209.352905,,
210.371353,8.038534,210.371353,,
209.08844,8.13341,209.08844,,
210.093872,8.229282,210.093872,,
209.887314,8.324086,209.887314,,
210.494461,8.419503,210.494461,,
210.354126,8.514105,210.354126,,
210.699051,8.60828,210.699051,,
210.142517,8.704452,210.142517,,
210.402954,8.798196,210.402954,,
210.830078,8.893575,210.830078,,
210.577454,8.987349,210.577454,,
210.28334,9.082113,210.28334,,
211.376419,9.176612,211.376419,,
210.286179,9.27024,210.286179,,
211.087997,9.364314,211.087997,,
211.753143,9.45847,211.753143,,
211.287125,9.552052,211.287125,,
211.408356,9.645644,211.408356,,
211.147858,9.739408,211.147858,,
212.267807,9.833224,212.267807,,
211.477325,9.926564,211.477325,,
211.534119,10.020518,211.534119,,
211.727356,10.113555,211.727356,,
212.218323,10.206912,212.218323,,
212.647476,10.299958,212.647476,,
212.02739,10.393304,212.02739,,
211.460739,10.486959,211.460739,,
212.26741,10.580078,212.26741,,
211.935196,10.672734,211.935196,,
212.388565,10.765143,212.388565,,
211.959641,10.857982,211.959641,,
