"True Stress, MPa","True Strain, %","True Stress, MPa.1"
-0.85276,0.0,-0.85276
-1.12663,6.9e-05,-1.12663
-1.39089,9e-06,-1.39089
-1.447472,0.000131,-1.447472
-1.279306,0.000155,-1.279306
-1.100978,0.000155,-1.100978
-0.893878,0.000238,-0.893878
-0.952019,0.000304,-0.952019
-0.818606,0.00031,-0.818606
-0.816247,0.00031,-0.816247
-0.859098,0.00031,-0.859098
-0.757968,0.00031,-0.757968
-1.00927,0.00031,-1.00927
-0.782668,0.00031,-0.782668
-0.797995,0.00031,-0.797995
-1.293984,0.000304,-1.293984
-1.642196,0.000137,-1.642196
-1.557947,0.00028,-1.557947
19.981712,0.060775,19.981712
53.830864,0.164046,53.830864
79.269356,0.268373,79.269356
97.621597,0.372544,97.621597
110.227798,0.476285,110.227798
119.902756,0.579928,119.902756
127.940331,0.683432,127.940331
134.672241,0.786597,134.672241
140.441925,0.88994,140.441925
145.230026,0.992943,145.230026
149.20784,1.095905,149.20784
152.817856,1.198917,152.817856
155.890213,1.301791,155.890213
158.667084,1.404344,158.667084
160.939331,1.506948,160.939331
162.795578,1.609652,162.795578
164.473892,1.711797,164.473892
166.074142,1.814024,166.074142
167.310104,1.916458,167.310104
168.509674,2.018366,168.509674
169.703812,2.120318,169.703812
170.620132,2.222243,170.620132
171.425369,2.324029,171.425369
172.406067,2.425479,172.406067
173.256149,2.52698,173.256149
173.697189,2.628718,173.697189
174.205643,2.730039,174.205643
174.791519,2.831246,174.791519
175.305069,2.932267,175.305069
175.549561,3.033614,175.549561
175.812241,3.134451,175.812241
176.299866,3.235108,176.299866
176.568451,3.336134,176.568451
176.88324,3.43658,176.88324
177.046005,3.537012,177.046005
177.543671,3.63757,177.543671
177.919083,3.737527,177.919083
178.116318,3.838038,178.116318
178.268982,3.938137,178.268982
178.659134,4.038103,178.659134
179.040329,4.137998,179.040329
179.265076,4.237951,179.265076
179.35495,4.337716,179.35495
179.416382,4.437227,179.416382
179.795441,4.536765,179.795441
179.643921,4.636411,179.643921
180.087189,4.735626,180.087189
180.099792,4.834849,180.099792
180.231827,4.93412,180.231827
180.39296,5.033311,180.39296
180.530518,5.131929,180.530518
180.741425,5.231081,180.741425
180.714478,5.329746,180.714478
181.083481,5.428163,181.083481
181.119034,5.526886,181.119034
181.477112,5.625283,181.477112
181.294434,5.723372,181.294434
181.601151,5.821926,181.601151
181.539078,5.919783,181.539078
181.649414,6.017969,181.649414
181.703766,6.116024,181.703766
181.951874,6.21362,181.951874
182.022308,6.311535,182.022308
182.093338,6.409264,182.093338
182.1931,6.506901,182.1931
182.266266,6.60428,182.266266
182.476456,6.701964,182.476456
182.634384,6.798962,182.634384
182.659332,6.896216,182.659332
182.607773,6.993548,182.607773
182.827621,7.090233,182.827621
183.077682,7.187349,183.077682
182.952194,7.284259,182.952194
183.1418,7.380786,183.1418
183.134171,7.477576,183.134171
183.116882,7.574131,183.116882
183.223495,7.670375,183.223495
183.378082,7.767002,183.378082
183.322403,7.863165,183.322403
183.633057,7.959286,183.633057
183.528152,8.055493,183.528152
183.895325,8.151244,183.895325
183.942459,8.247186,183.942459
184.234634,8.343294,184.234634
184.121597,8.438944,184.121597
184.197296,8.534505,184.197296
184.250229,8.630174,184.250229
184.183487,8.725577,184.183487
184.095856,8.820753,184.095856
184.357666,8.916073,184.357666
184.215225,9.011399,184.215225
