"True Stress, MPa","True Strain, %","True Stress, MPa.1",Unnamed: 3,Unnamed: 4,Unnamed: 5
-6.566424,0.0,-6.566424,,,
-6.579184,4.2e-05,-6.579184,,,
-6.520227,1.2e-05,-6.520227,,,
-6.487411,0.000274,-6.487411,,,158.538986
-6.474164,2.4e-05,-6.474164,,,
-6.495203,4.2e-05,-6.495203,,,
-6.478686,1.2e-05,-6.478686,,,
-6.328231,1.2e-05,-6.328231,,,
-6.300912,3e-05,-6.300912,,,
-6.121408,2.4e-05,-6.121408,,,
-2.896901,0.006079,-2.896901,,,
4.706357,0.026538,4.706357,,,
12.004289,0.044777,12.004289,,,
18.930227,0.065365,18.930227,,,
25.193428,0.085711,25.193428,,,
31.655582,0.106296,31.655582,,,
37.671879,0.1258,37.671879,,,
43.333435,0.144949,43.333435,,,
48.97065,0.166516,48.97065,,,
54.129383,0.185722,54.129383,,,
59.128693,0.205835,59.128693,,,
64.004898,0.225462,64.004898,,,
68.597198,0.246525,68.597198,,,
72.176186,0.266031,72.176186,,,
75.967438,0.285337,75.967438,,,
79.395683,0.304301,79.395683,,,
82.468933,0.324877,82.468933,,,
85.335564,0.345889,85.335564,,,
88.006142,0.365203,88.006142,,,
90.317024,0.384313,90.317024,,,
92.64521,0.404136,92.64521,,,
94.612473,0.425648,94.612473,,,
96.445602,0.445261,96.445602,,,
98.406197,0.464598,98.406197,,,
100.319084,0.483866,100.319084,,,
101.706909,0.503712,101.706909,,,
103.212601,0.524692,103.212601,,,
104.678871,0.544867,104.678871,,,
105.772598,0.564706,105.772598,,,
107.018295,0.583748,107.018295,,,
108.240555,0.603366,108.240555,,,
109.520195,0.624793,109.520195,,,
110.531288,0.64416,110.531288,,,
111.389565,0.663305,111.389565,,,
112.577469,0.682777,112.577469,,,
113.621719,0.702441,113.621719,,,
114.333374,0.72364,114.333374,,,
115.331169,0.743515,115.331169,,,
116.031448,0.762871,116.031448,,,
116.63121,0.782135,116.63121,,,
