"True Stress, MPa","True Strain, %"
-1.858829,0.0
-1.761231,4.8e-05
-2.190947,1.8e-05
-2.246387,1.2e-05
-2.126456,1.5e-05
-2.124176,9e-06
-2.269086,3e-05
-2.263069,1.2e-05
-2.291221,7.2e-05
-2.298728,8.6e-05
-2.311437,0.000176
18.098715,0.060093
47.89072,0.160497
72.096718,0.260336
90.961212,0.359959
105.27533,0.459558
115.700554,0.55896
124.240753,0.658547
130.731293,0.757814
136.243591,0.856925
141.174438,0.95609
145.168854,1.054982
148.714386,1.153817
151.592377,1.252723
154.264465,1.351449
156.469376,1.449892
158.610352,1.548567
160.44577,1.646928
161.936798,1.745239
163.396332,1.843436
164.506195,1.941601
165.640244,2.03955
166.876465,2.137422
167.513504,2.235494
168.433487,2.333025
169.451675,2.430785
169.838455,2.52842
170.440323,2.625837
171.021027,2.723201
171.600281,2.820618
172.01561,2.917822
172.428268,3.014828
172.949203,3.111654
173.321106,3.208597
173.794754,3.305421
173.869308,3.402004
174.065475,3.498454
174.595642,3.595248
174.882919,3.691668
175.029846,3.78793
175.397827,3.884358
175.634079,3.980562
175.722427,4.076472
175.77034,4.172245
176.068848,4.268368
176.218384,4.363971
176.336441,4.459598
176.546753,4.55543
176.612411,4.650824
176.928787,4.746313
177.075317,4.841572
177.390686,4.936674
177.548172,5.03185
177.709595,5.127102
177.927216,5.222023
178.086212,5.316918
178.174438,5.41164
178.169937,5.506363
178.358749,5.601098
178.402893,5.695465
178.300278,5.789856
178.482773,5.88403
178.592087,5.97848
178.634872,6.072598
178.771042,6.166594
178.924957,6.260629
179.232697,6.354453
179.174255,6.448314
179.392029,6.542073
179.404816,6.635627
179.568375,6.729088
179.44606,6.822531
179.721436,6.915803
179.808762,7.009135
179.663956,7.102367
179.816376,7.195392
179.71727,7.288524
179.93605,7.38149
180.099197,7.474346
180.027802,7.567234
180.055634,7.659951
180.202011,7.75244
180.341568,7.84474
180.467606,7.937246
180.360641,8.02955
180.430603,8.121691
180.546173,8.213875
180.531357,8.306091
180.745499,8.397944
180.612137,8.48988
180.762863,8.581805
180.678436,8.673555
180.806854,8.76503
180.885666,8.856688
181.15564,8.948073
181.048401,9.039556
181.277802,9.130868
181.226013,9.222258
181.254196,9.313229
181.302643,9.404266
181.238159,9.495418
181.615967,9.586189
181.562347,9.676987
181.785126,9.767799
181.599228,9.858534
181.592072,9.949129
181.620331,10.039645
181.654251,10.130079
181.514679,10.220359
181.600998,10.310662
181.777466,10.400715
181.795761,10.490734
181.924713,10.580673
182.096954,10.670551
182.068481,10.760458
182.09082,10.850146
182.057999,10.939936
182.095657,11.029605
182.164886,11.119035
182.154175,11.208508
182.290222,11.297939
182.320221,11.387209
182.283218,11.476223
182.327606,11.565426
182.364014,11.654471
182.286545,11.743412
182.136826,11.832242
182.107025,11.921167
182.173111,12.009945
182.538239,12.098639
182.525894,12.187153
182.561005,12.275796
182.477264,12.364034
182.793564,12.452441
182.593506,12.540586
182.72287,12.628957
182.522095,12.716869
182.852554,12.804943
182.807907,12.892818
182.881516,12.98078
182.752319,13.06855
183.006241,13.1563
182.745926,13.243751
182.940796,13.331401
182.805969,13.418767
183.009857,13.506323
183.006546,13.593556
183.113708,13.681034
183.086563,13.768086
183.136444,13.855097
183.033707,13.94221
183.140121,14.029124
183.233902,14.116079
183.370193,14.202703
183.143265,14.28962
183.093796,14.376163
183.236328,14.46285
182.950745,14.549415
183.178146,14.635828
183.308167,14.722198
183.583221,14.808303
183.597137,14.894667
183.740234,14.980578
183.785919,15.06664
183.376434,15.152636
183.457886,15.238434
183.364151,15.324522
183.484146,15.410122
183.553391,15.495873
183.549164,15.581455
183.69191,15.667247
183.78624,15.752601
183.574661,15.8378
183.773529,15.92322
183.858704,16.008421
183.969986,16.093639
183.662903,16.178658
184.101669,16.263847
184.124863,16.348623
184.080521,16.43358
184.039612,16.518637
184.094574,16.603065
184.092163,16.68771
184.155106,16.772488
183.986343,16.857071
183.906952,16.94175
184.090622,17.025761
184.208008,17.1101
184.470032,17.194345
184.392288,17.278509
184.799408,17.362597
184.515259,17.446594
184.661392,17.530584
184.555099,17.614395
184.440048,17.698145
184.38974,17.781998
184.702133,17.865904
184.910156,17.949341
184.782471,18.032816
184.517242,18.116524
184.586487,18.199865
184.264725,18.283152
185.066833,18.366156
184.904877,18.449614
184.76767,18.532528
184.838638,18.61569
185.018723,18.698446
185.454788,18.781507
185.488602,18.864437
185.471054,18.947193
185.557816,19.029867
185.584915,19.112602
185.554947,19.195103
185.541,19.277531
185.564651,19.359938
185.558319,19.442348
185.621078,19.52457
185.619675,19.606834
185.41127,19.689047
185.459473,19.771172
185.506058,19.853216
185.399948,19.935028
185.747055,20.017027
186.03334,20.09877
185.882187,20.180601
185.955124,20.262196
185.900009,20.343943
185.956543,20.425484
186.062866,20.50696
186.014038,20.588467
185.992233,20.669785
185.991211,20.75103
186.114685,20.832268
186.166733,20.913519
186.177536,20.994595
186.067902,21.075596
185.997711,21.156546
186.06395,21.237505
186.156174,21.31839
186.13678,21.399029
186.181229,21.479734
186.352371,21.560343
186.371277,21.64086
186.156677,21.721336
186.261734,21.801832
186.469757,21.882244
186.233948,21.962498
186.172729,22.042828
186.060455,22.123114
186.142151,22.203104
186.276749,22.283257
186.22934,22.363209
186.211044,22.443085
186.421356,22.522907
186.355377,22.6028
186.254898,22.682421
186.391342,22.762106
186.483414,22.841864
186.600449,22.921366
186.656525,23.000965
186.862335,23.080418
186.445557,23.159731
186.494141,23.239069
186.294022,23.318138
186.329239,23.397371
186.421936,23.476501
186.490417,23.55546
186.627289,23.634491
186.641968,23.713369
186.6017,23.792233
186.710297,23.87112
186.715134,23.949818
186.68866,24.028418
186.711487,24.106998
186.859329,24.185577
186.719284,24.264154
186.63414,24.342419
186.4944,24.421005
186.707047,24.499128
186.65976,24.577538
186.586426,24.655569
186.353867,24.733791
186.530273,24.811693
186.363403,24.889746
186.549606,24.967707
186.473572,25.045685
186.42775,25.123377
186.230118,25.201305
186.62439,25.278957
186.726761,25.356611
186.589523,25.43405
186.668106,25.511663
186.771667,25.589153
186.370148,25.666298
186.646927,25.743738
186.55954,25.821173
186.653946,25.898161
186.538895,25.975546
186.402969,26.052464
186.549561,26.129784
186.604111,26.206537
186.860825,26.283607
186.86377,26.360317
186.853149,26.43701
187.064743,26.513857
187.058578,26.59045
186.928085,26.667091
186.866272,26.743776
187.086838,26.820234
186.764969,26.896698
186.749344,26.973017
186.502014,27.049355
187.109589,27.125658
186.795334,27.201853
186.893555,27.278091
186.664169,27.354094
186.902771,27.43017
186.970474,27.50629
187.178253,27.582102
187.215408,27.658012
186.84166,27.733772
186.830933,27.809654
186.710724,27.885101
186.862839,27.960783
186.810013,28.036446
187.022751,28.1119
186.731781,28.187384
186.745087,28.263004
186.860168,28.338375
186.71814,28.413439
186.72673,28.488636
186.736374,28.563974
186.88028,28.638863
186.903183,28.714083
186.723083,28.789326
186.954071,28.864134
186.878189,28.938965
187.140656,29.013788
187.079361,29.088682
186.929474,29.163517
186.837189,29.238031
187.106079,29.312761
187.101501,29.387199
187.225815,29.461857
187.076813,29.536203
187.220657,29.61058
187.429596,29.684855
187.096497,29.759079
187.288071,29.833567
187.283447,29.907721
187.205215,29.981718
187.287247,30.055662
187.547592,30.129753
187.592728,30.20372
187.699478,30.27759
187.319153,30.35146
186.974167,30.42532
187.187622,30.499281
187.184967,30.572746
187.362152,30.646423
187.04039,30.720112
187.286545,30.793541
187.424118,30.866882
187.719543,30.940317
187.840164,31.013676
187.931122,31.087069
187.654312,31.160332
187.849014,31.233557
187.743057,31.306646
187.488037,31.379803
187.544159,31.452736
187.851212,31.525694
187.64447,31.598719
187.738434,31.671516
187.606033,31.744429
187.455551,31.817171
187.428177,31.889999
187.533173,31.962814
187.500458,32.035122
187.794022,32.107765
187.767334,32.180286
187.855713,32.25272
187.963379,32.325092
187.749374,32.397419
188.072083,32.469719
188.063538,32.541981
187.87471,32.61412
188.178162,32.686394
187.786011,32.758446
187.911606,32.830517
187.861313,32.9025
187.836746,32.974499
187.971313,33.046337
187.932861,33.118248
187.985794,33.189976
188.191498,33.261677
188.257294,33.333233
188.295212,33.404984
188.304459,33.476486
188.316879,33.548111
188.195053,33.619511
188.256149,33.69099
188.01738,33.762352
187.777176,33.833561
188.010452,33.905003
188.045578,33.976131
187.951859,34.04731
187.855301,34.118484
187.945312,34.189541
188.231567,34.260612
188.054367,34.331474
187.957275,34.402428
188.153687,34.473343
188.110794,34.544003
188.277008,34.61483
188.189117,34.685638
188.222565,34.756184
188.129532,34.827034
187.873611,34.897518
188.207993,34.968143
187.842728,35.038528
187.810394,35.108917
187.883865,35.179195
187.907837,35.249481
188.055969,35.319813
187.972565,35.389893
188.153336,35.460213
188.120987,35.530243
188.149017,35.600353
188.14296,35.670444
187.999054,35.74036
187.985535,35.810329
188.21579,35.880196
188.240463,35.949993
187.84816,36.019707
187.710144,36.08952
187.588867,36.159096
187.770691,36.228851
187.714142,36.298489
187.515732,36.367916
187.556793,36.437557
187.674255,36.506859
187.548386,36.576275
187.706696,36.645496
188.141129,36.714962
187.757797,36.784203
187.68634,36.853428
187.749054,36.922546
187.63002,36.991573
187.494568,37.060764
187.594284,37.129887
187.525146,37.198582
187.647598,37.267483
187.425613,37.336571
187.555923,37.405212
187.262665,37.473999
187.463928,37.542656
187.844299,37.611485
187.654144,37.680061
187.533752,37.7486
187.69278,37.817196
187.599121,37.885601
187.847809,37.954102
187.73645,38.022308
187.618652,38.090858
187.552002,38.159275
187.370438,38.22728
187.238098,38.295605
187.549057,38.363991
187.301895,38.431995
187.265045,38.500164
187.504547,38.568169
187.458527,38.635899
187.478775,38.703991
187.388641,38.771816
187.307968,38.8396
187.457504,38.907249
187.734055,38.975071
187.823364,39.042862
187.864243,39.110489
187.652771,39.178101
187.675842,39.245785
187.067734,39.313118
187.517456,39.380718
187.414062,39.448235
187.422516,39.515553
187.253159,39.582584
187.463043,39.650173
187.11882,39.71759
187.203812,39.784576
187.009964,39.851673
187.379852,39.918919
187.155243,39.985634
187.170898,40.053123
187.321274,40.119816
187.368378,40.186726
187.264252,40.253777
187.292084,40.320625
187.464401,40.387413
187.449326,40.454193
187.342926,40.520855
187.487656,40.587551
187.476089,40.653973
187.314743,40.720554
187.288361,40.787033
187.308502,40.853603
187.645096,40.920128
187.420074,40.986469
187.448669,41.052624
187.356628,41.119122
187.561081,41.185398
187.659317,41.251644
187.566696,41.31776
187.230499,41.383724
186.989197,41.45015
187.067413,41.515915
187.278046,41.582111
187.264893,41.647964
187.266754,41.713928
187.662903,41.779888
187.725845,41.845722
188.11792,41.911407
187.706482,41.97718
187.786697,42.04285
187.771622,42.10854
187.593277,42.174152
187.550705,42.239738
187.479874,42.30518
187.415512,42.370853
187.567596,42.4361
187.366364,42.501564
187.291733,42.56702
187.038528,42.632244
187.087189,42.697475
187.094284,42.76276
187.225311,42.827888
187.45195,42.893013
187.554474,42.958195
187.423218,43.023277
187.452499,43.088371
187.208588,43.153271
187.54245,43.21809
187.544708,43.282982
187.353592,43.34787
187.458542,43.412506
187.367722,43.477364
187.33606,43.542187
187.333099,43.606976
186.866867,43.671593
187.265778,43.736244
187.369827,43.800606
187.809784,43.865143
187.694031,43.929657
187.441498,43.994011
187.663742,44.058395
187.330841,44.122742
187.606476,44.186954
187.206604,44.251305
187.054184,44.315765
186.892639,44.379604
187.381302,44.443993
187.074097,44.507942
186.629013,44.572189
187.07402,44.636013
187.325134,44.700054
187.226151,44.763988
187.405563,44.827785
187.23819,44.891678
187.116455,44.955612
187.248032,45.019348
187.146378,45.082985
187.336075,45.146633
187.239197,45.210361
187.454788,45.274002
187.129669,45.337498
186.849411,45.401157
186.778015,45.4645
186.61232,45.528046
186.993729,45.591526
186.68721,45.654869
186.666183,45.718235
186.979523,45.781319
187.158279,45.844658
186.70993,45.907833
186.615814,45.971085
186.735229,46.034016
186.796677,46.097111
186.745407,46.160229
186.925323,46.223251
186.630096,46.28635
186.437103,46.34919
186.207794,46.411911
186.202225,46.474831
186.523483,46.537724
186.13974,46.600437
186.235779,46.663181
186.160461,46.725872
186.299713,46.788692
186.312973,46.851173
186.398087,46.913651
186.432037,46.976463
186.313187,47.03896
186.181793,47.10141
186.209503,47.163597
186.249954,47.226131
186.099136,47.288429
186.071091,47.350502
185.752106,47.412975
185.689178,47.47514
185.632843,47.537426
185.741623,47.599613
185.578918,47.661701
185.45816,47.723621
185.702789,47.785656
185.63858,47.847645
185.838928,47.909748
185.840622,47.971428
185.642731,48.033226
185.758347,48.095497
185.646225,48.157173
185.66246,48.219067
185.317337,48.280602
185.453217,48.342468
185.161285,48.403919
185.368515,48.465706
185.049393,48.527164
185.118179,48.58876
184.932999,48.6502
184.769943,48.711845
184.943237,48.773174
184.794006,48.834743
185.054977,48.895767
185.249023,48.95702
184.898254,49.01833
185.011948,49.079536
185.140518,49.140617
184.759338,49.201893
184.727509,49.263107
184.666412,49.324059
184.542175,49.385384
184.674805,49.446381
184.555313,49.507233
184.680893,49.568127
184.385147,49.629036
184.468231,49.689945
184.418533,49.750771
184.33316,49.811489
184.463318,49.872181
184.657333,49.932999
184.488342,49.993546
184.431915,50.054382
184.185974,50.115078
184.255646,50.175404
183.810654,50.23605
184.208969,50.296402
184.241882,50.35693
184.318283,50.417377
184.106781,50.477776
184.265472,50.537895
184.423721,50.598362
183.94371,50.658623
184.48558,50.718708
184.020691,50.779381
184.070816,50.839386
183.945114,50.89912
184.388077,50.959373
184.234604,51.019463
183.969727,51.079567
183.680878,51.139439
183.525452,51.199371
183.719131,51.259472
183.659943,51.319241
183.527863,51.378841
183.269592,51.438644
183.747635,51.498474
183.532181,51.558235
183.792313,51.617985
183.60379,51.677784
183.770386,51.737392
183.345108,51.796993
183.312531,51.856495
183.403931,51.91605
183.09198,51.975498
183.323196,52.03495
183.12059,52.094299
183.240311,52.153591
183.129196,52.2131
182.967331,52.272404
182.823761,52.331562
182.754593,52.390873
182.700745,52.450096
182.514297,52.509289
182.637451,52.568398
182.580185,52.62756
182.352859,52.686378
182.498611,52.745522
182.415344,52.804493
182.156815,52.86351
182.203064,52.922482
181.955475,52.981403
182.082855,53.040123
181.683701,53.099007
181.526947,53.157841
181.402573,53.21661
181.382767,53.275333
181.420181,53.333858
181.317551,53.392521
181.031982,53.451187
181.180115,53.509857
181.011505,53.568451
180.947739,53.626827
180.668289,53.685223
180.563995,53.743805
180.484344,53.802212
180.274918,53.860619
179.869278,53.918804
179.656601,53.977428
179.788696,54.035557
179.321396,54.093697
179.322159,54.151848
179.29274,54.210182
179.090485,54.268269
178.721085,54.326347
178.93454,54.384243
178.560944,54.442421
178.85463,54.50037
178.431656,54.558273
178.088074,54.616337
177.920563,54.674164
177.518387,54.732208
177.543015,54.789936
177.07991,54.84787
176.741119,54.905468
176.512985,54.963322
176.667496,55.020962
176.17424,55.078609
176.180206,55.136158
175.673096,55.193859
175.476974,55.251354
175.235046,55.308865
175.127716,55.366436
174.489624,55.42387
174.142685,55.48135
173.65271,55.538734
173.483353,55.59605
173.298065,55.653374
173.163269,55.710609
172.360535,55.767944
172.039185,55.825207
171.42186,55.882465
171.23912,55.939548
170.81488,55.996792
170.158096,56.053795
169.661591,56.110916
169.324539,56.168167
168.752548,56.224964
168.435272,56.281902
167.702988,56.339005
