"True Stress, MPa","True Strain, %","True Stress, MPa.1"
-10.004793,0.0,-10.004793
-10.31989,4.2e-05,-10.31989
-10.426635,0.000226,-10.426635
-11.168401,8e-05,-11.168401
-12.125138,3.9e-05,-12.125138
-13.349711,2.4e-05,-13.349711
-13.822103,3.9e-05,-13.822103
-13.431578,3.3e-05,-13.431578
-13.304914,3e-06,-13.304914
-13.201502,0.000176,-13.201502
-13.933933,6e-06,-13.933933
-14.297987,9.5e-05,-14.297987
-14.782857,3e-05,-14.782857
-14.989771,2.4e-05,-14.989771
-15.440279,2.1e-05,-15.440279
-15.927309,2.1e-05,-15.927309
-16.260195,9e-06,-16.260195
-16.42734,1.5e-05,-16.42734
-16.789616,2.7e-05,-16.789616
-17.226212,1.8e-05,-17.226212
-0.738171,0.055724,-0.738171
32.039852,0.160562,32.039852
58.466354,0.265068,58.466354
78.417053,0.369001,78.417053
92.94516,0.472637,92.94516
103.271042,0.576263,103.271042
111.278297,0.679625,111.278297
117.694244,0.783022,117.694244
122.62838,0.886283,122.62838
126.59362,0.98939,126.59362
129.632538,1.092371,129.632538
132.743637,1.195383,132.743637
136.043396,1.298293,136.043396
138.775681,1.400903,138.775681
141.007248,1.50354,141.007248
142.816788,1.606004,142.816788
144.245926,1.70839,144.245926
145.310623,1.81067,145.310623
146.14122,1.912809,146.14122
147.104721,2.014846,147.104721
147.616211,2.116835,147.616211
148.14476,2.218527,148.14476
148.715317,2.320515,148.715317
149.15625,2.421983,149.15625
149.468948,2.523694,149.468948
149.918808,2.625154,149.918808
149.860672,2.726333,149.860672
150.297867,2.82777,150.297867
150.583679,2.928829,150.583679
150.562271,3.029858,150.562271
150.615707,3.130771,150.615707
150.808105,3.231643,150.808105
150.86058,3.332326,150.86058
150.884537,3.433067,150.884537
150.323425,3.533646,150.323425
149.676178,3.634012,149.676178
149.745163,3.73434,149.745163
150.384064,3.834514,150.384064
150.984436,3.934675,150.984436
151.125229,4.034675,151.125229
151.07486,4.134673,151.07486
150.819595,4.234498,150.819595
150.925842,4.334166,150.925842
150.670166,4.433823,150.670166
150.684189,4.533293,150.684189
150.482895,4.632789,150.482895
150.442032,4.732027,150.442032
150.346817,4.831345,150.346817
150.391251,4.930548,150.391251
150.120499,5.02944,150.120499
150.0345,5.128515,150.0345
149.745911,5.227367,149.745911
149.563431,5.326031,149.563431
149.490997,5.42472,149.490997
149.240173,5.52333,149.240173
149.328934,5.621832,149.328934
148.888443,5.720046,148.888443
148.831802,5.81836,148.831802
148.483429,5.916494,148.483429
147.442932,6.014562,147.442932
147.066223,6.11256,147.066223
147.326859,6.210408,147.326859
147.974014,6.308225,147.974014
148.403412,6.405879,148.403412
147.995956,6.503508,147.995956
147.812592,6.601091,147.812592
147.616074,6.698519,147.616074
147.298416,6.795868,147.298416
147.032898,6.893153,147.032898
146.833038,6.990283,146.833038
146.665207,7.087385,146.665207
146.38707,7.184159,146.38707
146.105637,7.281004,146.105637
145.851959,7.377686,145.851959
145.820953,7.474351,145.820953
145.501419,7.570866,145.501419
145.330719,7.667298,145.330719
145.138245,7.763538,145.138245
144.845062,7.859936,144.845062
144.675034,7.956087,144.675034
144.458664,8.0521,144.458664
144.340195,8.148119,144.340195
144.083206,8.243925,144.083206
143.869202,8.339884,143.869202
142.703796,8.435618,142.703796
141.928848,8.531298,141.928848
142.486633,8.626825,142.486633
143.01918,8.722237,143.01918
143.16626,8.817576,143.16626
142.933716,8.912877,142.933716
142.763733,9.008134,142.763733
142.516174,9.103126,142.516174
142.22171,9.198135,142.22171
141.998276,9.293072,141.998276
141.793304,9.387889,141.793304
141.60466,9.482476,141.60466
141.404312,9.577203,141.404312
141.080582,9.671791,141.080582
140.526779,9.766147,140.526779
140.601501,9.860567,140.601501
140.254852,9.954915,140.254852
140.080902,10.049008,140.080902
139.830566,10.143049,139.830566
139.790955,10.237123,139.790955
139.506958,10.331041,139.506958
139.093674,10.424932,139.093674
138.967377,10.518545,138.967377
138.873352,10.612321,138.873352
138.075806,10.70589,138.075806
137.137466,10.799432,137.137466
136.702087,10.892765,136.702087
137.176956,10.986053,137.176956
137.579163,11.079383,137.579163
137.713852,11.172465,137.713852
137.466309,11.26548,137.466309
137.166,11.358546,137.166
136.805084,11.451282,136.805084
136.602203,11.54408,136.602203
136.381775,11.636883,136.381775
136.100632,11.729553,136.100632
135.87326,11.821917,135.87326
135.625351,11.914398,135.625351
135.658417,12.006824,135.658417
135.329803,12.0991,135.329803
134.967697,12.191355,134.967697
134.773499,12.283526,134.773499
134.474442,12.375556,134.474442
134.245407,12.467464,134.245407
134.093567,12.559388,134.093567
133.688553,12.651053,133.688553
133.5979,12.742835,133.5979
133.165161,12.834356,133.165161
133.138977,12.925904,133.138977
132.182709,13.017157,132.182709
131.181259,13.108603,131.181259
131.211838,13.199742,131.211838
131.872986,13.290991,131.872986
132.123383,13.382035,132.123383
132.20433,13.473081,132.20433
131.968857,13.563978,131.968857
131.750412,13.654908,131.750412
131.293396,13.745668,131.293396
130.887482,13.836295,130.887482
130.504532,13.927063,130.504532
130.270767,14.017503,130.270767
130.083328,14.108015,130.083328
129.665771,14.198374,129.665771
129.482925,14.288671,129.482925
129.199112,14.378798,129.199112
129.034668,14.469062,129.034668
128.969406,14.55909,128.969406
128.795822,14.648933,128.795822
128.404343,14.738792,128.404343
128.113556,14.828583,128.113556
127.897964,14.918247,127.897964
127.724831,15.007782,127.724831
127.300705,15.097501,127.300705
127.21534,15.186748,127.21534
125.826645,15.276262,125.826645
125.328926,15.365646,125.328926
125.450226,15.454856,125.450226
125.910934,15.54399,125.910934
126.084732,15.633082,126.084732
125.926598,15.72213,125.926598
125.784737,15.811002,125.784737
125.604973,15.899891,125.604973
125.596008,15.988612,125.596008
125.031044,16.077272,125.031044
124.917091,16.165867,124.917091
124.407463,16.254473,124.407463
124.223198,16.342833,124.223198
123.657501,16.43129,123.657501
123.504158,16.51955,123.504158
123.374245,16.607744,123.374245
123.295319,16.695862,123.295319
122.927658,16.783991,122.927658
122.531982,16.871897,122.531982
122.280022,16.959806,122.280022
122.173004,17.047586,122.173004
121.964348,17.135427,121.964348
121.993652,17.222944,121.993652
121.480225,17.310696,121.480225
121.2687,17.398241,121.2687
119.997116,17.485659,119.997116
119.602005,17.573055,119.602005
119.922195,17.66029,119.922195
120.464844,17.747385,120.464844
120.803307,17.834618,120.803307
120.555481,17.92153,120.555481
120.317886,18.00868,120.317886
120.012047,18.095457,120.012047
119.79248,18.182209,119.79248
119.663872,18.269106,119.663872
119.508064,18.355669,119.508064
119.057037,18.442345,119.057037
118.836189,18.528818,118.836189
118.680183,18.615299,118.680183
118.391304,18.701698,118.391304
118.187874,18.78797,118.187874
117.786461,18.874123,117.786461
117.71006,18.960329,117.71006
117.162437,19.046535,117.162437
117.040329,19.132494,117.040329
116.918121,19.218451,116.918121
116.72245,19.304327,116.72245
116.371506,19.390066,116.371506
116.178032,19.475822,116.178032
115.468079,19.561415,115.468079
114.34903,19.647007,114.34903
114.102921,19.732515,114.102921
114.723427,19.817844,114.723427
115.355423,19.903202,115.355423
115.186264,19.988503,115.186264
114.950935,20.073744,114.950935
114.746582,20.158768,114.746582
114.424774,20.243889,114.424774
114.026505,20.328796,114.026505
113.607262,20.413813,113.607262
113.26107,20.498669,113.26107
113.225891,20.583395,113.225891
113.00412,20.66815,113.00412
112.658966,20.752806,112.658966
112.613976,20.837265,112.613976
112.310699,20.921824,112.310699
112.270035,21.006163,112.270035
112.137802,21.090561,112.137802
111.881004,21.174828,111.881004
111.614899,21.259007,111.614899
111.249054,21.343071,111.249054
110.831848,21.427263,110.831848
110.489639,21.511095,110.489639
110.382065,21.59502,110.382065
109.397087,21.678934,109.397087
108.463898,21.762695,108.463898
108.129211,21.846272,108.129211
108.520653,21.930088,108.520653
109.146355,22.013639,109.146355
109.020607,22.097155,109.020607
108.863708,22.18054,108.863708
108.587234,22.263926,108.587234
108.07476,22.347195,108.07476
107.902458,22.430441,107.902458
107.618057,22.513588,107.618057
107.200974,22.59672,107.200974
107.207039,22.679678,107.207039
106.799301,22.762583,106.799301
106.491158,22.845522,106.491158
106.370796,22.928249,106.370796
106.060814,23.01099,106.060814
105.846748,23.093563,105.846748
105.542938,23.176163,105.542938
105.449631,23.25872,105.449631
105.153069,23.341085,105.153069
104.953888,23.423584,104.953888
104.700783,23.505878,104.700783
104.78199,23.588104,104.78199
104.398079,23.670399,104.398079
103.147354,23.752449,103.147354
102.1231,23.834553,102.1231
102.580399,23.916561,102.580399
103.045731,23.998577,103.045731
103.384171,24.080385,103.384171
103.052094,24.162146,103.052094
102.571388,24.243917,102.571388
102.377205,24.325544,102.377205
102.289291,24.407124,102.289291
101.919991,24.488688,101.919991
101.547447,24.570105,101.547447
101.437645,24.651382,101.437645
101.149025,24.732733,101.149025
100.795303,24.814041,100.795303
100.606316,24.895098,100.606316
100.083176,24.97632,100.083176
99.883629,25.057346,99.883629
99.715889,25.13835,99.715889
99.268387,25.219267,99.268387
98.748291,25.300102,98.748291
98.790245,25.380983,98.790245
98.384819,25.461729,98.384819
98.09491,25.54233,98.09491
97.713783,25.622952,97.713783
97.299744,25.703552,97.299744
95.696487,25.783909,95.696487
95.066956,25.864344,95.066956
95.590294,25.944775,95.590294
96.305901,26.024979,96.305901
96.31144,26.105225,96.31144
96.236351,26.185392,96.236351
95.771523,26.265423,95.771523
95.47084,26.345577,95.47084
95.03434,26.42548,95.03434
94.405647,26.505396,94.405647
94.06691,26.58522,94.06691
93.835831,26.665018,93.835831
93.486015,26.744625,93.486015
93.282051,26.824333,93.282051
92.837845,26.903894,92.837845
92.457336,26.983484,92.457336
92.170464,27.062847,92.170464
91.884422,27.142242,91.884422
91.643219,27.221609,91.643219
91.314178,27.300852,91.314178
90.752243,27.379982,90.752243
90.426414,27.459084,90.426414
90.087059,27.538183,90.087059
89.493561,27.617167,89.493561
88.767601,27.696068,88.767601
87.546707,27.775078,87.546707
86.990601,27.853691,86.990601
87.613716,27.93256,87.613716
87.99192,28.011312,87.99192
87.608986,28.089891,87.608986
87.415207,28.168489,87.415207
87.105476,28.247017,87.105476
86.821991,28.325397,86.821991
86.396233,28.403803,86.396233
86.164131,28.482231,86.164131
85.522659,28.560522,85.522659
85.129021,28.638794,85.129021
84.943886,28.716873,84.943886
84.297989,28.794979,84.297989
83.803978,28.872936,83.803978
83.544434,28.951059,83.544434
83.087944,29.028919,83.087944
82.931656,29.106686,82.931656
82.396988,29.184484,82.396988
81.839661,29.262167,81.839661
81.83152,29.339815,81.83152
81.390358,29.417446,81.390358
81.114578,29.494972,81.114578
80.943771,29.57238,80.943771
79.609283,29.649799,79.609283
78.695534,29.727228,78.695534
77.99485,29.804415,77.99485
78.684639,29.881792,78.684639
78.860878,29.958977,78.860878
78.849754,30.03614,78.849754
78.479668,30.113131,78.479668
77.96566,30.190159,77.96566
77.95295,30.267199,77.95295
77.383522,30.343973,77.383522
77.019234,30.420872,77.019234
76.6278,30.497555,76.6278
75.997307,30.574265,75.997307
75.750847,30.651028,75.750847
75.088799,30.727453,75.088799
74.864662,30.803953,74.864662
74.765259,30.880518,74.765259
73.927261,30.956997,73.927261
73.937935,31.033287,73.937935
73.495262,31.109545,73.495262
72.869392,31.185848,72.869392
72.64328,31.262016,72.64328
72.327477,31.338064,72.327477
71.817024,31.414253,71.817024
71.401611,31.490101,71.401611
70.071869,31.566154,70.071869
68.779587,31.641979,68.779587
69.020584,31.717863,69.020584
69.253998,31.793507,69.253998
69.858841,31.869362,69.858841
69.558128,31.944984,69.558128
68.947914,32.020588,68.947914
68.771095,32.096119,68.771095
68.310394,32.17157,68.310394
67.76841,32.246983,67.76841
66.996696,32.32235,66.996696
66.519875,32.397747,66.519875
66.508629,32.472927,66.508629
65.732613,32.548176,65.732613
