"True Stress, MPa","True Strain, %","True Stress, MPa.1"
-10.498459,0.0,-10.498459
-10.753799,0.00037,-10.753799
-10.900321,0.000292,-10.900321
-10.869738,0.00037,-10.869738
-11.180526,0.00037,-11.180526
-11.319435,0.00037,-11.319435
-11.506811,0.00037,-11.506811
-11.594918,0.000286,-11.594918
-11.475113,0.000149,-11.475113
-11.468645,0.00037,-11.468645
-11.36517,0.000316,-11.36517
-11.476263,0.000265,-11.476263
-11.254507,0.00037,-11.254507
-11.079857,0.000316,-11.079857
-11.438355,0.000265,-11.438355
-11.420568,0.000331,-11.420568
-11.434919,0.000113,-11.434919
-11.628325,6e-06,-11.628325
-11.618324,0.000155,-11.618324
4.936638,0.054973,4.936638
36.728783,0.158822,36.728783
62.783287,0.263347,62.783287
84.058685,0.367609,84.058685
100.934601,0.47124,100.934601
113.404915,0.574796,113.404915
123.213936,0.678243,123.213936
131.188477,0.781538,131.188477
138.149612,0.884836,138.149612
143.53978,0.987888,143.53978
148.330429,1.090938,148.330429
152.06752,1.193864,152.06752
155.726959,1.296646,155.726959
158.628555,1.399363,158.628555
161.226227,1.501866,161.226227
163.384674,1.604464,163.384674
165.395279,1.706693,165.395279
167.352463,1.808993,167.352463
168.804642,1.911122,168.804642
170.406189,2.013202,170.406189
171.590698,2.115198,171.590698
172.573792,2.21711,172.573792
173.4422,2.318774,173.4422
174.321075,2.420453,174.321075
174.960159,2.521974,174.960159
175.724731,2.623498,175.724731
176.203568,2.724883,176.203568
176.735718,2.826191,176.735718
177.088013,2.927365,177.088013
177.349594,3.028409,177.349594
177.902023,3.12933,177.902023
178.139069,3.230183,178.139069
178.481918,3.3309,178.481918
178.792435,3.431452,178.792435
179.124039,3.532075,179.124039
179.014694,3.63244,179.014694
179.11293,3.732692,179.11293
179.450119,3.832844,179.450119
179.645828,3.932991,179.645828
179.951233,4.033028,179.951233
179.988739,4.132983,179.988739
180.380417,4.232812,180.380417
180.742737,4.332493,180.742737
180.932938,4.432212,180.932938
181.221771,4.531598,181.221771
181.207703,4.631025,181.207703
181.5793,4.730509,181.5793
181.387772,4.829798,181.387772
181.607727,4.928863,181.607727
181.847488,5.027975,181.847488
181.734299,5.126892,181.734299
181.803101,5.225755,181.803101
181.894791,5.324423,181.894791
181.786148,5.423172,181.786148
