"True Stress, MPa","True Strain, %","True Stress, MPa.1",Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
137.746399,2.981672,137.746399,,,,
137.826324,3.001386,137.826324,,,,
137.904968,3.020762,137.904968,,,,
137.873978,3.038838,137.873978,,,,
137.896088,3.059409,137.896088,,,,
138.165115,3.0792,138.165115,,,,
138.231308,3.097497,138.231308,,,,
138.14537,3.118171,138.14537,,,,
138.492752,3.136137,138.492752,,,,
138.509186,3.156711,138.509186,,,,
138.491211,3.175918,138.491211,,,,
138.443634,3.194971,138.443634,,,,
138.641312,3.213062,138.641312,,,,
138.489914,3.234601,138.489914,,,,
138.822205,3.252327,138.822205,,,,
138.831024,3.272992,138.831024,,,,
138.924377,3.292268,138.924377,,,,
138.586441,3.310469,138.586441,,,,
138.675446,3.330903,138.675446,,,,
139.032715,3.350179,139.032715,,,,
138.840546,3.368969,138.840546,,,,
138.920639,3.388964,138.920639,,,,
139.005005,3.407585,139.005005,,,,
139.102783,3.42725,139.102783,,,,
139.223862,3.446094,139.223862,,,,
139.406326,3.466155,139.406326,,,,
139.20787,3.484542,139.20787,,,,
139.349197,3.505229,139.349197,,,,
139.388184,3.523724,139.388184,,,,
139.382614,3.542791,139.382614,,,,
139.355255,3.562453,139.355255,,,,
139.483231,3.58011,139.483231,,,,
139.695374,3.601466,139.695374,,,,
139.893295,3.619702,139.893295,,,,
139.580246,3.639107,139.580246,,,,
139.650711,3.659819,139.650711,,,,
139.746704,3.677378,139.746704,,,,
140.026077,3.697864,140.026077,,,,
140.049057,3.717414,140.049057,,,,
139.869598,3.734814,139.869598,,,,
139.925217,3.755621,139.925217,,,,
140.126175,3.774667,140.126175,,,,
140.022842,3.793216,140.022842,,,,
140.09639,3.813483,140.09639,,,,
140.1539,3.832472,140.1539,,,,
140.333099,3.851583,140.333099,,,,
140.312683,3.870588,140.312683,,,,
140.418182,3.889842,140.418182,,,,
140.268814,3.90853,140.268814,,,,
140.47818,3.928647,140.47818,,,,
140.428741,3.947729,140.428741,,,,
140.460938,3.966303,140.460938,,,,
140.413086,3.986065,140.413086,,,,
140.637634,4.004139,140.637634,,,,
140.622284,4.02457,140.622284,,,,
140.482483,4.043656,140.482483,,,,
140.551834,4.062212,140.551834,,,,
140.445969,4.082722,140.445969,,,,
140.736038,4.100859,140.736038,,,,
140.575226,4.119668,140.575226,,,,
140.478058,4.139663,140.478058,,,,
140.723633,4.158762,140.723633,,,,
140.715973,4.177262,140.715973,,,,
140.692123,4.197394,140.692123,,,,
140.781647,4.215819,140.781647,,,,
140.849258,4.2356,140.849258,,,,
140.906921,4.255058,140.906921,,,,
140.912964,4.273141,140.912964,,,,
140.882751,4.293722,140.882751,,,,
140.90686,4.311924,140.90686,,,,
140.947266,4.331423,140.947266,,,,
141.005615,4.351342,141.005615,,,,
141.037888,4.368917,141.037888,,,,
141.201813,4.389158,141.201813,,,,
141.305771,4.407993,141.305771,,,,
141.021042,4.426926,141.021042,,,,
141.030563,4.445948,141.030563,,,,
141.239426,4.466424,141.239426,,,,
141.351944,4.484252,141.351944,,,,
141.266068,4.503685,141.266068,,,,
141.185226,4.522691,141.185226,,,,
141.300858,4.540533,141.300858,,,,
141.302353,4.561183,141.302353,,,,
141.312897,4.579519,141.312897,,,,
141.540329,4.598579,141.540329,,,,
141.511795,4.618353,141.511795,,,,
141.38472,4.636746,141.38472,,,,
141.722885,4.65698,141.722885,,,,
141.722107,4.675741,141.722107,,,,
141.587158,4.693862,141.587158,,,,
141.521515,4.714026,141.521515,,,,
141.693787,4.732334,141.693787,,,,
141.785507,4.751934,141.785507,,,,
141.839584,4.770984,141.839584,,,,
141.845795,4.789463,141.845795,,,,
141.92775,4.808813,141.92775,,,,
141.862381,4.827841,141.862381,,,,
141.787735,4.847104,141.787735,,,,
141.859299,4.865637,141.859299,,,,
141.764862,4.885437,141.764862,,,,
141.922562,4.903339,141.922562,,,,
141.795532,4.922985,141.795532,,,,
142.07457,4.941844,142.07457,,,,
141.679993,4.959894,141.679993,,,,
142.033539,4.980413,142.033539,,,,
142.10849,4.99933,142.10849,,,,
141.837265,5.017244,141.837265,,,,
141.97789,5.037786,141.97789,,,,
142.331985,5.05634,142.331985,,,,
142.205612,5.074811,142.205612,,,,
142.280457,5.094537,142.280457,,,,
142.111893,5.112458,142.111893,,,,
142.603729,5.132119,142.603729,,,,
142.433243,5.151301,142.433243,,,,
142.131073,5.169438,142.131073,,,,
142.210022,5.190118,142.210022,,,,
142.520218,5.207999,142.520218,,,,
142.360474,5.226635,142.360474,,,,
142.450333,5.24702,142.450333,,,,
142.431778,5.265071,142.431778,,,,
142.448776,5.284138,142.448776,,,,
142.504898,5.303234,142.504898,,,,
142.449173,5.320801,142.449173,,,,
142.558197,5.341393,142.558197,,,,
142.498123,5.360332,142.498123,,,,
142.543518,5.378803,142.543518,,,,
142.654083,5.399,142.654083,,,,
142.485428,5.417238,142.485428,,,,
142.591858,5.435936,142.591858,,,,
142.658798,5.455546,142.658798,,,,
142.552628,5.472815,142.552628,,,,
142.639008,5.493184,142.639008,,,,
142.573013,5.511665,142.573013,,,,
142.692505,5.529748,142.692505,,,,
142.61969,5.549655,142.61969,,,,
142.704025,5.568125,142.704025,,,,
142.638931,5.586705,142.638931,,,,
142.575562,5.606713,142.575562,,,,
142.66832,5.624464,142.66832,,,,
142.821365,5.643968,142.821365,,,,
142.616989,5.662951,142.616989,,,,
142.668182,5.681536,142.668182,,,,
142.694489,5.700354,142.694489,,,,
142.745316,5.720271,142.745316,,,,
142.991364,5.738373,142.991364,,,,
142.931564,5.756854,142.931564,,,,
142.824173,5.7764,142.824173,,,,
142.880386,5.793681,142.880386,,,,
142.914612,5.814086,142.914612,,,,
142.966202,5.832778,142.966202,,,,
142.753723,5.850949,142.753723,,,,
142.616486,5.870904,142.616486,,,,
142.878555,5.889743,142.878555,,,,
142.725861,5.90751,142.725861,,,,
143.037643,5.927589,143.037643,,,,
142.915634,5.945776,142.915634,,,,
143.003418,5.965623,143.003418,,,,
142.91925,5.983927,142.91925,,,,
142.739502,6.001958,142.739502,,,,
142.818146,6.021704,142.818146,,,,
143.015701,6.040009,143.015701,,,,
143.129333,6.059388,143.129333,,,,
142.96669,6.077742,142.96669,,,,
142.858826,6.095914,142.858826,,,,
142.997681,6.115159,142.997681,,,,
143.091125,6.134388,143.091125,,,,
143.172668,6.153424,143.172668,,,,
142.980484,6.171402,142.980484,,,,
142.998093,6.191092,142.998093,,,,
