"True Stress, MPa","True Strain, %","True Stress, MPa.1",Unnamed: 3,Unnamed: 4
-3.257196,0.0,-3.257196,,
-2.854517,0.0,-2.854517,,185.367065
-2.971544,0.0,-2.971544,,
-2.978562,0.0,-2.978562,,
-2.88398,0.0,-2.88398,,
-3.036403,0.000376,-3.036403,,
-3.21936,0.0,-3.21936,,
-3.35566,0.0,-3.35566,,
-3.219959,0.0,-3.219959,,
-3.175148,0.0,-3.175148,,
-3.357041,0.0,-3.357041,,
-3.297726,0.0,-3.297726,,
-3.259299,0.0,-3.259299,,
-3.083341,0.0,-3.083341,,
-3.344275,0.0,-3.344275,,
-3.021387,0.0,-3.021387,,
-3.256702,0.000411,-3.256702,,
-3.580938,0.0,-3.580938,,
-3.272343,0.0,-3.272343,,
-3.472142,0.000566,-3.472142,,
19.926468,0.064394,19.926468,,
53.975986,0.167884,53.975986,,
79.469238,0.272498,79.469238,,
98.072845,0.376552,98.072845,,
111.179001,0.480177,111.179001,,
121.11348,0.583665,121.11348,,
129.181976,0.687241,129.181976,,
135.601624,0.790379,135.601624,,
141.118073,0.89347,141.118073,,
145.877411,0.996655,145.877411,,
149.740112,1.09961,149.740112,,
153.234344,1.202524,153.234344,,
155.899704,1.30535,155.899704,,
158.484283,1.408094,158.484283,,
160.893372,1.510615,160.893372,,
162.686142,1.613095,162.686142,,
164.325699,1.715453,164.325699,,
165.938629,1.817882,165.938629,,
167.417145,1.920089,167.417145,,
168.281219,2.021935,168.281219,,
169.296906,2.124138,169.296906,,
170.067398,2.225846,170.067398,,
171.001114,2.327701,171.001114,,
171.875885,2.429278,171.875885,,
172.683395,2.530787,172.683395,,
173.095688,2.632228,173.095688,,
173.662766,2.733653,173.662766,,
174.023224,2.834685,174.023224,,
174.6828,2.936009,174.6828,,
174.781769,3.036959,174.781769,,
174.931519,3.137859,174.931519,,
175.369766,3.23879,175.369766,,
175.729691,3.339492,175.729691,,
176.146744,3.440174,176.146744,,
176.265717,3.540553,176.265717,,
176.63356,3.641016,176.63356,,
176.983307,3.741469,176.983307,,
177.00679,3.841598,177.00679,,
177.313736,3.941884,177.313736,,
177.419601,4.041687,177.419601,,
177.547104,4.141859,177.547104,,
177.897751,4.241656,177.897751,,
178.036957,4.341349,178.036957,,
178.087494,4.441124,178.087494,,
178.116241,4.540658,178.116241,,
178.430206,4.639973,178.430206,,
178.414703,4.739281,178.414703,,
178.601242,4.838563,178.601242,,
178.491196,4.937685,178.491196,,
178.92392,5.036579,178.92392,,
179.075531,5.135579,179.075531,,
179.090042,5.234339,179.090042,,
179.252625,5.333098,179.252625,,
179.227509,5.431685,179.227509,,
179.393005,5.530256,179.393005,,
179.547089,5.628858,179.547089,,
179.46019,5.727155,179.46019,,
179.658173,5.825406,179.658173,,
179.814178,5.923528,179.814178,,
179.811066,6.021524,179.811066,,
179.75824,6.119644,179.75824,,
179.836121,6.217449,179.836121,,
179.842087,6.315169,179.842087,,
180.058975,6.412945,180.058975,,
180.158234,6.510503,180.158234,,
180.145416,6.607854,180.145416,,
180.372086,6.705328,180.372086,,
180.423615,6.802556,180.423615,,
180.493134,6.899818,180.493134,,
180.563629,6.996747,180.563629,,
180.487396,7.093825,180.487396,,
180.610214,7.190794,180.610214,,
180.5569,7.287651,180.5569,,
180.76413,7.384215,180.76413,,
180.854385,7.481052,180.854385,,
180.700867,7.577657,180.700867,,
180.792984,7.673975,180.792984,,
181.136063,7.770482,181.136063,,
181.079987,7.866724,181.079987,,
181.255508,7.96298,181.255508,,
181.162704,8.058998,181.162704,,
181.080872,8.154992,181.080872,,
181.211121,8.250893,181.211121,,
181.227097,8.346751,181.227097,,
181.401932,8.442415,181.401932,,
181.383362,8.537904,181.383362,,
181.540222,8.633592,181.540222,,
181.390549,8.729008,181.390549,,
181.430069,8.82443,181.430069,,
181.541534,8.919693,181.541534,,
181.489349,9.014831,181.489349,,
181.608246,9.1099,181.608246,,
181.635483,9.204939,181.635483,,
181.887909,9.299709,181.887909,,
181.712067,9.394704,181.712067,,
181.917816,9.489347,181.917816,,
181.860092,9.584107,181.860092,,
182.100983,9.678623,182.100983,,
182.091888,9.77302,182.091888,,
182.382736,9.867286,182.382736,,
182.220917,9.961683,182.220917,,
182.4655,10.05576,182.4655,,
182.134781,10.149905,182.134781,,
182.287643,10.243773,182.287643,,
182.083313,10.33772,182.083313,,
182.235535,10.431546,182.235535,,
182.270889,10.525306,182.270889,,
182.350418,10.618951,182.350418,,
182.400009,10.712507,182.400009,,
182.608704,10.80594,182.608704,,
182.281769,10.89943,182.281769,,
182.237488,10.992704,182.237488,,
182.396194,11.085876,182.396194,,
182.605011,11.1792,182.605011,,
182.382492,11.272076,182.382492,,
182.57959,11.3652,182.57959,,
182.756256,11.458019,182.756256,,
182.72316,11.550858,182.72316,,
182.774857,11.643475,182.774857,,
182.739853,11.736264,182.739853,,
182.874023,11.828676,182.874023,,
182.719925,11.921121,182.719925,,
182.633743,12.013494,182.633743,,
182.740967,12.105588,182.740967,,
182.837418,12.19776,182.837418,,
182.93486,12.289958,182.93486,,
182.995987,12.381871,182.995987,,
182.940491,12.473863,182.940491,,
183.104065,12.565781,183.104065,,
183.040039,12.657461,183.040039,,
182.947586,12.749152,182.947586,,
183.261124,12.840681,183.261124,,
183.015213,12.932321,183.015213,,
182.982132,13.023724,182.982132,,
183.061981,13.115106,183.061981,,
183.050308,13.206384,183.050308,,
183.001144,13.297606,183.001144,,
183.011246,13.388685,183.011246,,
183.053574,13.47974,183.053574,,
183.243988,13.570599,183.243988,,
183.081726,13.661498,183.081726,,
183.420624,13.752311,183.420624,,
183.57811,13.842916,183.57811,,
183.429428,13.933434,183.429428,,
183.629456,14.023984,183.629456,,
183.587738,14.114431,183.587738,,
183.366745,14.204803,183.366745,,
183.471771,14.295096,183.471771,,
183.338852,14.385139,183.338852,,
183.669998,14.475261,183.669998,,
183.563675,14.565322,183.563675,,
183.62471,14.655333,183.62471,,
183.620575,14.745212,183.620575,,
183.608231,14.834963,183.608231,,
183.711411,14.924701,183.711411,,
183.823029,15.014286,183.823029,,
183.55867,15.103823,183.55867,,
183.832901,15.193387,183.832901,,
184.005295,15.282766,184.005295,,
184.244095,15.37193,184.244095,,
184.040924,15.461169,184.040924,,
184.112366,15.550365,184.112366,,
184.155579,15.639403,184.155579,,
184.135376,15.728457,184.135376,,
184.12471,15.81723,184.12471,,
183.975677,15.906173,183.975677,,
184.31395,15.994878,184.31395,,
183.845001,16.083546,183.845001,,
184.080658,16.17214,184.080658,,
184.110794,16.260519,184.110794,,
184.229126,16.349119,184.229126,,
184.181854,16.437511,184.181854,,
184.541321,16.525831,184.541321,,
184.637848,16.613869,184.637848,,
184.790817,16.702229,184.790817,,
184.305954,16.790077,184.305954,,
184.667419,16.878134,184.667419,,
184.669785,16.966059,184.669785,,
184.312256,17.053835,184.312256,,
184.583939,17.141539,184.583939,,
184.520752,17.229187,184.520752,,
184.502045,17.316656,184.502045,,
184.641235,17.40423,184.641235,,
184.480591,17.491739,184.480591,,
184.560349,17.579031,184.560349,,
184.698105,17.666319,184.698105,,
184.871185,17.753578,184.871185,,
184.903381,17.840631,184.903381,,
184.831116,17.927843,184.831116,,
184.761765,18.014809,184.761765,,
184.877823,18.101818,184.877823,,
184.863968,18.18857,184.863968,,
184.836655,18.275408,184.836655,,
184.804718,18.362034,184.804718,,
