"True Stress, MPa","True Strain, %"
-9.767463,0.0
-19.436794,9.9e-05
-16.430569,8.7e-05
-17.583464,0.000189
-17.281881,0.000134
-16.891241,0.00011
-25.920971,0.000157
-22.542461,0.000188
-23.681219,6.9e-05
-22.845892,0.000183
-9.184149,0.035768
17.279005,0.135562
50.059101,0.235554
72.011147,0.335321
89.056183,0.434844
101.855881,0.534249
103.458923,0.633772
115.450729,0.732873
119.621017,0.832113
124.829384,0.931153
129.257416,1.030305
125.368149,1.129087
133.399704,1.228192
133.968445,1.32676
136.335571,1.425478
138.995331,1.523898
133.104019,1.622499
139.588028,1.720611
138.910141,1.819093
140.408859,1.916984
142.049286,2.015267
135.353439,2.112999
141.434952,2.211032
140.233765,2.309008
141.377029,2.406467
142.328049,2.504173
135.251831,2.601644
141.105209,2.698777
139.903854,2.796359
140.594391,2.893353
141.679108,2.990662
134.353485,3.087419
140.174423,3.184433
138.452377,3.281391
139.171005,3.378013
139.818436,3.474788
132.357605,3.571218
138.089035,3.667541
136.642456,3.76383
137.449402,3.86016
138.442368,3.956323
130.945541,4.052435
136.961151,4.148385
135.480148,4.244334
135.9935,4.340106
136.962479,4.435757
129.385361,4.531446
135.127579,4.626933
133.660583,4.722277
134.136795,4.817677
135.127426,4.912939
127.405174,5.008089
133.172318,5.103281
131.62532,5.198299
132.310547,5.292973
133.085037,5.388206
125.149597,5.482723
131.087204,5.577222
130.012268,5.671739
130.593262,5.766153
131.593765,5.86055
123.779854,5.954754
129.800339,6.049029
128.080414,6.142971
128.709808,6.237027
129.855408,6.330999
121.757179,6.424719
127.734909,6.518513
126.123543,6.612062
127.00293,6.705659
127.991989,6.798966
119.588272,6.89259
126.022934,6.985816
124.466606,7.079068
125.14537,7.172211
126.128952,7.265322
118.426186,7.358204
124.261055,7.450972
122.914886,7.543779
123.578514,7.636484
124.633438,7.729134
116.409035,7.821535
122.558929,7.914301
120.930496,8.006309
121.908134,8.098743
123.0411,8.190989
114.650558,8.282915
121.0504,8.375031
119.608147,8.466964
120.489746,8.558799
121.614151,8.650439
113.591156,8.742126
120.024925,8.833719
118.353432,8.925255
119.246941,9.016655
120.228683,9.107896
111.497696,9.199248
117.677261,9.29057
116.010559,9.381301
117.0578,9.472688
118.384605,9.563216
109.897217,9.654348
116.231659,9.744911
114.811607,9.835588
115.789772,9.926266
117.024208,10.016704
108.552467,10.107217
115.112595,10.197567
113.641312,10.287705
114.213455,10.377979
115.311012,10.467972
106.794395,10.558141
113.214706,10.648016
111.260925,10.738034
112.212257,10.827847
113.426758,10.917425
104.583771,11.007239
111.176323,11.096689
109.375542,11.186066
110.263519,11.275434
111.80719,11.364657
103.065247,11.453828
109.396233,11.542997
107.808228,11.632053
108.541267,11.721164
109.62117,11.81012
100.625824,11.898814
107.255463,11.987422
105.518051,12.076172
106.441956,12.165066
107.669319,12.253351
98.592979,12.341599
105.355598,12.430312
103.79245,12.518354
104.705734,12.606804
106.130905,12.694551
97.417183,12.782813
104.340492,12.870598
102.459587,12.958591
103.519135,13.046565
104.868195,13.133921
95.731934,13.221916
102.723885,13.309369
101.026665,13.397143
101.907089,13.484298
103.212563,13.57181
94.163521,13.659121
100.960182,13.745948
99.661392,13.833316
100.389618,13.920235
101.672966,14.007293
92.792664,14.093949
99.935966,14.180911
98.206161,14.267744
99.100006,14.354447
100.419838,14.441008
91.342049,14.527343
98.619331,14.61401
96.635338,14.700118
97.588898,14.786527
98.922035,14.872577
89.650345,14.958955
97.029594,15.044736
95.161568,15.131166
96.301697,15.216857
97.907516,15.302561
88.225777,15.388461
95.577286,15.474299
94.15992,15.559671
95.061935,15.645143
96.301491,15.730874
87.002052,15.816323
94.370041,15.901832
92.922401,15.987
93.759666,16.071957
95.207199,16.157318
85.588127,16.242338
92.980598,16.327206
91.342072,16.412024
92.263069,16.496721
93.757874,16.581495
84.243103,16.666464
91.636627,16.750917
89.588646,16.83547
90.813347,16.920042
92.062401,17.004257
82.665405,17.0888
89.892181,17.172808
88.152832,17.257242
89.157806,17.341141
90.604271,17.425131
80.491783,17.509344
88.039703,17.592922
86.043297,17.677067
86.944443,17.760586
88.670959,17.844372
78.842377,17.928284
86.534531,18.011438
85.065796,18.095028
86.399017,18.178474
87.905792,18.261789
77.809036,18.345148
85.578545,18.428394
83.656624,18.511507
84.60981,18.594519
86.143845,18.677456
75.704018,18.76045
83.606262,18.843298
81.654999,18.92609
83.112648,19.008772
84.795189,19.091377
74.216423,19.174078
82.328598,19.256666
80.477676,19.339066
81.795341,19.421471
83.486954,19.50367
73.225227,19.586069
81.754654,19.668278
79.542595,19.750116
80.942284,19.832176
82.192055,19.914162
71.756889,19.996218
79.537148,20.078062
77.713066,20.159805
78.853279,20.241432
80.619247,20.323055
69.969383,20.404829
77.776062,20.48637
75.932022,20.567747
77.116203,20.649025
78.837486,20.73033
68.283096,20.811579
76.496849,20.892803
74.421936,20.973858
75.873367,21.054924
77.589287,21.135956
66.743408,21.216774
75.168877,21.297646
72.608154,21.378475
73.997879,21.459139
75.561653,21.539898
64.848877,21.62043
73.259537,21.700983
71.28109,21.781303
72.416794,21.861967
74.021927,21.942177
63.34885,22.022469
71.879936,22.1028
69.680809,22.182638
71.209267,22.262653
72.923584,22.342821
62.206577,22.422796
70.492805,22.502531
68.158081,22.582474
69.461212,22.662321
71.316864,22.741751
60.543736,22.821547
69.315742,22.90119
67.131645,22.980566
68.68866,23.060055
70.568359,23.139338
59.694283,23.218704
68.663437,23.297878
65.850967,23.377312
67.235054,23.45632
68.756027,23.535294
58.189564,23.614264
67.033127,23.693253
64.558479,23.772015
66.061775,23.850767
67.896614,23.929651
56.469391,24.008223
65.585342,24.087082
63.060879,24.165562
64.463203,24.244171
66.144516,24.322456
55.02977,24.40102
64.467079,24.479172
62.125107,24.557428
63.329559,24.63558
65.083031,24.7139
53.341484,24.791716
63.044376,24.86993
60.675449,24.947716
62.251499,25.025938
63.878712,25.103451
52.494156,25.181494
61.816196,25.259087
59.61676,25.336823
61.102318,25.414236
62.600368,25.491823
50.824646,25.569345
60.715683,25.646761
58.072388,25.723959
59.397003,25.801487
61.182461,25.87845
49.388096,25.955673
58.840187,26.032881
56.472637,26.109852
57.698502,26.186522
59.400963,26.263842
47.302986,26.340731
57.135246,26.417587
54.61713,26.494066
55.9678,26.570988
57.801762,26.647764
45.908901,26.723986
56.212795,26.800589
53.479664,26.877092
55.081013,26.953585
56.880512,27.029871
44.755493,27.106142
55.214699,27.182285
52.55719,27.258713
54.080982,27.334715
55.857365,27.410883
43.668728,27.486799
54.270977,27.562786
51.704163,27.638567
53.069839,27.714258
55.201397,27.790298
42.806824,27.865841
53.367863,27.941454
50.633583,28.017181
51.959431,28.092627
53.821999,28.168127
41.511982,28.243521
52.27594,28.31888
49.531754,28.394173
51.073433,28.469521
52.770012,28.544436
40.170761,28.619762
50.970322,28.694973
47.887894,28.769686
49.457619,28.845076
51.267765,28.919823
38.695572,28.994452
49.668064,29.069502
46.705708,29.144194
48.343685,29.218813
49.922695,29.293324
37.372101,29.368053
48.815346,29.442577
46.11808,29.517088
47.791027,29.591646
49.643288,29.666018
36.429134,29.740137
48.155514,29.814398
45.018604,29.888577
46.841766,29.962612
48.470779,30.036785
35.41082,30.110712
46.83007,30.184711
44.052261,30.258636
45.797928,30.332676
47.678219,30.406546
34.376545,30.480101
46.166416,30.553812
43.240173,30.627462
44.738541,30.701082
46.50124,30.77449
33.204453,30.848269
44.940979,30.921391
42.08585,30.99468
43.698006,31.068172
45.513355,31.141512
31.980343,31.214624
43.761482,31.287771
40.967644,31.361193
42.762058,31.433819
44.535202,31.506987
30.646288,31.579845
42.805668,31.652721
39.552753,31.725748
41.253925,31.798468
43.079151,31.871332
29.114965,31.943977
41.415852,32.01667
38.470554,32.089077
40.137344,32.161556
42.438095,32.233952
27.996462,32.306499
40.522156,32.378811
37.517876,32.451099
39.326645,32.523693
41.099922,32.5956
26.988392,32.668056
39.646984,32.739914
36.424892,32.811768
38.035282,32.884098
40.133625,32.955757
25.641798,33.02776
38.480881,33.099613
35.221172,33.171402
36.783581,33.242924
38.533669,33.314934
24.016171,33.386459
37.327148,33.458115
34.20414,33.529697
35.904434,33.601143
37.786129,33.672665
22.674807,33.743877
35.734097,33.815475
32.28648,33.886578
33.97224,33.957954
36.001938,34.029068
20.842731,34.100204
34.179306,34.171162
30.987505,34.242207
32.631168,34.313061
34.36927,34.383926
19.156387,34.454994
32.902988,34.526104
29.799274,34.596798
31.436934,34.667458
33.425594,34.737877
17.76725,34.808598
31.766996,34.878971
28.654015,34.950016
30.036142,35.02
31.934944,35.091015
15.882875,35.161015
30.420815,35.23156
27.00597,35.301716
29.02265,35.371925
30.858459,35.442204
15.046328,35.51218
29.853487,35.582314
26.669565,35.652382
28.127502,35.722401
29.977463,35.792278
13.920469,35.862267
29.173328,35.932159
25.524725,36.001797
27.194078,36.071358
28.709648,36.14138
12.550745,36.210831
27.522507,36.28014
24.121284,36.350105
25.771421,36.419487
27.300343,36.488903
10.688096,36.558491
26.105345,36.627399
22.550699,36.697121
24.225876,36.766285
26.020699,36.835537
9.006414,36.904797
25.241631,36.973804
21.434782,37.042847
22.889507,37.111752
24.982666,37.180634
7.838834,37.24979
24.565565,37.318623
20.30229,37.38728
22.132318,37.456345
23.716978,37.525059
6.418869,37.593739
23.271141,37.662277
19.227371,37.730904
20.991493,37.79961
22.71093,37.867729
5.356472,37.936611
22.015921,38.004837
17.971935,38.073368
19.429451,38.141254
21.46929,38.209705
3.610705,38.277962
20.85479,38.346088
16.530434,38.414295
18.01931,38.481922
20.084618,38.550274
1.929265,38.618462
19.733685,38.686375
15.099146,38.754238
16.836294,38.822002
18.847984,38.889854
0.597459,38.957706
18.509163,39.025223
13.673649,39.09306
15.441932,39.160698
17.851889,39.228088
-1.125655,39.295368
17.633163,39.36314
12.249991,39.430798
13.824862,39.498207
15.746669,39.565559
-2.629714,39.632595
15.777216,39.700001
10.764805,39.767151
12.270637,39.834236
13.794985,39.901421
-4.880381,39.968643
12.411593,40.03548
6.866811,40.102562
7.724992,40.169498
8.314659,40.23634
0.899654,40.303024
2.185378,40.370064
-0.335428,40.436905
-0.554921,40.503204
-0.681579,40.570156
-0.787149,40.636913
-0.362767,40.70332
-0.757064,40.769878
-0.590415,40.836235
-0.509744,40.902851
-0.716787,40.969269
-0.810545,41.035656
-0.534223,41.102043
-0.616045,41.168167
-0.971539,41.234406
