"True Stress, MPa","True Strain, %"
-26.028179,0.0
-26.64473,2.6e-05
-26.653074,1.8e-05
-26.382832,7.6e-05
-26.130001,3e-06
-25.432871,8e-06
-24.962902,4.2e-05
-24.359938,6.9e-05
-24.140089,5.8e-05
-23.598871,1.6e-05
-23.127234,1.3e-05
-22.972284,0.000212
-22.655212,0.000129
-22.197958,0.000171
-21.843824,9.5e-05
-21.267475,0.000192
-21.229856,0.000135
-20.844906,0.000654
1.76684,0.070353
35.337627,0.173188
62.607754,0.277693
83.824059,0.38186
98.814636,0.485469
109.566299,0.589102
108.242409,0.692438
107.36042,0.795546
113.181152,0.898852
125.076393,1.002097
126.794411,1.105144
124.862503,1.208046
126.179131,1.310792
128.410141,1.413604
130.584808,1.516183
132.831528,1.618691
134.378677,1.721006
136.193619,1.823385
137.742905,1.925514
139.110397,2.027539
140.483414,2.129385
141.59996,2.231331
142.693542,2.333023
144.086182,2.434604
145.039124,2.536143
146.019119,2.637717
146.826645,2.739024
147.637451,2.840111
148.370026,2.94128
149.163956,3.042244
149.772354,3.143327
150.66745,3.244111
151.24942,3.344762
151.819168,3.445605
152.507858,3.546072
138.890274,3.646356
136.452957,3.746541
134.366028,3.846811
144.185074,3.947073
137.583542,4.046966
133.596268,4.147018
132.463715,4.246812
132.432297,4.346376
132.689682,4.446086
133.006607,4.545718
133.729675,4.645095
134.213455,4.744401
134.721176,4.843678
135.366425,4.942841
135.990448,5.041915
136.945175,5.140907
137.469086,5.239772
138.262039,5.338516
139.055145,5.437115
139.202866,5.535697
139.677231,5.634019
140.165726,5.73244
141.094894,5.830635
141.585983,5.928837
142.098999,6.026759
142.416336,6.124849
142.652802,6.222618
143.448624,6.320273
144.13353,6.418006
126.516716,6.51554
127.734657,6.612898
123.314438,6.710366
135.589813,6.807852
125.769073,6.90491
122.505287,7.002102
122.0672,7.099069
121.660133,7.195973
122.317894,7.292975
122.824158,7.389656
123.458031,7.486248
124.192963,7.582851
124.739403,7.679226
125.455132,7.775691
126.257431,7.871846
127.040627,7.968051
127.581078,8.064045
128.558624,8.1601
128.959137,8.256055
129.693054,8.351733
130.252563,8.447486
130.97348,8.54312
131.492691,8.638638
132.062698,8.733962
132.78476,8.829492
133.417679,8.924781
133.816483,9.019913
134.43808,9.114819
135.162262,9.210031
114.088707,9.304664
117.430328,9.399558
111.493233,9.494245
127.068794,9.588949
114.065643,9.683499
111.958824,9.777986
111.00528,9.872263
111.407608,9.966585
111.724762,10.060793
112.372932,10.154724
112.859871,10.248881
113.948685,10.342797
114.450417,10.436634
115.345955,10.530395
115.97258,10.623958
116.925873,10.717625
117.761345,10.811228
118.612419,10.904572
119.253944,10.997778
120.024223,11.091122
120.948372,11.184121
121.570282,11.277253
122.44828,11.370186
122.836594,11.462991
123.444168,11.555778
124.100006,11.6484
124.797958,11.741029
125.252731,11.83344
125.866081,11.925982
100.923927,12.018095
106.397476,12.110428
99.765526,12.202645
116.881714,12.294815
102.335213,12.386908
100.452118,12.478832
100.344841,12.570745
100.718987,12.662505
101.359184,12.754189
102.04512,12.845732
103.083557,12.937301
103.835442,13.02867
104.657951,13.120109
105.511192,13.211346
106.224205,13.302468
107.057953,13.393622
107.664764,13.484426
108.744461,13.57544
109.590782,13.666214
110.246231,13.75693
111.095795,13.847734
111.619843,13.938237
112.220078,14.028781
113.056969,14.119273
113.557655,14.2096
114.321991,14.299994
114.681114,14.3901
115.448723,14.480273
112.403587,14.570219
90.281822,14.659971
93.93795,14.749935
93.694946,14.83979
99.380318,14.929552
89.772308,15.01917
88.639938,15.108723
88.556786,15.198143
89.013115,15.28746
89.596069,15.376738
90.522476,15.466037
91.028793,15.555169
92.155952,15.64422
92.870628,15.733255
93.566429,15.822124
94.652367,15.910974
95.489647,15.999739
96.252342,16.088497
96.904922,16.177006
97.640938,16.265589
98.629433,16.353935
99.184837,16.442299
99.903587,16.530666
100.778694,16.618864
101.451355,16.706856
102.157097,16.794996
102.864792,16.882832
103.433449,16.970762
103.871231,17.058529
93.798073,17.146084
82.232201,17.233849
79.751564,17.32131
85.203392,17.408966
83.055107,17.496315
76.680214,17.583738
75.811668,17.671049
75.977852,17.758219
76.528618,17.845463
77.341888,17.932451
78.277,18.019373
79.225136,18.106283
79.931587,18.193035
80.997459,18.279896
81.733116,18.366501
82.759644,18.453056
83.410286,18.539602
84.478714,18.626026
85.089729,18.712337
86.101028,18.798582
87.026222,18.884968
88.004463,18.97101
88.738213,19.057138
89.341667,19.143152
90.34095,19.229046
90.90184,19.314884
91.594063,19.400839
92.197678,19.486385
92.870934,19.57206
76.88044,19.657658
71.529388,19.743042
66.32148,19.828335
76.02372,19.913858
69.140938,19.999207
64.981323,20.08429
64.934921,20.169479
64.979492,20.254446
65.738762,20.339319
66.995934,20.424335
66.399002,20.502768
54.488125,20.514654
49.387699,20.515127
45.216061,20.515123
43.017292,20.515219
40.838604,20.515263
39.650993,20.515371
38.744579,20.515219
37.62553,20.515219
37.234184,20.515223
36.562828,20.515228
36.331718,20.515249
35.789322,20.515282
35.843998,20.515198
35.719421,20.51516
35.499783,20.515301
35.373177,20.515141
35.400959,20.515236
35.550716,20.515182
11.955884,20.509914
6.667902,20.509859
1.231436,20.510008
19.297291,20.51
12.172229,20.509872
10.589753,20.509789
11.172074,20.509789
11.705464,20.509789
12.419718,20.509789
13.251844,20.509789
13.901424,20.509842
