"True Stress, MPa","True Strain, %","True Stress, MPa.1"
-26.028179,0.0,-26.028179
-26.64473,2.6e-05,-26.64473
-26.653074,1.8e-05,-26.653074
-26.382832,7.6e-05,-26.382832
-26.130001,3e-06,-26.130001
-25.432871,8e-06,-25.432871
-24.962902,4.2e-05,-24.962902
-24.359938,6.9e-05,-24.359938
-24.140089,5.8e-05,-24.140089
-23.598871,1.6e-05,-23.598871
-23.127234,1.3e-05,-23.127234
-22.972284,0.000212,-22.972284
-22.655212,0.000129,-22.655212
-22.197958,0.000171,-22.197958
-21.843824,9.5e-05,-21.843824
-21.267475,0.000192,-21.267475
-21.229856,0.000135,-21.229856
-20.844906,0.000654,-20.844906
1.76684,0.070353,1.76684
35.337627,0.173188,35.337627
62.607754,0.277693,62.607754
83.824059,0.38186,83.824059
98.814636,0.485469,98.814636
109.566299,0.589102,109.566299
108.242409,0.692438,108.242409
107.36042,0.795546,107.36042
113.181152,0.898852,113.181152
125.076393,1.002097,125.076393
126.794411,1.105144,126.794411
124.862503,1.208046,124.862503
126.179131,1.310792,126.179131
128.410141,1.413604,128.410141
130.584808,1.516183,130.584808
132.831528,1.618691,132.831528
134.378677,1.721006,134.378677
136.193619,1.823385,136.193619
137.742905,1.925514,137.742905
139.110397,2.027539,139.110397
140.483414,2.129385,140.483414
141.59996,2.231331,141.59996
142.693542,2.333023,142.693542
144.086182,2.434604,144.086182
145.039124,2.536143,145.039124
146.019119,2.637717,146.019119
146.826645,2.739024,146.826645
147.637451,2.840111,147.637451
148.370026,2.94128,148.370026
149.163956,3.042244,149.163956
149.772354,3.143327,149.772354
150.66745,3.244111,150.66745
151.24942,3.344762,151.24942
151.819168,3.445605,151.819168
152.507858,3.546072,152.507858
138.890274,3.646356,138.890274
136.452957,3.746541,136.452957
134.366028,3.846811,134.366028
144.185074,3.947073,144.185074
137.583542,4.046966,137.583542
133.596268,4.147018,133.596268
132.463715,4.246812,132.463715
132.432297,4.346376,132.432297
132.689682,4.446086,132.689682
133.006607,4.545718,133.006607
133.729675,4.645095,133.729675
134.213455,4.744401,134.213455
134.721176,4.843678,134.721176
135.366425,4.942841,135.366425
135.990448,5.041915,135.990448
136.945175,5.140907,136.945175
137.469086,5.239772,137.469086
138.262039,5.338516,138.262039
139.055145,5.437115,139.055145
139.202866,5.535697,139.202866
139.677231,5.634019,139.677231
140.165726,5.73244,140.165726
141.094894,5.830635,141.094894
141.585983,5.928837,141.585983
142.098999,6.026759,142.098999
142.416336,6.124849,142.416336
142.652802,6.222618,142.652802
143.448624,6.320273,143.448624
144.13353,6.418006,144.13353
126.516716,6.51554,126.516716
127.734657,6.612898,127.734657
123.314438,6.710366,123.314438
135.589813,6.807852,135.589813
125.769073,6.90491,125.769073
122.505287,7.002102,122.505287
122.0672,7.099069,122.0672
121.660133,7.195973,121.660133
122.317894,7.292975,122.317894
122.824158,7.389656,122.824158
123.458031,7.486248,123.458031
124.192963,7.582851,124.192963
124.739403,7.679226,124.739403
125.455132,7.775691,125.455132
126.257431,7.871846,126.257431
127.040627,7.968051,127.040627
127.581078,8.064045,127.581078
128.558624,8.1601,128.558624
128.959137,8.256055,128.959137
129.693054,8.351733,129.693054
130.252563,8.447486,130.252563
130.97348,8.54312,130.97348
131.492691,8.638638,131.492691
132.062698,8.733962,132.062698
132.78476,8.829492,132.78476
133.417679,8.924781,133.417679
133.816483,9.019913,133.816483
134.43808,9.114819,134.43808
135.162262,9.210031,135.162262
114.088707,9.304664,114.088707
117.430328,9.399558,117.430328
111.493233,9.494245,111.493233
127.068794,9.588949,127.068794
114.065643,9.683499,114.065643
111.958824,9.777986,111.958824
111.00528,9.872263,111.00528
111.407608,9.966585,111.407608
111.724762,10.060793,111.724762
112.372932,10.154724,112.372932
112.859871,10.248881,112.859871
113.948685,10.342797,113.948685
114.450417,10.436634,114.450417
115.345955,10.530395,115.345955
115.97258,10.623958,115.97258
116.925873,10.717625,116.925873
117.761345,10.811228,117.761345
118.612419,10.904572,118.612419
119.253944,10.997778,119.253944
120.024223,11.091122,120.024223
120.948372,11.184121,120.948372
121.570282,11.277253,121.570282
122.44828,11.370186,122.44828
122.836594,11.462991,122.836594
123.444168,11.555778,123.444168
124.100006,11.6484,124.100006
124.797958,11.741029,124.797958
125.252731,11.83344,125.252731
125.866081,11.925982,125.866081
100.923927,12.018095,100.923927
106.397476,12.110428,106.397476
99.765526,12.202645,99.765526
116.881714,12.294815,116.881714
102.335213,12.386908,102.335213
100.452118,12.478832,100.452118
100.344841,12.570745,100.344841
100.718987,12.662505,100.718987
101.359184,12.754189,101.359184
102.04512,12.845732,102.04512
103.083557,12.937301,103.083557
103.835442,13.02867,103.835442
104.657951,13.120109,104.657951
