"True Stress, MPa","True Strain, %","True Stress, MPa.1",Unnamed: 3,Unnamed: 4,Unnamed: 5
-2.980009,0.0,-2.980009,,,
-3.073632,2.4e-05,-3.073632,,,
-2.736847,0.0,-2.736847,,,
-2.983495,1.2e-05,-2.983495,,,
-2.897618,0.0,-2.897618,,,
-2.94631,2.4e-05,-2.94631,,,187.334885
-2.934212,2.4e-05,-2.934212,,,
-3.251183,2.4e-05,-3.251183,,,
-3.023758,2.4e-05,-3.023758,,,
-3.078403,2.4e-05,-3.078403,,,
-3.27833,2.4e-05,-3.27833,,,
-3.334004,2.4e-05,-3.334004,,,
-3.406059,2.4e-05,-3.406059,,,
-3.113347,2.4e-05,-3.113347,,,
-3.260992,2.4e-05,-3.260992,,,
-3.377254,2.4e-05,-3.377254,,,
-3.362963,4.8e-05,-3.362963,,,
19.87155,0.065901,19.87155,,,
54.245407,0.168908,54.245407,,,
80.254677,0.273164,80.254677,,,
99.252678,0.377573,99.252678,,,
112.972786,0.480948,112.972786,,,
123.496124,0.584642,123.496124,,,
132.238266,0.688087,132.238266,,,
139.635529,0.791627,139.635529,,,
145.807785,0.894657,145.807785,,,
151.051727,0.997641,151.051727,,,
155.475922,1.100848,155.475922,,,
159.120163,1.203643,159.120163,,,
162.290329,1.30678,162.290329,,,
164.721436,1.409128,164.721436,,,
167.078506,1.511853,167.078506,,,
169.126633,1.614426,169.126633,,,
170.787491,1.716765,170.787491,,,
172.205399,1.818918,172.205399,,,
173.74173,1.920978,173.74173,,,
174.671356,2.02312,174.671356,,,
175.873825,2.125182,175.873825,,,
176.475739,2.227093,176.475739,,,
177.317841,2.328633,177.317841,,,
178.098267,2.430244,178.098267,,,
178.617554,2.531798,178.617554,,,
178.932037,2.633517,178.932037,,,
179.610703,2.734528,179.610703,,,
179.988556,2.835948,179.988556,,,
180.285034,2.937068,180.285034,,,
180.642853,3.038271,180.642853,,,
180.920364,3.139199,180.920364,,,
181.158081,3.239886,181.158081,,,
181.503098,3.340668,181.503098,,,
181.88797,3.441418,181.88797,,,
182.145416,3.542043,182.145416,,,
182.291534,3.642119,182.291534,,,
182.423889,3.742657,182.423889,,,
182.816116,3.842831,182.816116,,,
182.966995,3.943065,182.966995,,,
183.071167,4.042912,183.071167,,,
183.460587,4.142797,183.460587,,,
183.515808,4.242651,183.515808,,,
183.448303,4.34245,183.448303,,,
183.471359,4.441991,183.471359,,,
183.71579,4.541409,183.71579,,,
183.572952,4.640821,183.572952,,,
183.796585,4.74027,183.796585,,,
184.039505,4.839495,184.039505,,,
184.008347,4.938428,184.008347,,,
183.992676,5.037503,183.992676,,,
184.265396,5.136569,184.265396,,,
184.304749,5.235527,184.304749,,,
184.671021,5.334205,184.671021,,,
184.561661,5.432809,184.561661,,,
184.614044,5.53135,184.614044,,,
184.701126,5.629895,184.701126,,,
184.723297,5.728275,184.723297,,,
184.92601,5.826447,184.92601,,,
184.94252,5.924623,184.94252,,,
184.980133,6.022748,184.980133,,,
184.925674,6.120754,184.925674,,,
184.910995,6.218474,184.910995,,,
184.872833,6.316277,184.872833,,,
185.110703,6.41394,185.110703,,,
185.220047,6.511609,185.220047,,,
185.443771,6.608992,185.443771,,,
185.480469,6.706236,185.480469,,,
185.427673,6.803519,185.427673,,,
185.449387,6.900919,185.449387,,,
185.588394,6.998125,185.588394,,,
185.534622,7.094869,185.534622,,,
185.685959,7.192041,185.685959,,,
185.636017,7.288743,185.636017,,,
185.602127,7.385649,185.602127,,,
185.689896,7.482163,185.689896,,,
185.665634,7.578684,185.665634,,,
185.862518,7.675178,185.862518,,,
185.616882,7.77148,185.616882,,,
185.747604,7.867942,185.747604,,,
185.938599,7.964069,185.938599,,,
186.109879,8.060204,186.109879,,,
186.118149,8.156091,186.118149,,,
186.014648,8.252061,186.014648,,,
185.9552,8.347689,185.9552,,,
186.305313,8.443466,186.305313,,,
186.239716,8.538955,186.239716,,,
186.232849,8.634547,186.232849,,,
186.190399,8.730227,186.190399,,,
186.22934,8.825287,186.22934,,,
186.49942,8.920641,186.49942,,,
186.381058,9.015805,186.381058,,,
186.339371,9.110978,186.339371,,,
186.537949,9.205765,186.537949,,,
186.590134,9.300595,186.590134,,,
186.740753,9.39555,186.740753,,,
186.425491,9.49033,186.425491,,,
186.602966,9.58491,186.602966,,,
186.730499,9.679391,186.730499,,,
186.843887,9.774031,186.843887,,,
186.8367,9.868421,186.8367,,,
186.947006,9.962525,186.947006,,,
186.908813,10.05651,186.908813,,,
186.955017,10.150557,186.955017,,,
187.067307,10.244871,187.067307,,,
186.948334,10.338805,186.948334,,,
187.149155,10.432598,187.149155,,,
186.981415,10.526314,186.981415,,,
187.100677,10.619921,187.100677,,,
187.199722,10.713515,187.199722,,,
187.334885,10.807076,187.334885,,,
187.185211,10.900291,187.185211,,,
187.040085,10.993602,187.040085,,,
176.34758,11.025785,176.34758,,,
167.178375,11.025785,167.178375,,,
161.843735,11.02587,161.843735,,,
157.684952,11.02587,157.684952,,,
153.647293,11.02617,153.647293,,,
150.33934,11.02617,150.33934,,,
147.458511,11.02587,147.458511,,,
144.859421,11.02587,144.859421,,,
142.617599,11.02587,142.617599,,,
140.35997,11.02587,140.35997,,,
138.422974,11.02587,138.422974,,,
136.454803,11.02587,136.454803,,,
134.960556,11.02587,134.960556,,,
133.430832,11.02587,133.430832,,,
132.098587,11.025956,132.098587,,,
130.345734,11.025839,130.345734,,,
129.174042,11.02587,129.174042,,,
128.200058,11.02587,128.200058,,,
126.876381,11.02617,126.876381,,,
123.913864,11.020501,123.913864,,,
121.958473,11.019251,121.958473,,,
121.941399,11.019026,121.941399,,,
120.27581,11.018888,120.27581,,,
119.966331,11.01908,119.966331,,,
118.997597,11.019006,118.997597,,,
118.298347,11.018824,118.298347,,,
117.307625,11.018984,117.307625,,,
116.302505,11.018909,116.302505,,,
115.8489,11.018867,115.8489,,,
114.92659,11.019026,114.92659,,,
114.008209,11.018782,114.008209,,,
113.588615,11.018782,113.588615,,,
112.877586,11.018855,112.877586,,,
112.483414,11.018995,112.483414,,,
111.477142,11.018782,111.477142,,,
110.901405,11.018782,110.901405,,,
110.218643,11.019026,110.218643,,,
108.096756,11.01512,108.096756,,,
106.397995,11.012406,106.397995,,,
106.848488,11.011916,106.848488,,,
106.572617,11.012054,106.572617,,,
105.915939,11.012054,105.915939,,,
105.055107,11.012054,105.055107,,,
105.024506,11.012012,105.024506,,,
104.394043,11.012054,104.394043,,,
104.215187,11.011959,104.215187,,,
103.156425,11.012054,103.156425,,,
103.152626,11.011959,103.152626,,,
102.419785,11.012054,102.419785,,,
102.369072,11.011959,102.369072,,,
