"True Stress, MPa","True Strain, %"
-21.201775,0.0
-20.954668,0.000215
-20.680668,3.8e-05
-20.475266,0.000287
-20.320784,3.5e-05
-20.055502,0.000101
-19.845762,0.0002
-19.745033,0.0
-19.276812,7e-06
-36.285465,1.8e-05
-30.753817,0.0
-29.554651,2.8e-05
-11.322466,4.3e-05
-20.59446,0.0
-22.311359,0.0
-22.414143,0.000124
-21.934263,2e-06
-21.718674,0.0
-21.432293,0.0
-18.811762,0.021005
-6.647733,0.118658
6.159367,0.223139
19.888861,0.327121
34.381638,0.431082
48.092388,0.53462
60.65382,0.638147
71.23661,0.741571
79.94902,0.844846
86.80172,0.947933
92.528999,1.050971
96.902924,1.154161
101.075928,1.256804
104.284264,1.3596
107.34687,1.462296
110.033508,1.564735
112.216957,1.667273
114.366852,1.769513
116.015396,1.87176
96.751785,1.973947
103.022797,2.075924
99.440559,2.177805
116.985138,2.279398
105.396301,2.381249
103.947136,2.48273
104.36853,2.584249
104.898872,2.685689
105.607521,2.787011
106.531326,2.888208
107.504829,2.989261
108.527489,3.090282
109.604027,3.191059
110.464607,3.291925
111.468269,3.392605
111.802094,3.493028
112.611458,3.593673
113.35006,3.693904
113.985466,3.794255
115.008965,3.894384
115.547874,3.994489
116.261635,4.094441
117.133965,4.194138
117.736305,4.294018
118.451149,4.393666
119.038498,4.493221
119.803673,4.592653
120.453163,4.692252
120.07093,4.791464
97.992508,4.890733
104.684402,4.989881
104.995316,5.088769
113.80825,5.187548
104.25074,5.286494
102.837074,5.385023
102.732979,5.483687
102.94545,5.582174
103.733292,5.680446
104.324585,5.77875
104.954651,5.876886
105.631615,5.975081
106.196907,6.073138
107.083939,6.171079
107.340919,6.268862
108.32077,6.36663
109.001251,6.464278
109.709221,6.561798
110.46347,6.659412
111.232597,6.756857
111.910538,6.853894
112.398018,6.951214
113.009583,7.048156
113.596588,7.145106
114.337059,7.241932
114.812187,7.338785
115.291939,7.435392
115.993568,7.531752
108.720421,7.628458
96.963272,7.724771
98.562851,7.821182
103.698441,7.917336
104.564735,8.013497
98.29998,8.109436
97.140144,8.205477
97.017242,8.301351
97.254898,8.397076
97.840813,8.492791
98.345276,8.588402
99.02900700000001,8.683874
99.756142,8.779274
100.190796,8.874515
100.991699,8.969728
101.616463,9.064931
102.282494,9.159988
103.112564,9.254904
103.41658,9.349679
103.849945,9.444442
104.262672,9.539188
105.073875,9.633726
105.692162,9.728217
106.172836,9.822574
106.865074,9.917044
107.568901,10.011061
107.985428,10.105271
108.673454,10.199389
109.32637,10.293477
96.843369,10.387148
91.858368,10.481056
90.367058,10.574841
99.478683,10.668357
95.191963,10.761949
90.412331,10.855298
89.746162,10.948805
89.747787,11.041878
90.263794,11.135162
90.814217,11.228246
91.339432,11.321161
92.094162,11.414161
93.052109,11.506955
93.712051,11.599622
94.443947,11.692278
95.095482,11.784842
96.047798,11.877355
96.370483,11.969575
97.313995,12.062133
97.854713,12.154266
98.62249,12.246349
99.176857,12.338493
99.724449,12.430417
100.575043,12.522339
100.908821,12.614037
101.608246,12.705914
102.352585,12.797493
103.029976,12.888987
103.8022,12.98039
87.375443,13.071835
86.338577,13.163142
82.994354,13.254432
95.530441,13.345541
87.532677,13.436536
84.080872,13.52749
83.347504,13.618466
83.628532,13.709228
83.841797,13.800026
84.600655,13.890642
85.313522,13.981153
86.249634,14.071706
86.817734,14.162143
87.469048,14.252346
88.373817,14.342639
89.266617,14.432837
89.84269,14.522847
90.518219,14.612829
91.384171,14.702682
92.289253,14.792507
92.640945,14.882183
93.399185,14.971913
94.04924,15.061424
94.447319,15.150965
95.132515,15.240454
95.831161,15.329684
96.821983,15.418993
96.963768,15.508293
97.737228,15.59731
77.228539,15.686498
79.680122,15.775437
75.087456,15.86428
91.177338,15.953023
80.055267,16.041809
77.554367,16.130304
76.99015,16.218943
77.524849,16.307486
77.747292,16.395647
78.740601,16.484051
79.613152,16.572262
80.517464,16.660372
81.373962,16.748533
82.0774,16.836393
83.062347,16.924437
83.781303,17.012243
84.603134,17.099949
85.078629,17.187653
85.958626,17.275478
86.700012,17.362852
87.391556,17.450384
88.142944,17.537849
88.518509,17.625212
89.099503,17.712339
89.966461,17.799498
90.400581,17.886642
91.04364,17.973734
91.686111,18.060526
92.099586,18.147335
68.384697,18.23415
73.446869,18.320881
67.373787,18.407509
87.198814,18.493958
73.351448,18.580505
71.336449,18.666893
71.48069,18.753273
71.816017,18.839483
72.490219,18.925724
73.417435,19.011904
74.197174,19.097956
75.063141,19.183954
75.810272,19.269775
76.382858,19.355652
77.46608,19.441362
78.496506,19.527113
78.960564,19.612566
79.810173,19.698126
80.743637,19.783545
81.545349,19.86887
81.886528,19.954237
82.79203,20.039495
83.16922,20.124575
84.24958,20.209654
84.716957,20.294676
85.326775,20.3797
85.676308,20.464499
86.538223,20.549274
86.783737,20.634197
59.177643,20.718742
66.522926,20.803381
65.290146,20.887844
77.631317,20.972301
66.459679,21.056677
65.218613,21.14086
65.486366,21.225132
65.800461,21.309292
66.578011,21.393284
67.236336,21.477289
68.083847,21.561317
69.18634,21.645159
70.079651,21.728983
70.772652,21.812702
71.724174,21.896328
72.725082,21.980053
73.171898,22.063524
73.934685,22.146986
74.832848,22.230307
75.55191,22.313612
76.208542,22.396957
76.872643,22.480139
77.478943,22.563145
77.982941,22.646231
78.621658,22.729181
79.282303,22.812082
80.160484,22.894894
80.484703,22.97753
72.821259,23.060394
57.408806,23.142969
58.844288,23.225584
63.769051,23.308117
66.476303,23.390427
59.68417,23.472828
59.031391,23.555176
59.275429,23.637329
60.242844,23.719526
61.055664,23.801605
61.466587,23.883665
62.769306,23.965746
63.603333,24.047482
64.659081,24.129381
65.243927,24.211134
65.822853,24.292685
66.927551,24.374403
67.647881,24.455853
68.616058,24.537325
69.6278,24.618685
70.334969,24.700039
70.983398,24.781248
71.571503,24.862535
72.080017,24.943672
72.710541,25.024656
73.478249,25.105871
74.317184,25.186621
74.698357,25.267593
75.458511,25.348436
61.047829,25.429184
53.103569,25.509993
50.354736,25.590593
59.939743,25.671036
56.836647,25.751631
52.359386,25.832129
52.147949,25.91235
52.60099,25.992798
53.478832,26.07299
54.569153,26.15308
55.606415,26.233282
56.57431,26.313232
