"True Stress, MPa","True Strain, %","True Stress, MPa.1"
1.256144,0.0,1.256144
1.443671,0.000291,1.443671
1.305459,0.000109,1.305459
1.817866,0.000174,1.817866
-22.857367,0.000291,-22.857367
-21.763187,7.8e-05,-21.763187
-27.021053,0.000214,-27.021053
-12.777404,0.000291,-12.777404
-24.628372,0.000291,-24.628372
-26.239889,0.000291,-26.239889
-26.123436,0.000291,-26.123436
-25.920923,0.000291,-25.920923
-25.993105,0.000291,-25.993105
-25.774916,4.2e-05,-25.774916
-24.928938,0.000195,-24.928938
-24.99016,0.000291,-24.99016
-24.799963,0.000291,-24.799963
-24.540537,2.3e-05,-24.540537
-23.678717,0.000291,-23.678717
-23.812052,0.000291,-23.812052
-7.684021,0.047581,-7.684021
28.582073,0.151635,28.582073
58.851238,0.25672,58.851238
80.626511,0.36073,80.626511
95.835495,0.464365,95.835495
106.610161,0.567975,106.610161
114.831673,0.671408,114.831673
121.604774,0.774817,121.604774
127.257202,0.877931,127.257202
131.848312,0.981169,131.848312
135.925919,1.084098,135.925919
139.210648,1.186979,139.210648
138.266388,1.289769,138.266388
124.370239,1.392402,124.370239
131.025589,1.495019,131.025589
135.550888,1.59757,135.550888
140.502487,1.700022,140.502487
133.576477,1.802338,133.576477
132.894348,1.904577,132.894348
133.389984,2.00646,133.389984
134.137268,2.108608,134.137268
135.080765,2.210507,135.080765
135.862198,2.312121,135.862198
136.949814,2.413873,136.949814
137.650116,2.515498,137.650116
138.679108,2.616855,138.679108
139.505722,2.718321,139.505722
140.320602,2.819506,140.320602
141.238647,2.920737,141.238647
141.754486,3.021764,141.754486
142.504013,3.122684,142.504013
143.251099,3.223372,143.251099
143.829681,3.324332,143.829681
144.685684,3.424813,144.685684
145.282745,3.525368,145.282745
145.816467,3.626008,145.816467
146.290726,3.726139,146.290726
146.841705,3.826523,146.841705
147.288666,3.92661,147.288666
147.655182,4.026742,147.655182
148.281448,4.126606,148.281448
138.743515,4.226385,138.743515
131.047226,4.326088,131.047226
130.92157,4.425685,130.92157
137.517517,4.52547,137.517517
134.530624,4.624822,134.530624
128.717865,4.724113,128.717865
127.556961,4.823374,127.556961
127.250084,4.922733,127.250084
127.378036,5.021465,127.378036
127.71302,5.120545,127.71302
128.112411,5.219313,128.112411
128.853027,5.318176,128.853027
129.219284,5.416715,129.219284
129.884842,5.515456,129.884842
130.845337,5.613859,130.845337
131.495667,5.712172,131.495667
131.928986,5.81045,131.928986
132.479034,5.908689,132.479034
133.311325,6.006868,133.311325
133.705811,6.104759,133.705811
134.266708,6.202705,134.266708
134.896118,6.300462,134.896118
135.415085,6.398184,135.415085
135.809769,6.495729,135.809769
136.381027,6.593222,136.381027
136.734711,6.690636,136.734711
137.356888,6.787976,137.356888
137.836166,6.885195,137.836166
138.442871,6.982203,138.442871
124.109375,7.079324,124.109375
121.389313,7.176138,121.389313
118.864906,7.273038,118.864906
127.989204,7.369904,127.989204
120.865402,7.466507,120.865402
116.700745,7.562989,116.700745
115.553398,7.659645,115.553398
115.572861,7.755805,115.572861
115.882668,7.852262,115.882668
116.178223,7.94843,116.178223
116.795189,8.044594,116.795189
117.431877,8.140574,117.431877
118.023247,8.236564,118.023247
118.524658,8.332355,118.524658
119.163818,8.428094,119.163818
119.988998,8.523822,119.988998
120.607422,8.6193,120.607422
121.368187,8.714703,121.368187
122.083031,8.81009,122.083031
122.74012,8.905269,122.74012
123.408791,9.000516,123.408791
124.014572,9.095476,124.014572
124.541389,9.190598,124.541389
124.878571,9.28542,124.878571
125.655479,9.380277,125.655479
126.345642,9.475017,126.345642
126.613441,9.569643,126.613441
127.392136,9.664378,127.392136
127.711075,9.758762,127.711075
109.373665,9.853005,109.373665
110.076225,9.947413,110.076225
104.862862,10.041536,104.862862
117.848938,10.135664,117.848938
107.421196,10.229771,107.421196
104.234947,10.32366,104.234947
103.589645,10.417569,103.589645
103.458908,10.511292,103.458908
104.241394,10.6049,104.241394
104.81459,10.698595,104.81459
105.476624,10.791985,105.476624
106.063362,10.885421,106.063362
106.640251,10.978699,106.640251
107.413177,11.071889,107.413177
108.314072,11.165201,108.314072
109.344452,11.25816,109.344452
100.376007,11.301526,100.376007
90.527222,11.300359,90.527222
85.012993,11.300671,85.012993
81.229698,11.300665,81.229698
77.770813,11.300709,77.770813
74.939957,11.300705,74.939957
72.826843,11.300675,72.826843
70.851326,11.300686,70.851326
69.292671,11.300626,69.292671
68.16301,11.300642,68.16301
67.311111,11.300649,67.311111
66.186569,11.300649,66.186569
65.080582,11.300527,65.080582
40.325291,11.300571,40.325291
38.628929,11.300599,38.628929
30.739405,11.300581,30.739405
47.122368,11.300656,47.122368
35.608688,11.300621,35.608688
33.501942,11.300607,33.501942
32.981228,11.300705,32.981228
32.660351,11.300649,32.660351
32.738571,11.300694,32.738571
32.60828,11.30071,32.60828
30.878601,11.295641,30.878601
31.197338,11.294919,31.197338
31.753307,11.294844,31.753307
32.367523,11.294885,32.367523
32.46373,11.294934,32.46373
32.726215,11.294945,32.726215
33.060337,11.295023,33.060337
33.057415,11.295049,33.057415
33.189476,11.295011,33.189476
33.425575,11.294975,33.425575
33.642639,11.294914,33.642639
34.213707,11.294917,34.213707
